step,epoch,train_loss,train_acc,val_loss,val_acc,timestamp,timestamp_fmt,duration,duration_fmt,dur_total_core,dur_train_core,dur_dl_train
1,1,0.7553045795077369,0.7333333333333333,0.7225807494587368,0.7361111111111112,1749097093.111862,2025/06/05 13:18:13,1.0575132369995117,1.1s,0.2167036533355713,0.19689035415649414,0.08309555053710938
2,2,0.48828283434822445,0.8321428571428572,1.2775881979200574,0.6638888888888889,1749097093.7311919,2025/06/05 13:18:13,1.6768431663513184,1.7s,0.2756993770599365,0.2401590347290039,0.172562837600708
3,3,0.549715382712228,0.8404761904761905,0.9453277005089654,0.7194444444444444,1749097094.5071242,2025/06/05 13:18:14,2.452775478363037,2.5s,0.3731362819671631,0.3180100917816162,0.231886625289917
4,4,0.46418868246532624,0.8452380952380952,1.0113746404647828,0.7138888888888889,1749097095.225304,2025/06/05 13:18:15,3.170955181121826,3.2s,0.4341557025909424,0.3657364845275879,0.38798093795776367
5,5,0.4691384985333397,0.8452380952380952,0.7450368165969848,0.8222222222222222,1749097095.8093143,2025/06/05 13:18:15,3.7549655437469482,3.8s,0.49103331565856934,0.4078495502471924,0.461118221282959
6,6,0.42228424776168094,0.8523809523809524,0.7981372409396701,0.8138888888888889,1749097096.6865678,2025/06/05 13:18:16,4.632219076156616,4.6s,0.5970418453216553,0.493563175201416,0.5572066307067871
7,7,0.3557246560851733,0.8773809523809524,0.530088742574056,0.8583333333333333,1749097097.341879,2025/06/05 13:18:17,5.287530183792114,5.3s,0.6694772243499756,0.5521650314331055,0.6288604736328125
8,8,0.3458859273365566,0.8821428571428571,0.530433350139194,0.8805555555555555,1749097097.9785979,2025/06/05 13:18:17,5.924249172210693,5.9s,0.7343845367431641,0.6038761138916016,0.7120904922485352
9,9,0.3392199090548924,0.8833333333333333,0.5146784596972995,0.8472222222222222,1749097098.9626288,2025/06/05 13:18:18,6.90828013420105,6.9s,0.8483929634094238,0.6937806606292725,0.7865111827850342
10,10,0.3114816586176554,0.8916666666666667,0.5658643086751302,0.85,1749097099.6148965,2025/06/05 13:18:19,7.560547828674316,7.6s,0.9109413623809814,0.7431085109710693,0.8867695331573486
11,11,0.2926321410707065,0.9011904761904762,0.5486910528606839,0.85,1749097100.328864,2025/06/05 13:18:20,8.274515390396118,8.3s,0.9840450286865234,0.7970969676971436,1.0004651546478271
12,12,0.2974500922929673,0.8857142857142857,0.5933007041613261,0.8583333333333333,1749097101.1016624,2025/06/05 13:18:21,9.047313690185547,9.0s,1.079540491104126,0.8701105117797852,1.051795482635498
13,13,0.3564677295230684,0.8845238095238095,0.7054924382103814,0.8055555555555556,1749097101.7486577,2025/06/05 13:18:21,9.694308996200562,9.7s,1.140087366104126,0.9174575805664062,1.1520991325378418
14,14,0.4162143729981922,0.8666666666666667,1.054426752196418,0.7166666666666667,1749097102.393312,2025/06/05 13:18:22,10.338963270187378,10.3s,1.2115230560302734,0.9704363346099854,1.211012363433838
15,15,0.3912286244377139,0.8833333333333333,0.6222710867722829,0.8666666666666667,1749097103.2484627,2025/06/05 13:18:23,11.194113969802856,11.2s,1.315030813217163,1.057487964630127,1.2700014114379883
16,16,0.3614908979052589,0.8845238095238095,0.9534890651702881,0.7944444444444444,1749097103.8877468,2025/06/05 13:18:23,11.83339810371399,11.8s,1.372499704360962,1.0998234748840332,1.3868906497955322
17,17,0.37601408319813867,0.8773809523809524,0.5327448891268836,0.875,1749097104.6814249,2025/06/05 13:18:24,12.627076148986816,12.6s,1.4700708389282227,1.1589088439941406,1.4433069229125977
18,18,0.32880717572711765,0.8988095238095238,0.9053401403956943,0.7555555555555555,1749097105.4484022,2025/06/05 13:18:25,13.39405345916748,13.4s,1.557222843170166,1.2291805744171143,1.495391607284546
19,19,0.34145095149676,0.8773809523809524,0.5997712930043538,0.85,1749097106.1312814,2025/06/05 13:18:26,14.076932668685913,14.1s,1.635420799255371,1.2927284240722656,1.5725550651550293
20,20,0.334426421494711,0.8785714285714286,0.5367227322525449,0.8777777777777778,1749097107.0047395,2025/06/05 13:18:27,14.950390815734863,15.0s,1.737579107284546,1.376084327697754,1.6491045951843262
21,21,0.31956691060747416,0.8952380952380953,0.5123293836911519,0.8527777777777777,1749097107.7540996,2025/06/05 13:18:27,15.699750900268555,15.7s,1.8078944683074951,1.433401107788086,1.7021210193634033
22,22,0.32661481826078326,0.8773809523809524,0.6728279723061455,0.7777777777777778,1749097108.4800894,2025/06/05 13:18:28,16.425740718841553,16.4s,1.8775999546051025,1.474954605102539,1.7692489624023438
23,23,0.2986851045063564,0.9,1.372485269440545,0.6666666666666666,1749097109.441502,2025/06/05 13:18:29,17.387153387069702,17.4s,1.967155933380127,1.5507175922393799,1.8454747200012207
24,24,0.38906423704964777,0.8535714285714285,0.6405148598882887,0.8166666666666667,1749097110.1219203,2025/06/05 13:18:30,18.06757164001465,18.1s,2.025251626968384,1.5953609943389893,1.8997547626495361
25,25,0.3224763920619374,0.8892857142857142,0.8775910456975301,0.8444444444444444,1749097111.0372279,2025/06/05 13:18:31,18.982879161834717,19.0s,2.130934715270996,1.6727886199951172,1.9619135856628418
26,26,0.36285375981103807,0.8857142857142857,0.983961812655131,0.7833333333333333,1749097111.8307648,2025/06/05 13:18:31,19.776416063308716,19.8s,2.2061855792999268,1.7342586517333984,2.019169807434082
27,27,0.3472286701202393,0.8738095238095238,0.6267654140790303,0.8527777777777777,1749097112.5024014,2025/06/05 13:18:32,20.448052644729614,20.4s,2.2676775455474854,1.7765467166900635,2.0717084407806396
28,28,0.33714087719009034,0.8869047619047619,0.5138568566905127,0.8583333333333333,1749097113.4362817,2025/06/05 13:18:33,21.381932973861694,21.4s,2.3626182079315186,1.8496959209442139,2.1234068870544434
29,29,0.24924035867055258,0.9035714285714286,0.4902255415916443,0.8805555555555555,1749097114.118912,2025/06/05 13:18:34,22.064563274383545,22.1s,2.419673204421997,1.891493320465088,2.1907694339752197
30,30,0.2732448367845444,0.9035714285714286,0.5647245619032119,0.8388888888888889,1749097114.8057656,2025/06/05 13:18:34,22.7514169216156,22.8s,2.4826533794403076,1.9410626888275146,2.2732138633728027
