step,epoch,train_loss,train_acc,train_path_loss,train_path_acc,val_loss,val_acc,val_path_loss,val_path_acc,param_l2norm_layer,param_l2norm,grad_l2norm_layer,grad_l2norm,dur_total_core,dur_train_core,dur_dl_train
1,1,4.60020216217041,0.0133,last: 4.730804865264893,last: 0.0121,,,,,(nested_data),227.34254455566406,(nested_data),0.3709483742713928,5.922899961471558,5.923118352890015,0.06841087341308594
2,2,4.5710747451782225,0.0394,last: 4.707105296325683,last: 0.0127,4.53533914642334,0.0494,last: 4.64745754776001,last: 0.0136,(nested_data),225.57643127441406,(nested_data),0.348168283700943,13.690981388092041,11.659939289093018,0.1360154151916504
3,3,4.5201323760986325,0.0416,last: 4.687313758087158,last: 0.0134,,,,,(nested_data),223.85443115234375,(nested_data),0.3363068699836731,19.433114051818848,17.40228033065796,0.20392441749572754
4,4,4.459988272857666,0.0466,last: 4.661472624206543,last: 0.0151,4.41385330734253,0.0583,last: 4.616319515991211,last: 0.018,(nested_data),222.17208862304688,(nested_data),0.32861024141311646,27.3587908744812,23.16453766822815,0.2729923725128174
5,5,4.401719626617432,0.0546,last: 4.646059043884278,last: 0.0176,,,,,(nested_data),220.52479553222656,(nested_data),0.3504010736942291,33.2625527381897,29.068512439727783,0.3423798084259033
6,6,4.348282698822022,0.0606,last: 4.6392856880187985,last: 0.0187,4.310839208221435,0.0676,last: 4.596406378936767,last: 0.0175,(nested_data),218.90663146972656,(nested_data),0.34366023540496826,41.0549213886261,34.934715270996094,0.4117274284362793
7,7,4.299107032775879,0.0677,last: 4.631721748352051,last: 0.0201,,,,,(nested_data),217.31703186035156,(nested_data),0.3609769642353058,46.83676052093506,40.71677088737488,0.4809417724609375
8,8,4.252211193084717,0.0757,last: 4.636283582305908,last: 0.0183,4.223680506896972,0.0792,last: 4.601704515075683,last: 0.0171,(nested_data),215.75332641601562,(nested_data),0.4752407670021057,54.515085220336914,46.46588611602783,0.5543928146362305
9,9,4.210106871032715,0.0802,last: 4.639729928588867,last: 0.0164,,,,,(nested_data),214.21649169921875,(nested_data),0.36442798376083374,60.27492618560791,52.225945234298706,0.6243164539337158
10,10,4.166316185760498,0.0895,last: 4.653482408905029,last: 0.0157,4.148721767425537,0.0884,last: 4.6204881210327144,last: 0.0133,(nested_data),212.71127319335938,(nested_data),0.5527583360671997,68.09155583381653,58.10863494873047,0.6932089328765869
11,11,4.122869631195068,0.0978,last: 4.676429618072509,last: 0.0143,,,,,(nested_data),211.232177734375,(nested_data),0.5548242926597595,73.85511660575867,63.87240552902222,0.7621269226074219
12,12,4.073395198822022,0.1034,last: 4.692777228546142,last: 0.0146,4.061204086303711,0.091,last: 4.660097100830078,last: 0.0137,(nested_data),209.78775024414062,(nested_data),0.6310856938362122,81.53774738311768,69.61958146095276,0.8306350708007812
13,13,4.031508223724365,0.1133,last: 4.74305941696167,last: 0.0144,,,,,(nested_data),208.3746795654297,(nested_data),0.8080366253852844,87.35870552062988,75.44075655937195,0.8995752334594727
14,14,3.9850727394104,0.1193,last: 4.778966695404053,last: 0.015,3.959902978515625,0.1108,last: 4.7471173538208005,last: 0.0146,(nested_data),206.9927215576172,(nested_data),0.5951632261276245,95.33203220367432,81.38821840286255,0.9690022468566895
15,15,3.942008308792114,0.1271,last: 4.848774308013916,last: 0.0142,,,,,(nested_data),205.6403045654297,(nested_data),0.8293588757514954,101.1859405040741,87.2423346042633,1.0379993915557861
16,16,3.8938250076293945,0.1343,last: 4.898773552703857,last: 0.0146,3.865088507461548,0.1236,last: 4.758739466094971,last: 0.0138,(nested_data),204.31607055664062,(nested_data),0.8376834988594055,109.16539669036865,93.08709144592285,1.1061198711395264
17,17,3.8475291767120363,0.1403,last: 4.9654773963928225,last: 0.0155,,,,,(nested_data),203.02435302734375,(nested_data),1.0682878494262695,114.98003840446472,98.90193819999695,1.1744794845581055
18,18,3.8028647689819337,0.1481,last: 5.0385016983032225,last: 0.0147,3.820788516616821,0.1318,last: 5.219876117706299,last: 0.0157,(nested_data),201.75796508789062,(nested_data),0.8989009261131287,122.7146828174591,104.71344828605652,1.2448482513427734
19,19,3.754688683319092,0.1518,last: 5.141910266113281,last: 0.0151,,,,,(nested_data),200.5165557861328,(nested_data),0.8601168990135193,128.43381094932556,110.43276405334473,1.3126587867736816
20,20,3.7167426063537596,0.1606,last: 5.322581370544434,last: 0.0145,3.7533891170501708,0.1312,last: 5.1113147506713865,last: 0.0158,(nested_data),199.2998809814453,(nested_data),0.9337502121925354,136.1634976863861,116.21196126937866,1.3812248706817627
21,21,3.674281226348877,0.1662,last: 5.442314699554443,last: 0.015,,,,,(nested_data),198.1090850830078,(nested_data),1.1283437013626099,141.9102475643158,121.9589295387268,1.4505531787872314
22,22,3.626676774597168,0.1766,last: 5.663310314941406,last: 0.015,3.6876918647766113,0.152,last: 5.268954486846924,last: 0.0159,(nested_data),196.93992614746094,(nested_data),1.1459763050079346,149.59135460853577,127.68981957435608,1.5220074653625488
23,23,3.587380228805542,0.1811,last: 5.814013245391846,last: 0.0153,,,,,(nested_data),195.79617309570312,(nested_data),1.4250266551971436,155.44794869422913,133.54662251472473,1.5920779705047607
24,24,3.5517935440063475,0.1872,last: 6.025291121673584,last: 0.0162,3.581442041015625,0.1685,last: 6.695631977844238,last: 0.0163,(nested_data),194.67933654785156,(nested_data),1.2166939973831177,163.36341381072998,139.3955373764038,1.6610302925109863
25,25,3.5142024311065674,0.1884,last: 6.265591693878174,last: 0.0163,,,,,(nested_data),193.57888793945312,(nested_data),1.6198350191116333,169.36566948890686,145.39802980422974,1.7296624183654785
26,26,3.4727329509735108,0.1994,last: 6.508464868927002,last: 0.0163,3.506435192489624,0.1743,last: 5.185414985656738,last: 0.0156,(nested_data),192.50022888183594,(nested_data),0.9910674691200256,177.08801364898682,151.1486461162567,1.7970523834228516
27,27,3.4384836448669436,0.2015,last: 6.792521933746338,last: 0.0165,,,,,(nested_data),191.43870544433594,(nested_data),1.2848615646362305,182.82112669944763,156.8819568157196,1.8657877445220947
28,28,3.4089415016174316,0.2063,last: 7.013644010162354,last: 0.0154,3.463026689147949,0.1823,last: 9.986353788757324,last: 0.0161,(nested_data),190.3988037109375,(nested_data),1.3400921821594238,190.7938253879547,162.82062149047852,1.9347913265228271
29,29,3.3665670879364016,0.2167,last: 7.257899266052246,last: 0.016,,,,,(nested_data),189.37640380859375,(nested_data),1.4090371131896973,196.637686252594,168.66469049453735,2.005129814147949
30,30,3.3391087352752686,0.2201,last: 7.381975433349609,last: 0.0159,3.407898336029053,0.1905,last: 8.05914801864624,last: 0.0153,(nested_data),188.3773193359375,(nested_data),1.348686695098877,204.39716815948486,174.4666178226471,2.0738155841827393
31,31,3.306358542251587,0.223,last: 7.707184042358398,last: 0.0148,,,,,(nested_data),187.39149475097656,(nested_data),1.4958281517028809,210.2012267112732,180.2708764076233,2.142441987991333
32,32,3.2736740673065188,0.2334,last: 7.911903416442871,last: 0.0155,3.3606521278381347,0.1955,last: 10.04327370300293,last: 0.0155,(nested_data),186.42816162109375,(nested_data),1.8483753204345703,218.01872873306274,186.11020493507385,2.2105658054351807
33,33,3.2538279041290283,0.233,last: 8.212403477478027,last: 0.0165,,,,,(nested_data),185.47129821777344,(nested_data),1.5590786933898926,223.81303548812866,191.9047031402588,2.278604507446289
34,34,3.215326628112793,0.2417,last: 8.420321029663086,last: 0.0184,3.436540114212036,0.196,last: 9.038536624908447,last: 0.0169,(nested_data),184.5340576171875,(nested_data),2.0265891551971436,231.5967321395874,197.6985306739807,2.347114324569702
35,35,3.1830081783294677,0.2498,last: 8.955857092285155,last: 0.0168,,,,,(nested_data),183.6149139404297,(nested_data),1.7856124639511108,237.3509488105774,203.45296502113342,2.415884017944336
36,36,3.149976996612549,0.2579,last: 9.136576847839356,last: 0.0177,3.231684423828125,0.2189,last: 7.334321398925781,last: 0.0165,(nested_data),182.7123260498047,(nested_data),1.484195590019226,245.02679133415222,209.1969358921051,2.483424663543701
37,37,3.122707974624634,0.2607,last: 9.37657329864502,last: 0.0172,,,,,(nested_data),181.83197021484375,(nested_data),1.7656841278076172,250.824848651886,214.99520087242126,2.5516529083251953
38,38,3.0810468795776367,0.2655,last: 9.612610353088378,last: 0.0166,3.2223550426483154,0.2193,last: 12.277465603637696,last: 0.0148,(nested_data),180.9687957763672,(nested_data),1.9452606439590454,258.6205093860626,220.80187249183655,2.6235084533691406
39,39,3.0689778999328614,0.2672,last: 9.844767651367187,last: 0.0172,,,,,(nested_data),180.12435913085938,(nested_data),1.503702163696289,264.3522434234619,226.53379559516907,2.6915838718414307
40,40,3.0359892539978026,0.2743,last: 10.104543504333495,last: 0.0168,3.2700987098693846,0.2084,last: 6.333451770019531,last: 0.0165,(nested_data),179.281494140625,(nested_data),2.032104730606079,272.12677574157715,232.34077715873718,2.761565923690796
41,41,3.009893452453613,0.2782,last: 10.443418005371093,last: 0.017,,,,,(nested_data),178.46055603027344,(nested_data),1.462386131286621,277.9089343547821,238.12314343452454,2.8295369148254395
42,42,2.9807092788696288,0.286,last: 10.626470600891114,last: 0.0168,3.174610592651367,0.2381,last: 13.412012741088867,last: 0.0154,(nested_data),177.65664672851562,(nested_data),2.0249862670898438,285.9006690979004,244.02293252944946,2.9011664390563965
43,43,2.9587879096984864,0.2882,last: 10.934934094238281,last: 0.017,,,,,(nested_data),176.86318969726562,(nested_data),1.83712899684906,291.70176911354065,249.82424449920654,2.9717538356781006
44,44,2.9365250888824463,0.2961,last: 11.0268941696167,last: 0.0166,3.056438704299927,0.2437,last: 16.792313829040527,last: 0.0154,(nested_data),176.0789794921875,(nested_data),1.9500445127487183,299.4178533554077,255.551748752594,3.0411629676818848
45,45,2.9185940574645994,0.3006,last: 11.316198129272461,last: 0.0168,,,,,(nested_data),175.3068084716797,(nested_data),1.966209053993225,305.2719340324402,261.4060323238373,3.109333038330078
46,46,2.878832711791992,0.3077,last: 11.72320048675537,last: 0.0175,3.0900295040130614,0.2468,last: 12.801720797729493,last: 0.0161,(nested_data),174.55404663085938,(nested_data),2.257214069366455,313.01128697395325,267.21899485588074,3.176896095275879
47,47,2.8661516563415526,0.3072,last: 12.0565283203125,last: 0.0161,,,,,(nested_data),173.82012939453125,(nested_data),2.7355353832244873,318.7829806804657,272.9909121990204,3.2460098266601562
48,48,2.853475372314453,0.3068,last: 12.439298098754882,last: 0.0172,3.1167342895507812,0.2403,last: 9.108069749450683,last: 0.0163,(nested_data),173.0959014892578,(nested_data),2.1250057220458984,326.57243394851685,278.8567545413971,3.317444086074829
49,49,2.8166336849212645,0.3183,last: 12.268157751464845,last: 0.0173,,,,,(nested_data),172.3826904296875,(nested_data),2.2397525310516357,332.3405165672302,284.6250388622284,3.386129856109619
50,50,2.7955532974243162,0.3184,last: 13.011145713806153,last: 0.0168,2.977289110183716,0.2627,last: 13.266066500854492,last: 0.016,(nested_data),171.66720581054688,(nested_data),2.097458600997925,340.140611410141,290.46030855178833,3.4535064697265625
51,51,2.777574517440796,0.3182,last: 13.222766172790527,last: 0.017,,,,,(nested_data),170.9784393310547,(nested_data),1.9138989448547363,345.918429851532,296.23833298683167,3.5217180252075195
52,52,2.7421164852142335,0.3249,last: 13.319833261108398,last: 0.0173,3.095512484359741,0.2413,last: 15.610769046020508,last: 0.0158,(nested_data),170.29931640625,(nested_data),2.952782392501831,353.70644426345825,302.0479528903961,3.5903868675231934
53,53,2.740339537811279,0.3283,last: 13.49458744354248,last: 0.017,,,,,(nested_data),169.62686157226562,(nested_data),1.9676796197891235,359.4486870765686,307.79039669036865,3.660888433456421
54,54,2.702879943084717,0.3372,last: 13.800693591308594,last: 0.0169,3.2274036838531495,0.2324,last: 10.993544982147217,last: 0.0168,(nested_data),168.9671630859375,(nested_data),2.204242706298828,367.1354901790619,313.5309464931488,3.7302544116973877
55,55,2.6946818313598633,0.3394,last: 14.190296223449707,last: 0.0173,,,,,(nested_data),168.30787658691406,(nested_data),2.9709012508392334,372.9089460372925,319.30460596084595,3.798513650894165
56,56,2.6919134170532226,0.3347,last: 14.34390288696289,last: 0.0166,2.9220348598480226,0.2765,last: 17.93787063598633,last: 0.0153,(nested_data),167.68275451660156,(nested_data),2.3174679279327393,380.8762845993042,325.2144093513489,3.867403745651245
57,57,2.6569885318756103,0.3441,last: 14.905557960510254,last: 0.0163,,,,,(nested_data),167.05850219726562,(nested_data),2.3303439617156982,386.6774823665619,331.0158212184906,3.9377496242523193
