step,epoch,train_loss,train_acc,timestamp,timestamp_fmt,duration,duration_fmt,dur_total_core,dur_train_core,dur_dl_train,val_loss,val_acc
1,1,1.5691485688799904,0.29285714285714287,1749097138.911672,2025/06/05 13:18:58,0.6318831443786621,631.9ms,0.033013105392456055,0.03303027153015137,0.056481361389160156,,
2,2,1.3632979835782733,0.3488095238095238,1749097139.401628,2025/06/05 13:18:59,1.1218390464782715,1.1s,0.07590746879577637,0.06569814682006836,0.16833996772766113,1.7452343649334379,0.14166666666666666
3,3,1.2500571863991874,0.43214285714285716,1749097140.1240914,2025/06/05 13:19:00,1.8443024158477783,1.8s,0.14651226997375488,0.13632464408874512,0.2695789337158203,,
4,4,1.116027257556007,0.5666666666666667,1749097140.695751,2025/06/05 13:19:00,2.415961980819702,2.4s,0.21616530418395996,0.1951155662536621,0.3194761276245117,1.3648599174287583,0.35
5,5,1.0132206769216627,0.638095238095238,1749097141.2142487,2025/06/05 13:19:01,2.934459686279297,2.9s,0.255002498626709,0.23397302627563477,0.41100430488586426,,
6,6,0.9479930667650132,0.6857142857142857,1749097141.8135295,2025/06/05 13:19:01,3.533740520477295,3.5s,0.30831432342529297,0.2667961120605469,0.5447132587432861,1.1080603387620713,0.5416666666666666
7,7,0.8545845133917672,0.7226190476190476,1749097142.5055056,2025/06/05 13:19:02,4.225716590881348,4.2s,0.37235498428344727,0.3308563232421875,0.6298270225524902,,
8,8,0.8269373967534019,0.75,1749097142.9854379,2025/06/05 13:19:02,4.705648899078369,4.7s,0.4174535274505615,0.3649940490722656,0.733896017074585,0.959938132762909,0.6666666666666666
9,9,0.7732183331534976,0.7821428571428571,1749097143.4812455,2025/06/05 13:19:03,5.201456546783447,5.2s,0.45374178886413574,0.4013063907623291,0.8104441165924072,,
10,10,0.754103358018966,0.7678571428571429,1749097144.0703316,2025/06/05 13:19:04,5.7905426025390625,5.8s,0.5183918476104736,0.4473271369934082,0.9085357189178467,0.8668179816669888,0.725
11,11,0.7320884454817999,0.7916666666666666,1749097144.7477815,2025/06/05 13:19:04,6.467992544174194,6.5s,0.5780069828033447,0.5069599151611328,0.9830780029296875,,
12,12,0.7034178881418137,0.7952380952380952,1749097145.2459762,2025/06/05 13:19:05,6.966187238693237,7.0s,0.6298866271972656,0.5487592220306396,1.0812811851501465,0.8369901855786641,0.7111111111111111
13,13,0.6898187245641436,0.7928571428571428,1749097145.802914,2025/06/05 13:19:05,7.523124933242798,7.5s,0.6729629039764404,0.5918564796447754,1.1921699047088623,,
14,14,0.6545890830812,0.8273809523809523,1749097146.4937053,2025/06/05 13:19:06,8.213916301727295,8.2s,0.7634892463684082,0.6565022468566895,1.2459523677825928,0.7709385183122422,0.7472222222222222
15,15,0.6506349467095874,0.7952380952380952,1749097147.0613616,2025/06/05 13:19:07,8.781572580337524,8.8s,0.8002912998199463,0.6933243274688721,1.3620543479919434,,
16,16,0.6451390221005394,0.8119047619047619,1749097147.5349278,2025/06/05 13:19:07,9.255138874053955,9.3s,0.8434231281280518,0.7255642414093018,1.4628582000732422,0.7559308926264445,0.7555555555555555
17,17,0.6229887775012425,0.8357142857142857,1749097148.1733773,2025/06/05 13:19:08,9.893588304519653,9.9s,0.9027018547058105,0.7848615646362305,1.5636720657348633,,
18,18,0.6161803166071574,0.8178571428571428,1749097148.8456192,2025/06/05 13:19:08,10.56583023071289,10.6s,0.9905388355255127,0.8384637832641602,1.6384100914001465,0.7153035057915582,0.7722222222222223
19,19,0.5904255605879284,0.8285714285714286,1749097149.3632205,2025/06/05 13:19:09,11.083431482315063,11.1s,1.0329585075378418,0.8809032440185547,1.6983826160430908,,
20,20,0.5690707570030575,0.825,1749097149.8294666,2025/06/05 13:19:09,11.549677610397339,11.5s,1.0771207809448242,0.9140887260437012,1.7871317863464355,0.687006782160865,0.7805555555555556
21,21,0.5728650552885873,0.8297619047619048,1749097150.6977274,2025/06/05 13:19:10,12.417938470840454,12.4s,1.3541579246520996,1.1911494731903076,1.8521053791046143,,
22,22,0.518728935150873,0.8416666666666667,1749097151.475762,2025/06/05 13:19:11,13.195972919464111,13.2s,1.5816762447357178,1.4083058834075928,1.910735845565796,0.5885992447535197,0.8277777777777777
23,23,0.4941404494501296,0.8559523809523809,1749097152.0497694,2025/06/05 13:19:12,13.769980430603027,13.8s,1.6877918243408203,1.5144460201263428,1.9905641078948975,,
24,24,0.456328314826602,0.8642857142857143,1749097152.70763,2025/06/05 13:19:12,14.427840948104858,14.4s,1.8259990215301514,1.627004623413086,2.0739734172821045,0.5460076040691799,0.8361111111111111
25,25,0.4201634004002526,0.8654761904761905,1749097153.4626667,2025/06/05 13:19:13,15.182877779006958,15.2s,2.0227346420288086,1.8237628936767578,2.1251840591430664,,
26,26,0.4116665315060388,0.8678571428571429,1749097153.9804528,2025/06/05 13:19:13,15.700663805007935,15.7s,2.1384215354919434,1.9287075996398926,2.1777215003967285,0.5333065814442105,0.8444444444444444
27,27,0.4074703693389893,0.8654761904761905,1749097154.6838381,2025/06/05 13:19:14,16.404049158096313,16.4s,2.2833235263824463,2.073636531829834,2.2802257537841797,,
