step,lr,epoch,train_loss,train_acc,val_loss,val_acc,timestamp,timestamp_fmt,duration,duration_fmt,grad_mean
1,0.1,1,2.3009296783447266,0.1318,2.2981223766326906,0.1589,1745739653.1891565,2025/04/27 16:40:53,6.280365943908691,6.3s,0.00012781581608578563
2,0.09755282581475769,2,2.2966668785095217,0.1522,2.294827954864502,0.17,1745739657.3909225,2025/04/27 16:40:57,10.482131958007812,10.5s,0.00012831798812840134
3,0.09045084971874738,3,2.2933288345336913,0.1594,2.2914521732330324,0.1821,1745739661.6466727,2025/04/27 16:41:01,14.737882137298584,14.7s,0.00012673022865783423
4,0.07938926261462367,4,2.2896662975311277,0.1696,2.2888198894500733,0.195,1745739665.8227296,2025/04/27 16:41:05,18.913938999176025,18.9s,0.00012437600526027381
5,0.06545084971874739,5,2.287046501159668,0.1784,2.286008850097656,0.2036,1745739669.9887357,2025/04/27 16:41:09,23.07994508743286,23.1s,0.000128207218949683
6,0.05000000000000001,6,2.2852400833129884,0.1834,2.2841966854095457,0.2085,1745739674.2746546,2025/04/27 16:41:14,27.365864038467407,27.4s,0.00012947891082149
7,0.03454915028125264,7,2.2828838603973387,0.188,2.282886372756958,0.2116,1745739678.6019878,2025/04/27 16:41:18,31.69319725036621,31.7s,0.00012659774802159518
8,0.020610737385376353,8,2.2819827629089358,0.1908,2.2816350723266603,0.212,1745739682.8270469,2025/04/27 16:41:22,35.9182562828064,35.9s,0.0001306905469391495
9,0.009549150281252635,9,2.2807086631774904,0.194,2.2828380592346194,0.2105,1745739687.0490682,2025/04/27 16:41:27,40.14027762413025,40.1s,0.00012593300198204815
10,0.002447174185242324,10,2.280862211227417,0.1936,2.2819101860046387,0.2138,1745739691.1414962,2025/04/27 16:41:31,44.23270559310913,44.2s,0.0001251759531442076
