step,epoch,lr,train_loss,train_acc,val_loss,val_acc,dur_total_core,dur_total_core_fmt,dur_train_core,dur_train_core_fmt,dur_total,dur_total_fmt,dur_train,dur_train_fmt,progress
1,1,0.0025,4.203046722412109,0.0594,,,311.4941713809967,5.2m,311.4968340396881,5.2m,312.0085165500641,5.2m,312.0085246562958,5.2m,0.5%
2,2,0.0024998457906020757,3.5921924169921877,0.14242,3.343822314453125,0.1928,415.76465034484863,6.9m,344.3023703098297,5.7m,422.67012190818787,7.0m,345.15285539627075,5.8m,1.0%
3,3,0.0024993832004571643,3.177890825805664,0.21438,,,448.2712228298187,7.5m,376.81144547462463,6.3m,455.5523135662079,7.6m,378.035053730011,6.3m,1.5%
4,4,0.0024986123437024626,2.82528033203125,0.2837,2.6436345428466796,0.3257,482.683607339859,8.0m,409.68249773979187,6.8m,490.5324583053589,8.2m,411.22380352020264,6.9m,2.0%
5,5,0.0024975334105353394,2.4663743057250977,0.35388,,,515.5573093891144,8.6m,442.55854415893555,7.4m,523.6816766262054,8.7m,444.3730263710022,7.4m,2.5%
6,6,0.0024961466671664097,2.1590334715270996,0.4227,2.126235460662842,0.4352,549.9692142009735,9.2m,475.45233154296875,7.9m,558.4754157066345,9.3m,477.5475068092346,8.0m,3.0%
7,7,0.0024944524557538495,1.9545149412536622,0.46628,,,582.8804767131805,9.7m,508.36598467826843,8.5m,591.6691167354584,9.9m,510.7412123680115,8.5m,3.5%
8,8,0.0024924511943189742,1.7810079454040528,0.50668,1.904090535736084,0.4913,617.2748558521271,10.3m,541.2387254238129,9.0m,626.4272794723511,10.4m,543.8854596614838,9.1m,4.0%
9,9,0.0024901433766430967,1.6315772132873536,0.54358,,,650.2139010429382,10.8m,574.1804242134094,9.6m,659.6981136798859,11.0m,577.1563012599945,9.6m,4.5%
10,10,0.002487529572145696,1.517054765777588,0.56836,1.6550120487213136,0.5482,684.5824134349823,11.4m,607.0330543518066,10.1m,694.4325489997864,11.6m,610.2900679111481,10.2m,5.0%
11,11,0.002484610425743921,1.4166786814880372,0.59548,,,717.6198041439056,12.0m,640.0728206634521,10.7m,727.8038098812103,12.1m,643.6613337993622,10.7m,5.5%
12,12,0.002481386657693466,1.3296414031219483,0.61856,1.675677880859375,0.5443,752.0215241909027,12.5m,672.9570343494415,11.2m,762.718700170517,12.7m,676.9752945899963,11.3m,6.0%
13,13,0.0024778590634108597,1.2536144841003418,0.63694,,,784.8521339893341,13.1m,705.7901542186737,11.8m,795.8386693000793,13.3m,710.0952708721161,11.8m,6.5%
14,14,0.002474028513277206,1.1927651074981689,0.6509,1.4687909553527831,0.597,819.1939232349396,13.7m,738.6159195899963,12.3m,830.6033499240875,13.8m,743.2534074783325,12.4m,7.0%
15,15,0.0024698959524234333,1.1312336004638672,0.6672,,,851.9757564067841,14.2m,771.4000949859619,12.9m,863.6580102443695,14.4m,776.3080744743347,12.9m,7.5%
16,16,0.0024654624004970946,1.0752299181365967,0.68336,1.5768096019744873,0.5805,886.3056766986847,14.8m,804.2171566486359,13.4m,898.3997855186462,15.0m,809.4321448802948,13.5m,8.0%
17,17,0.0024607289514107875,1.0209095755767823,0.69512,,,919.1494569778442,15.3m,837.0642781257629,14.0m,931.5834889411926,15.5m,842.6158554553986,14.0m,8.5%
18,18,0.0024556967730722462,0.9779709585571289,0.70868,1.5028687524795532,0.5942,953.4677820205688,15.9m,869.8648972511292,14.5m,966.269033908844,16.1m,875.6951584815979,14.6m,9.0%
19,19,0.0024503671070961776,0.9441385424804688,0.71658,,,986.4543898105621,16.4m,902.853857755661,15.0m,999.5705211162567,16.7m,908.9966521263123,15.1m,9.5%
20,20,0.0024447412684979112,0.9026494158935547,0.73146,1.464483136177063,0.6086,1020.9209313392639,17.0m,935.8056755065918,15.6m,1034.425930738449,17.2m,942.251690864563,15.7m,10.0%
21,21,0.0024388206453689405,0.8739208763885498,0.73278,,,1053.6828773021698,17.6m,968.5699214935303,16.1m,1067.508679151535,17.8m,975.3344464302063,16.3m,10.5%
22,22,0.00243260669853443,0.838557545928955,0.7452,1.4787555557250978,0.617,1088.1226847171783,18.1m,1001.4884808063507,16.7m,1102.3306195735931,18.4m,1008.5419313907623,16.8m,11.0%
23,23,0.00242610096119278,0.8168651675033569,0.7501,,,1120.8600659370422,18.7m,1034.2281613349915,17.2m,1135.363311290741,18.9m,1041.5746319293976,17.4m,11.5%
24,24,0.0024193050385373327,0.7936647206497193,0.75606,1.488387738418579,0.6145,1155.0886781215668,19.3m,1066.9379487037659,17.8m,1170.0402348041534,19.5m,1074.6710259914398,17.9m,12.0%
25,25,0.0024122206073603123,0.762758790512085,0.76562,,,1187.8484122753143,19.8m,1099.7000486850739,18.3m,1203.104205608368,20.1m,1107.7350060939789,18.5m,12.5%
26,26,0.0024048494156391066,0.748984464302063,0.7683,1.602306273651123,0.6069,1222.2561848163605,20.4m,1132.5966193675995,18.9m,1237.9251976013184,20.6m,1140.9504323005676,19.0m,13.0%
27,27,0.0023971932821049745,0.7244541557693481,0.77606,,,1255.0181307792664,20.9m,1165.3609764575958,19.4m,1270.9787290096283,21.2m,1174.0039722919464,19.6m,13.5%
28,28,0.0023892540957943047,0.7053807747650146,0.78088,1.5085510692596436,0.6318,1289.2621576786041,21.5m,1198.095793247223,20.0m,1305.5957670211792,21.8m,1207.010177373886,20.1m,14.0%
29,29,0.002381033815582523,0.6921729891777039,0.78486,,,1321.9159138202667,22.0m,1230.7517311573029,20.5m,1338.5092175006866,22.3m,1239.923633813858,20.7m,14.5%
30,30,0.002372534469700768,0.6671545431137085,0.79224,1.5116531448364259,0.6247,1356.084549188614,22.6m,1263.4113240242004,21.1m,1373.0464396476746,22.9m,1272.8551797866821,21.2m,15.0%
31,31,0.0023637581552354583,0.6577963032531738,0.7964,,,1388.7957181930542,23.1m,1296.124900341034,21.6m,1406.0746257305145,23.4m,1305.8833765983582,21.8m,15.5%
32,32,0.0023547070376108655,0.6411994507980346,0.7995,1.4890761275291442,0.6271,1423.0244407653809,23.7m,1328.842886686325,22.1m,1440.7107787132263,24.0m,1338.9090600013733,22.3m,16.0%
33,33,0.002345383350054828,0.635221591873169,0.79978,,,1455.7425408363342,24.3m,1361.5635075569153,22.7m,1473.756581068039,24.6m,1371.9548723697662,22.9m,16.5%
34,34,0.0023357893930477376,0.6146034898376465,0.8085,1.6247499017715454,0.606,1489.948765039444,24.8m,1394.2581424713135,23.2m,1508.358547925949,25.1m,1404.9531955718994,23.4m,17.0%
