step,lr,epoch,train_loss,train_acc,val_loss,val_acc,timestamp,timestamp_fmt,duration,duration_fmt,grad_mean
1,0.1,1,2.302198863220215,0.1206,2.2995010490417482,0.1305,1745749796.9076133,2025/04/27 19:29:56,6.350116491317749,6.4s,0.0001262026053154841
2,0.09755282581475769,2,2.2978508781433105,0.138,2.2955390380859373,0.1431,1745749800.9796088,2025/04/27 19:30:00,10.422111988067627,10.4s,0.00012856202374678105
3,0.09045084971874738,3,2.2930284687042235,0.159,2.292148229980469,0.1486,1745749805.1117833,2025/04/27 19:30:05,14.554286479949951,14.6s,0.00013138643407728523
4,0.07938926261462367,4,2.2894707019805907,0.164,2.288816778564453,0.1537,1745749809.412009,2025/04/27 19:30:09,18.854512214660645,18.9s,0.00012829297338612378
5,0.06545084971874739,5,2.2860999603271486,0.1736,2.2867716232299804,0.1527,1745749813.6817842,2025/04/27 19:30:13,23.124287366867065,23.1s,0.00012630767014343292
6,0.05000000000000001,6,2.2838817077636717,0.1688,2.2846851192474364,0.158,1745749817.825335,2025/04/27 19:30:17,27.2678382396698,27.3s,0.00012802363198716193
7,0.03454915028125264,7,2.2820282218933103,0.1728,2.2827695693969727,0.1608,1745749822.1056545,2025/04/27 19:30:22,31.548157691955566,31.5s,0.00012863395386375487
8,0.020610737385376353,8,2.280746587753296,0.178,2.2825831382751467,0.1625,1745749826.257428,2025/04/27 19:30:26,35.699931144714355,35.7s,0.00012973707634955645
9,0.009549150281252635,9,2.2797591979980467,0.1808,2.2818607666015627,0.1622,1745749830.2991514,2025/04/27 19:30:30,39.74165463447571,39.7s,0.00013020136975683272
10,0.002447174185242324,10,2.2790719470977785,0.1812,2.2822155899047853,0.163,1745749834.3252416,2025/04/27 19:30:34,43.76774477958679,43.8s,0.0001276291732210666
