acceptedNameUsageID,Scientific name,Behavior0_Bottom,Behavior0_Top,Behavior0_Average,Behavior0_# records,Food0_Bottom,Food0_Top,Food0_Average,Food0_# records,Habitat0_Bottom,Habitat0_Top,Habitat0_Average,Habitat0_# records,Salinity0_Bottom,Salinity0_Top,Salinity0_Average,Salinity0_# records,TemperatureT0_Bottom,TemperatureT0_Top,TemperatureT0_Average,TemperatureT0_# records,Aggregation0_Bottom,Aggregation0_Top,Aggregation0_Average,Aggregation0_# records,Associate0_Bottom,Associate0_Top,Associate0_Average,Associate0_# records,Behavior1_Bottom,Behavior1_Top,Behavior1_Average,Behavior1_# records,Food1_Bottom,Food1_Top,Food1_Average,Food1_# records,Habitat1_Bottom,Habitat1_Top,Habitat1_Average,Habitat1_# records,Salinity1_Bottom,Salinity1_Top,Salinity1_Average,Salinity1_# records,TemperatureT1_Bottom,TemperatureT1_Top,TemperatureT1_Average,TemperatureT1_# records
105832,Heptranchias perlo,1.2,2.0,1.6,2,2.0,3.6,2.65,4,2.0,3.0,2.5,6,2.0,2.0,2.0,1,2.0,3.0,2.533333333,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105833,Hexanchus griseus,1.0,3.0,1.733333333,3,2.0,3.6,2.65,4,1.3,3.0,2.471428571,7,2.0,2.0,2.0,1,1.3,3.0,2.375,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105835,Alopias superciliosus,3.0,3.2,3.1,2,2.0,3.0,2.5,2,1.3,3.0,2.075,4,2.0,2.0,2.0,1,2.0,3.0,2.533333333,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105836,Alopias vulpinus,3.2,3.2,3.2,1,2.0,5.0,3.0,4,1.3,3.0,2.16,5,2.0,2.0,2.0,1,2.0,3.0,2.533333333,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105837,Cetorhinus maximus,3.0,3.2,3.066666667,3,1.8,1.8,1.8,1,1.3,3.0,2.216666667,6,2.0,2.0,2.0,1,1.3,3.0,2.1,3,1.0,4.0,2.5,4,,,,,,,,,,,,,,,,,,,,,,,,
105838,Carcharodon carcharias,3.0,3.0,3.0,1,2.0,5.0,3.52,5,1.0,3.0,2.1625,8,1.0,2.0,1.5,2,2.0,3.0,2.533333333,3,1.0,3.0,2.0,3,,,,,,,,,,,,,,,,,,,,,,,,
105839,Isurus oxyrinchus,3.0,3.2,3.1,2,2.0,4.0,3.15,4,1.3,3.0,2.1,3,2.0,2.0,2.0,1,2.0,3.0,2.533333333,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105840,Isurus paucus,2.5,3.2,2.9,3,2.0,3.0,2.5,2,3.0,3.0,3.0,1,2.0,2.0,2.0,1,2.0,3.0,2.533333333,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105841,Lamna nasus,3.0,3.0,3.0,1,2.0,3.6,2.866666667,3,1.3,3.0,2.328571429,7,2.0,2.0,2.0,1,1.3,2.0,1.633333333,3,1.0,4.0,2.5,2,,,,,,,,,,,,,,,,,,,,,,,,
105843,Carcharias taurus,1.0,3.2,2.3,4,2.0,3.6,2.65,4,1.3,2.0,1.6,3,2.0,2.0,2.0,1,2.0,3.0,2.533333333,3,1.0,4.0,2.666666667,3,,,,,,,,,,,,,,,,,,,,,,,,
