run_id,model_arc,epochs,ensemble_type,params,He_mod,grad,epoch,train_loss,train_acc,val_loss,val_acc,timestamp,timestamp_fmt,duration,duration_fmt,grad_mean
0,models.resnet_git_ee resnet18,100,EE,2855808,true,2855808,100,0.25849289932250974,0.9202,1.015659511947632,0.7108,1745226650.582407,2025/04/21 18:10:50,335.7940604686737,5.6m,0.0004728123894892633
1,models.resnet_git_ee resnet18,100,ME,2855808,true,2855808,100,0.387397181892395,0.8582,1.148620690536499,0.68,1745227997.5759304,2025/04/21 18:33:17,1346.5590023994446,22.4m,0.0002696872397791594
2,models.resnet_git_ee resnet18,100,EE,2855808,true,2855808,100,0.24283742353916168,0.9262,1.0292217153549195,0.7114,1745228329.26339,2025/04/21 18:38:49,331.656574010849,5.5m,0.0001751048694131896
3,models.resnet_git_ee resnet18,100,ME,2855808,true,2855808,86,0.43122707338333127,0.8468,1.0524682122230529,0.6976,1745229526.43558,2025/04/21 18:58:46,1196.7140576839447,19.9m,0.00033881678245961666
