step,epoch,lr,train_loss,train_acc,timestamp,timestamp_fmt,duration,duration_fmt,val_loss,val_acc
602,602,0.10319950549673788,3.2473246425628663,0.2553,1746785516.9960217,2025/05/09 19:11:56,3656.0458660125732,1.0h,,
603,603,0.10275202205170438,3.250163674545288,0.2548,1746785522.8975077,2025/05/09 19:12:02,3661.9473519325256,1.0h,,
604,604,0.10230500492513844,3.242314670944214,0.2613,1746785528.792429,2025/05/09 19:12:08,3667.842273235321,1.0h,,
605,605,0.10185845852891867,3.2527805088043213,0.2481,1746785534.714072,2025/05/09 19:12:14,3673.7639162540436,1.0h,,
606,606,0.10141238727027765,3.2516645000457762,0.2599,1746785540.612367,2025/05/09 19:12:20,3679.6622111797333,1.0h,,
607,607,0.10096679555175872,3.239407757949829,0.2562,1746785546.5320163,2025/05/09 19:12:26,3685.5818605422974,1.0h,,
608,608,0.10052168777117215,3.262064211654663,0.2532,1746785552.482827,2025/05/09 19:12:32,3691.53267121315,1.0h,,
609,609,0.1000770683215521,3.2440618213653565,0.2567,1746785558.396397,2025/05/09 19:12:38,3697.446241378784,1.0h,,
610,610,0.09963294159111298,3.2470397296905515,0.2597,1746785565.7804484,2025/05/09 19:12:45,3704.830292701721,1.0h,3.2409180992126463,0.2333
611,611,0.09918931196320636,3.233563047027588,0.2581,1746785571.7045267,2025/05/09 19:12:51,3710.7543709278107,1.0h,,
612,612,0.09874618381627757,3.2339003803253172,0.2612,1746785577.6037397,2025/05/09 19:12:57,3716.6535840034485,1.0h,,
613,613,0.09830356152382251,3.2276203800201415,0.2617,1746785583.5824351,2025/05/09 19:13:03,3722.632279396057,1.0h,,
614,614,0.09786144945434454,3.2312910804748536,0.2572,1746785589.489147,2025/05/09 19:13:09,3728.538991212845,1.0h,,
615,615,0.09741985197131121,3.232525311279297,0.2607,1746785595.3725476,2025/05/09 19:13:15,3734.4223918914795,1.0h,,
616,616,0.09697877343311152,3.2338566719055177,0.2617,1746785601.2344587,2025/05/09 19:13:21,3740.2843029499054,1.0h,,
617,617,0.09653821819301248,3.2370774021148683,0.2633,1746785607.1875367,2025/05/09 19:13:27,3746.2373809814453,1.0h,,
618,618,0.09609819059911649,3.232164389038086,0.2577,1746785613.0866084,2025/05/09 19:13:33,3752.1364526748657,1.0h,,
619,619,0.09565869499431823,3.229301908111572,0.2609,1746785618.9554543,2025/05/09 19:13:38,3758.005298614502,1.0h,,
620,620,0.09521973571626191,3.227658915710449,0.2614,1746785626.4358404,2025/05/09 19:13:46,3765.485684633255,1.0h,3.4361227169036863,0.1861
621,621,0.09478131709729838,3.2228566162109376,0.2622,1746785632.3212647,2025/05/09 19:13:52,3771.371109008789,1.0h,,
622,622,0.0943434434644424,3.232097236633301,0.2606,1746785638.2670674,2025/05/09 19:13:58,3777.3169116973877,1.0h,,
623,623,0.09390611913933002,3.221314693450928,0.259,1746785644.2833252,2025/05/09 19:14:04,3783.3331694602966,1.1h,,
624,624,0.09346934843817564,3.218590406036377,0.2631,1746785650.193158,2025/05/09 19:14:10,3789.243002176285,1.1h,,
625,625,0.09303313567172991,3.22239711227417,0.2613,1746785656.1154768,2025/05/09 19:14:16,3795.165321111679,1.1h,,
626,626,0.0925974851452366,3.224229709625244,0.2586,1746785662.0161877,2025/05/09 19:14:22,3801.066031932831,1.1h,,
627,627,0.09216240115839058,3.2250472358703615,0.2613,1746785667.900585,2025/05/09 19:14:27,3806.950429201126,1.1h,,
628,628,0.09172788800529515,3.220554814529419,0.2592,1746785673.831026,2025/05/09 19:14:33,3812.8808703422546,1.1h,,
629,629,0.09129394997441972,3.2354220973968504,0.2543,1746785679.7461994,2025/05/09 19:14:39,3818.7960436344147,1.1h,,
630,630,0.0908605913485574,3.218289288711548,0.262,1746785687.1522133,2025/05/09 19:14:47,3826.2020576000214,1.1h,3.4670623947143553,0.1841
631,631,0.09042781640478294,3.2121024105072022,0.2629,1746785693.053923,2025/05/09 19:14:53,3832.103767156601,1.1h,,
632,632,0.08999562941441036,3.2269265758514405,0.2619,1746785698.8555837,2025/05/09 19:14:58,3837.9054279327393,1.1h,,
633,633,0.08956403464295065,3.2235887008666992,0.2624,1746785704.6445134,2025/05/09 19:15:04,3843.6943576335907,1.1h,,
634,634,0.08913303635007007,3.222931307601929,0.2594,1746785710.500614,2025/05/09 19:15:10,3849.5504581928253,1.1h,,
635,635,0.0887026387895477,3.231116798782349,0.26,1746785716.454268,2025/05/09 19:15:16,3855.5041122436523,1.1h,,
636,636,0.08827284620923373,3.2208277587890626,0.2611,1746785722.3372774,2025/05/09 19:15:22,3861.3871216773987,1.1h,,
637,637,0.08784366285100743,3.225735778808594,0.2551,1746785728.310629,2025/05/09 19:15:28,3867.3604731559753,1.1h,,
638,638,0.08741509295073528,3.216766535949707,0.2636,1746785734.1909974,2025/05/09 19:15:34,3873.240841627121,1.1h,,
639,639,0.08698714073822911,3.22530159034729,0.2643,1746785740.109306,2025/05/09 19:15:40,3879.1591503620148,1.1h,,
640,640,0.08655981043720458,3.222959492111206,0.262,1746785747.5020306,2025/05/09 19:15:47,3886.5518748760223,1.1h,3.2571796188354494,0.2226
641,641,0.08613310626523915,3.2235105545043945,0.2606,1746785753.3985229,2025/05/09 19:15:53,3892.4483671188354,1.1h,,
642,642,0.08570703243373082,3.216856350708008,0.2599,1746785759.3464782,2025/05/09 19:15:59,3898.396322488785,1.1h,,
643,643,0.08528159314785626,3.2137032012939453,0.2648,1746785765.1326785,2025/05/09 19:16:05,3904.1825227737427,1.1h,,
644,644,0.08485679260652937,3.2151105972290037,0.26,1746785771.0684135,2025/05/09 19:16:11,3910.1182577610016,1.1h,,
645,645,0.08443263500236016,3.214312413787842,0.2648,1746785776.9496615,2025/05/09 19:16:16,3915.9995057582855,1.1h,,
646,646,0.08400912452161277,3.216195841598511,0.2613,1746785782.8790357,2025/05/09 19:16:22,3921.9288799762726,1.1h,,
647,647,0.08358626534416486,3.214814916229248,0.2631,1746785788.8162875,2025/05/09 19:16:28,3927.8661317825317,1.1h,,
648,648,0.08316406164346561,3.221650419998169,0.2594,1746785794.7578404,2025/05/09 19:16:34,3933.807684659958,1.1h,,
649,649,0.08274251758649524,3.2182222412109374,0.2596,1746785800.702207,2025/05/09 19:16:40,3939.7520513534546,1.1h,,
650,650,0.08232163733372327,3.208639324951172,0.2614,1746785808.1314175,2025/05/09 19:16:48,3947.181261777878,1.1h,3.387643504714966,0.2034
651,651,0.08190142503906803,3.206196396636963,0.2662,1746785814.0564468,2025/05/09 19:16:54,3953.1062910556793,1.1h,,
652,652,0.08148188484985515,3.2046183815002443,0.2669,1746785820.0327103,2025/05/09 19:17:00,3959.082554578781,1.1h,,
653,653,0.08106302090677686,3.203550757598877,0.2611,1746785826.0155692,2025/05/09 19:17:06,3965.0654134750366,1.1h,,
