step,epoch,lr,train_loss,train_acc,val_loss,val_acc,dur_total_core,dur_total_core_fmt,dur_train_core,dur_train_core_fmt,dur_total,dur_total_fmt,dur_train,dur_train_fmt,progress
1,1,0.005,4.5820982536315915,0.023,,,67.0239520072937,1.1m,67.024178981781,1.1m,67.12624859809875,1.1m,67.12625622749329,1.1m,0.2%
2,2,0.004999922894111975,4.24050311126709,0.0512,,,69.91924834251404,1.2m,69.91961526870728,1.2m,70.11878609657288,1.2m,70.11879682540894,1.2m,0.5%
3,3,0.004999691581204152,4.015316105651856,0.073,,,72.43664169311523,1.2m,72.43715929985046,1.2m,72.73564839363098,1.2m,72.73566365242004,1.2m,0.8%
4,4,0.004999306075545002,3.948232405090332,0.0758,3.855754748535156,0.092,88.24606800079346,1.5m,74.95087957382202,1.2m,94.6290910243988,1.6m,75.32864928245544,1.3m,1.0%
5,5,0.0049987664009143295,3.7904676162719726,0.0918,,,90.76617741584778,1.5m,77.47113084793091,1.3m,97.2351884841919,1.6m,77.93474984169006,1.3m,1.2%
6,6,0.004998072590601808,3.6931188777923585,0.1124,,,93.28499007225037,1.6m,79.99006605148315,1.3m,99.8272442817688,1.7m,80.52680850028992,1.3m,1.5%
7,7,0.004997224687404926,3.6497022659301757,0.124,,,95.81525802612305,1.6m,82.52052569389343,1.4m,102.43969869613647,1.7m,83.13926649093628,1.4m,1.8%
8,8,0.004996222743626346,3.537466680908203,0.1368,3.68468342666626,0.1245,99.48089146614075,1.7m,85.05292844772339,1.4m,106.56735157966614,1.8m,85.77622961997986,1.4m,2.0%
9,9,0.00499506682107068,3.4583349319458008,0.1482,,,102.01196026802063,1.7m,87.58421397209167,1.5m,109.18180847167969,1.8m,88.39069247245789,1.5m,2.2%
10,10,0.004993756991040676,3.359955799865723,0.1672,,,104.54002499580383,1.7m,90.11240458488464,1.5m,111.78966784477234,1.9m,90.99855470657349,1.5m,2.5%
11,11,0.004992293334332821,3.3048135517120363,0.1796,,,107.0696234703064,1.8m,92.64217901229858,1.5m,114.42135238647461,1.9m,93.63024258613586,1.6m,2.8%
12,12,0.004990675941232354,3.256630348587036,0.1808,3.4291721115112304,0.1734,110.72719764709473,1.8m,95.18690609931946,1.6m,118.34491491317749,2.0m,96.26151061058044,1.6m,3.0%
13,13,0.004988904911507701,3.208909913635254,0.1888,,,113.2784652709961,1.9m,97.7383816242218,1.6m,120.98230838775635,2.0m,98.89890813827515,1.6m,3.2%
14,14,0.004986980354404317,3.1637967124938964,0.2044,,,115.82330107688904,1.9m,100.2834165096283,1.7m,123.60998558998108,2.1m,101.52659010887146,1.7m,3.5%
15,15,0.00498490238863795,3.101466429901123,0.206,,,118.36488437652588,2.0m,102.82514905929565,1.7m,126.23588490486145,2.1m,104.15249347686768,1.7m,3.8%
16,16,0.0049826711423873165,3.0894894348144533,0.2136,3.4316967346191407,0.1715,122.01138091087341,2.0m,105.37175440788269,1.8m,130.15316247940063,2.2m,106.78437495231628,1.8m,4.0%
17,17,0.004980286753286195,3.012280221557617,0.2242,,,124.55331778526306,2.1m,107.91387176513672,1.8m,132.76858687400818,2.2m,109.39980483055115,1.8m,4.2%
18,18,0.004977749368414937,2.9852984634399413,0.2298,,,127.10728573799133,2.1m,110.46804404258728,1.8m,135.4026381969452,2.3m,112.03386044502258,1.9m,4.5%
19,19,0.0049750591442913935,2.9050454627990723,0.2498,,,129.65182399749756,2.2m,113.01272106170654,1.9m,138.02258896827698,2.3m,114.65381574630737,1.9m,4.8%
20,20,0.004972216246861261,2.825768567657471,0.2644,3.323794197845459,0.1999,133.30708575248718,2.2m,115.56716728210449,1.9m,141.96889209747314,2.4m,117.30072522163391,2.0m,5.0%
21,21,0.004969220851487844,2.845454438781738,0.2586,,,135.84365224838257,2.3m,118.10387992858887,2.0m,144.59551763534546,2.4m,119.92735528945923,2.0m,5.2%
22,22,0.004966073142941238,2.73784379196167,0.2868,,,138.40604257583618,2.3m,120.66648960113525,2.0m,147.25460290908813,2.5m,122.58644533157349,2.0m,5.5%
23,23,0.004962773315386935,2.738918814468384,0.2816,,,140.962322473526,2.3m,123.22299456596375,2.1m,149.8882040977478,2.5m,125.220050573349,2.1m,5.8%
24,24,0.00495932157237384,2.668261490249634,0.2948,3.1435975677490235,0.2267,144.6138937473297,2.4m,125.76705622673035,2.1m,153.7967929840088,2.6m,127.8423101902008,2.1m,6.0%
25,25,0.004955718126821723,2.631682223892212,0.3048,,,147.16268515586853,2.5m,128.3160219192505,2.1m,156.42662930488586,2.6m,130.47215127944946,2.2m,6.2%
