step,train_loss,train_acc,val_loss,val_acc
1,1.8688896171569824,0.3064,1.982074051094055,0.3666
2,1.5501602504730225,0.432,1.979359747505188,0.362
3,1.4570759052276612,0.4746,1.5335576652526854,0.4504
4,1.383308448791504,0.5056,1.4251862300872802,0.4826
5,1.3123262119293213,0.5276,1.292845140838623,0.5358
6,1.2793502994537354,0.5386,1.2985321865081787,0.5378
7,1.2476155757904053,0.5494,1.2814644419670105,0.5586
8,1.207182551765442,0.5618,1.3380685485839843,0.5308
9,1.1705083597183228,0.5814,1.361732691669464,0.5302
10,1.1371227139472961,0.59,1.2634727367401124,0.5508
11,1.072930891418457,0.6156,1.257918967819214,0.5662
12,1.0825447956085206,0.6138,1.233674711227417,0.5772
13,1.0812888635635376,0.6174,1.1500992801666259,0.5942
14,1.04680473651886,0.631,1.2173412101745607,0.5914
15,1.0239937482833863,0.6392,1.0996577186584473,0.6152
16,0.9784286045074463,0.6582,1.0725220943450928,0.6282
17,0.9494671649932861,0.6626,1.0893308589935302,0.6198
18,0.953602649307251,0.6578,1.108317942428589,0.6216
19,0.9679456822395325,0.6594,1.0674749104499817,0.6308
20,0.900346339225769,0.6794,1.092796601486206,0.6278
21,0.8928943124771118,0.6792,1.0645920800209046,0.638
22,0.8860546175956726,0.686,1.1130468324661256,0.625
23,0.8452911693572998,0.7012,1.008165995311737,0.6562
24,0.7845016737937928,0.7224,1.0679613079071044,0.643
25,0.8026136339187622,0.7152,1.0216073999404907,0.6558
26,0.7982406999588013,0.7148,0.9947073496818543,0.665
27,0.7556189094543457,0.7332,1.0244096106529237,0.6526
28,0.7817760274887084,0.7294,1.0101752684593202,0.668
29,0.771452918624878,0.7274,0.9853924220085144,0.6638
30,0.7888849602699279,0.732,1.0923758905410768,0.6548
31,0.7397614675521851,0.7408,0.9726394614219666,0.6738
32,0.7179205158233642,0.746,0.9824620403289795,0.6748
33,0.7122437377929688,0.7496,1.0141137550354005,0.6716
34,0.709158670425415,0.7462,1.0042493125915528,0.6674
35,0.7484383544921875,0.7354,1.0291783224105835,0.6686
36,0.6965121677398681,0.7512,1.0075949481010438,0.6698
37,0.6605341889381409,0.7648,0.9208491109848023,0.694
38,0.6214998106002808,0.7846,0.9310995807647705,0.6898
39,0.6182204244613647,0.7816,0.9676722834587097,0.6866
40,0.6252921447753906,0.781,0.9997921161651612,0.6776
41,0.6026122504711151,0.7904,0.9732702949523926,0.6852
42,0.5757582388877869,0.8,0.932394161605835,0.6928
43,0.5969236855983734,0.7912,0.9432212078094483,0.6902
44,0.551477258682251,0.8048,0.945527900505066,0.6972
45,0.5522016063690186,0.8104,0.9396022216796875,0.6926
46,0.5229388898849487,0.8194,0.9555236253261566,0.6914
47,0.5310959634780884,0.8196,0.9308768880844116,0.7012
48,0.5172122841835022,0.8232,0.9333359552383422,0.7056
49,0.5038464652061463,0.8204,0.9253060972213745,0.699
50,0.49306994247436525,0.8292,0.948005034828186,0.699
51,0.467998416519165,0.8388,0.934649124956131,0.7054
52,0.45907526974678037,0.8394,0.9571676972866059,0.7008
53,0.45197743215560915,0.8502,0.9462158702850342,0.7034
54,0.4451375360012054,0.848,0.9517454042434692,0.7002
55,0.43592840785980225,0.849,0.964858014678955,0.7028
56,0.4316032573699951,0.852,0.9629255088806152,0.7046
57,0.42383209257125853,0.8582,0.9407503898620605,0.7064
58,0.42668645515441894,0.8518,0.9456096227645874,0.701
59,0.4073720338821411,0.8644,0.9684036952972412,0.7078
60,0.39817348289489746,0.8618,0.9417828493595123,0.7126
61,0.39632514209747316,0.8698,0.9722576091766357,0.7076
62,0.3972894250869751,0.8636,0.9577319375991822,0.7066
63,0.38429830760955813,0.8692,0.9523127482414245,0.7098
64,0.3820471084833145,0.8724,0.9567057008266449,0.7088
65,0.3613500296115875,0.8796,0.9589018152236939,0.7096
66,0.36186397075653076,0.8822,0.9536501596450806,0.7122
67,0.3505664525985718,0.8906,0.9538270275115966,0.7154
68,0.35041840715408323,0.8846,0.9664015787124633,0.7098
69,0.36131123538017273,0.8834,0.9482504586219788,0.7108
70,0.3356682159900665,0.8952,0.9570185268402099,0.7116
71,0.332823118019104,0.8938,0.9623514210700989,0.709
72,0.3453358109474182,0.8924,0.9516804906845093,0.7144
73,0.33466048760414124,0.8942,0.9477357040405273,0.7112
74,0.32604249687194825,0.9008,0.9611921975135803,0.712
75,0.3341514721870422,0.8948,0.9608182806015014,0.7068
76,0.3339910970687866,0.8912,0.9541425626277924,0.712
77,0.33050863189697266,0.8908,0.9535581027030945,0.7138
78,0.33071619968414306,0.8974,0.9606194087982177,0.7104
79,0.32129795083999635,0.9002,0.9658118621826172,0.7064
80,0.32079686845541,0.9018,0.9536390014648437,0.7088
