acceptedNameUsageID,Scientific name,Item,Bottom,Top,Average,# records
105819,Sphyrna zygaena,Habitat,1.3,3,2.257142857,7
105819,Sphyrna zygaena,TemperatureT,2,3,2.533333333,3
105819,Sphyrna zygaena,Behavior,2,3,2.5,2
105819,Sphyrna zygaena,Food,1.4,3.6,2.777777778,9
105819,Sphyrna zygaena,Aggregation,4,4,4,1
105820,Galeorhinus galeus,Salinity,2,2,2,1
105820,Galeorhinus galeus,Habitat,1.3,3,2.4125,8
105820,Galeorhinus galeus,TemperatureT,2,2.6,2.3,2
105820,Galeorhinus galeus,Behavior,1,2,1.5,2
105820,Galeorhinus galeus,Food,1.4,3.2,2.175,8
105820,Galeorhinus galeus,Aggregation,3,3,3,1
105822,Mustelus mustelus,Salinity,2,2,2,1
105822,Mustelus mustelus,Habitat,2,3,2.375,4
105822,Mustelus mustelus,TemperatureT,2,2,2,1
105822,Mustelus mustelus,Behavior,1,2,1.5,2
105822,Mustelus mustelus,Food,2,3,2.333333333,3
105832,Heptranchias perlo,Salinity,2,2,2,1
105832,Heptranchias perlo,Habitat,2,3,2.5,6
105832,Heptranchias perlo,TemperatureT,2,3,2.533333333,3
105832,Heptranchias perlo,Behavior,1.2,2,1.6,2
105832,Heptranchias perlo,Food,2,3.6,2.65,4
105833,Hexanchus griseus,Salinity,2,2,2,1
105833,Hexanchus griseus,Habitat,1.3,3,2.471428571,7
105833,Hexanchus griseus,TemperatureT,1.3,3,2.375,4
105833,Hexanchus griseus,Behavior,1,3,1.733333333,3
105833,Hexanchus griseus,Food,2,3.6,2.65,4
105835,Alopias superciliosus,Salinity,2,2,2,1
105835,Alopias superciliosus,Habitat,1.3,3,2.075,4
105835,Alopias superciliosus,TemperatureT,2,3,2.533333333,3
105835,Alopias superciliosus,Behavior,3,3.2,3.1,2
105835,Alopias superciliosus,Food,2,3,2.5,2
105836,Alopias vulpinus,Salinity,2,2,2,1
105836,Alopias vulpinus,Habitat,1.3,3,2.16,5
105836,Alopias vulpinus,TemperatureT,2,3,2.533333333,3
105836,Alopias vulpinus,Behavior,3.2,3.2,3.2,1
105836,Alopias vulpinus,Food,2,5,3,4
105837,Cetorhinus maximus,Salinity,2,2,2,1
105837,Cetorhinus maximus,Habitat,1.3,3,2.216666667,6
105837,Cetorhinus maximus,TemperatureT,1.3,3,2.1,3
105837,Cetorhinus maximus,Behavior,3,3.2,3.066666667,3
105837,Cetorhinus maximus,Food,1.8,1.8,1.8,1
105837,Cetorhinus maximus,Aggregation,1,4,2.5,4
105838,Carcharodon carcharias,Salinity,1,2,1.5,2
105838,Carcharodon carcharias,Habitat,1,3,2.1625,8
105838,Carcharodon carcharias,TemperatureT,2,3,2.533333333,3
105838,Carcharodon carcharias,Behavior,3,3,3,1
105838,Carcharodon carcharias,Food,2,5,3.52,5
105838,Carcharodon carcharias,Aggregation,1,3,2,3
105839,Isurus oxyrinchus,Salinity,2,2,2,1
105839,Isurus oxyrinchus,Habitat,1.3,3,2.1,3
105839,Isurus oxyrinchus,TemperatureT,2,3,2.533333333,3
105839,Isurus oxyrinchus,Behavior,3,3.2,3.1,2
105839,Isurus oxyrinchus,Food,2,4,3.15,4
105840,Isurus paucus,Salinity,2,2,2,1
105840,Isurus paucus,Habitat,3,3,3,1
105840,Isurus paucus,TemperatureT,2,3,2.533333333,3
105840,Isurus paucus,Behavior,2.5,3.2,2.9,3
105840,Isurus paucus,Food,2,3,2.5,2
105841,Lamna nasus,Salinity,2,2,2,1
105841,Lamna nasus,Habitat,1.3,3,2.328571429,7
105841,Lamna nasus,TemperatureT,1.3,2,1.633333333,3
105841,Lamna nasus,Behavior,3,3,3,1
105841,Lamna nasus,Food,2,3.6,2.866666667,3
105841,Lamna nasus,Aggregation,1,4,2.5,2
105843,Carcharias taurus,Salinity,2,2,2,1
105843,Carcharias taurus,Habitat,1.3,2,1.6,3
105843,Carcharias taurus,TemperatureT,2,3,2.533333333,3
105843,Carcharias taurus,Behavior,1,3.2,2.3,4
105843,Carcharias taurus,Food,2,3.6,2.65,4
105843,Carcharias taurus,Aggregation,1,4,2.666666667,3
105844,Odontaspis ferox,Salinity,2,2,2,1
105844,Odontaspis ferox,Habitat,2,3,2.5,6
105844,Odontaspis ferox,TemperatureT,2.6,3,2.8,2
105844,Odontaspis ferox,Behavior,2,2,2,1
105844,Odontaspis ferox,Food,2,3,2.333333333,3
105845,Odontaspis noronhai,Salinity,2,2,2,1
105845,Odontaspis noronhai,Habitat,2.5,3,2.666666667,3
105845,Odontaspis noronhai,TemperatureT,3,3,3,1
105845,Odontaspis noronhai,Behavior,3,3,3,1
105846,Ginglymostoma cirratum,Salinity,1,2,1.5,2
105846,Ginglymostoma cirratum,Habitat,1.3,2.5,1.675,8
105846,Ginglymostoma cirratum,TemperatureT,2.6,3,2.8,2
105846,Ginglymostoma cirratum,Behavior,1.7,1.7,1.7,1
105846,Ginglymostoma cirratum,Food,1.4,3.6,2.666666667,3
105846,Ginglymostoma cirratum,Aggregation,1,3,2,2
105847,Rhincodon typus,Salinity,2,2,2,1
105847,Rhincodon typus,Habitat,1,3,1.883333333,6
105847,Rhincodon typus,TemperatureT,2,3,2.533333333,3
105847,Rhincodon typus,Associate,2.8,3,2.9,2
105847,Rhincodon typus,Behavior,3.2,3.2,3.2,1
105847,Rhincodon typus,Food,1.8,3,2.2,5
105847,Rhincodon typus,Aggregation,1,4,2.5,2
105858,Mobula japanica,Salinity,2,2,2,1
105858,Mobula mobular,Salinity,2,2,2,1
105858,Mobula japanica,Habitat,1.3,3,1.95,4
105858,Mobula mobular,Habitat,1.5,3,2.2,5
105858,Mobula japanica,TemperatureT,2.6,2.6,2.6,1
105858,Mobula mobular,TemperatureT,2,3,2.533333333,3
105858,Mobula japanica,Behavior,3,3,3,1
105858,Mobula mobular,Behavior,3,3.2,3.1,2
105858,Mobula japanica,Food,1.8,3.2,2.24,5
105858,Mobula mobular,Food,2,3.2,2.6,2
105858,Mobula japanica,Aggregation,1,3,2,2
105859,Mobula tarapacana,Salinity,2,2,2,1
105859,Mobula tarapacana,Habitat,1.5,3,2.166666667,3
105859,Mobula tarapacana,TemperatureT,3,3,3,1
105859,Mobula tarapacana,Food,1.8,3.2,2.5,2
105859,Mobula tarapacana,Aggregation,1,3,2,2
105860,Myliobatis aquila,Salinity,1,2,1.5,2
105860,Myliobatis aquila,Habitat,1,3,1.966666667,6
105860,Myliobatis aquila,TemperatureT,2.6,2.6,2.6,1
105860,Myliobatis aquila,Behavior,2,2,2,2
105860,Myliobatis aquila,Food,1.4,3,1.825,4
105860,Myliobatis aquila,Aggregation,3,3,3,1
105899,Centrophorus granulosus,Salinity,2,2,2,1
105899,Centrophorus granulosus,Habitat,2,3,2.5,4
105899,Centrophorus granulosus,Behavior,1,2,1.475,4
105899,Centrophorus granulosus,Food,2,3,2.333333333,3
105899,Centrophorus granulosus,Aggregation,1,1,1,1
105901,Centrophorus squamosus,Salinity,2,2,2,1
105901,Centrophorus squamosus,Habitat,2,3,2.6,5
105901,Centrophorus squamosus,Behavior,1,2,1.4,3
105901,Centrophorus squamosus,Food,2,3,2.5,2
105902,Centrophorus uyato,Salinity,2,2,2,1
105902,Centrophorus uyato,Habitat,2,3,2.625,4
105902,Centrophorus uyato,Behavior,1.2,1.2,1.2,1
105902,Centrophorus uyato,Food,2,3,2.5,2
105907,Centroscymnus coelolepis,Salinity,2,2,2,1
105907,Centroscymnus coelolepis,Habitat,2.5,3,2.666666667,3
105907,Centroscymnus coelolepis,Behavior,1,1.2,1.1,2
105907,Centroscymnus coelolepis,Food,1.5,3.6,2.42,5
105910,Dalatias licha,Salinity,2,2,2,1
105910,Dalatias licha,Habitat,2,3,2.5,6
105910,Dalatias licha,Behavior,1,3,1.8,4
105910,Dalatias licha,Food,2,3.6,2.971428571,7
105910,Dalatias licha,Aggregation,1,3,2,2
105918,Scymnodon ringens,Salinity,2,2,2,1
105918,Scymnodon ringens,Behavior,2,3,2.5,3
105918,Scymnodon ringens,Habitat,2.5,2.5,2.5,1
105919,Somniosus microcephalus,Salinity,1,2,1.5,2
105919,Somniosus microcephalus,Habitat,1,3,2.1625,8
105919,Somniosus microcephalus,TemperatureT,1,1.3,1.15,2
105919,Somniosus microcephalus,Behavior,1,3.2,2.3,4
105919,Somniosus microcephalus,Food,1.4,5,2.717241379,29
105921,Squaliolus laticaudus,Salinity,2,2,2,1
105921,Squaliolus laticaudus,TemperatureT,3,3,3,1
105921,Squaliolus laticaudus,Behavior,2.5,3.2,2.9,3
105921,Squaliolus laticaudus,Food,2.6,3.2,3.05,4
105921,Squaliolus laticaudus,Habitat,2.2,3,2.566666667,3
105923,Squalus acanthias,Salinity,0,2,1,3
105923,Squalus acanthias,Habitat,1,3,2.28,10
105923,Squalus acanthias,TemperatureT,1,2,1.5,2
105923,Squalus acanthias,Behavior,1,2,1.5,2
105923,Squalus acanthias,Food,1.4,3.2,2.333333333,12
126292,Nessorhamphus ingolfianus,Salinity,2,2,2,1
126292,Nessorhamphus ingolfianus,TemperatureT,2,2.6,2.3,2
126292,Nessorhamphus ingolfianus,Behavior,2.5,3,2.75,2
126292,Nessorhamphus ingolfianus,Food,2,2,2,1
126292,Nessorhamphus ingolfianus,Habitat,3,3,3,1
126305,Nemichthys curvirostris,Salinity,2,2,2,1
126305,Nemichthys curvirostris,TemperatureT,2,3,2.5,2
126305,Nemichthys curvirostris,Behavior,2.5,2.5,2.5,1
126305,Nemichthys curvirostris,Food,2,2,2,1
126306,Nemichthys scolopaceus,Salinity,2,2,2,1
126306,Nemichthys scolopaceus,TemperatureT,2,3,2.5,2
126306,Nemichthys scolopaceus,Behavior,2.5,3,2.75,2
126306,Nemichthys scolopaceus,Food,2,2.2,2.066666667,3
126306,Nemichthys scolopaceus,Habitat,3,3,3,1
126332,Alepisaurus brevirostris,Salinity,2,2,2,1
126332,Alepisaurus brevirostris,Habitat,3,3,3,2
126332,Alepisaurus brevirostris,TemperatureT,2,3,2.5,2
126332,Alepisaurus brevirostris,Behavior,2.5,2.5,2.5,1
126332,Alepisaurus brevirostris,Food,2.2,3,2.466666667,3
126333,Alepisaurus ferox,Salinity,2,2,2,1
126333,Alepisaurus ferox,Habitat,1.3,3,2.15,2
126333,Alepisaurus ferox,TemperatureT,1.3,3,2.3,3
126333,Alepisaurus ferox,Behavior,2.5,3.2,2.9,3
126333,Alepisaurus ferox,Food,1.4,3,1.96,5
126349,Scopelosaurus lepidus,Salinity,2,2,2,1
126349,Scopelosaurus lepidus,TemperatureT,1.3,3,2.225,4
126349,Scopelosaurus lepidus,Behavior,2,3,2.5,3
126349,Scopelosaurus lepidus,Food,1.8,3.2,2.25,4
126349,Scopelosaurus lepidus,Habitat,3,3,3,1
126350,Scopelosaurus smithii,Salinity,2,2,2,1
126350,Scopelosaurus smithii,TemperatureT,2,3,2.5,2
126350,Scopelosaurus smithii,Behavior,2,3,2.5,2
126350,Scopelosaurus smithii,Food,1.8,1.8,1.8,1
126350,Scopelosaurus smithii,Habitat,2.2,2.5,2.35,2
126361,Paralepis coregonoides,Salinity,2,2,2,1
126361,Paralepis coregonoides,Behavior,2.5,3.2,2.88,5
126367,Scopelarchus analis,Salinity,2,2,2,1
126367,Scopelarchus analis,TemperatureT,2,3,2.466666667,3
126367,Scopelarchus analis,Behavior,2.5,3,2.75,2
126367,Scopelarchus analis,Food,3.2,3.2,3.2,1
126367,Scopelarchus analis,Habitat,3,3,3,1
126368,Scopelarchus michaelsarsi,Salinity,2,2,2,1
126368,Scopelarchus michaelsarsi,TemperatureT,2.6,3,2.8,2
126368,Scopelarchus michaelsarsi,Behavior,2.5,3,2.75,2
126368,Scopelarchus michaelsarsi,Food,3.2,3.2,3.2,1
126368,Scopelarchus michaelsarsi,Habitat,3,3,3,1
126375,Belone belone,Salinity,1,2,1.5,2
126375,Belone belone,TemperatureT,2,2,2,1
126375,Belone belone,Behavior,3,3,3,1
126375,Belone belone,Food,3,3,3,1
126375,Belone belone,Habitat,3,3,3,1
126378,Tylosurus acus,Salinity,2,2,2,1
126378,Tylosurus acus,TemperatureT,2.4,3,2.666666667,3
126378,Tylosurus acus,Behavior,3.2,3.2,3.2,1
126378,Tylosurus acus,Food,2,3.2,2.6,2
126378,Tylosurus acus,Habitat,1.5,3,2.125,4
126385,Exocoetus volitans,Salinity,2,2,2,1
126385,Exocoetus volitans,TemperatureT,2.6,3,2.8,2
126385,Exocoetus volitans,Behavior,3,3.2,3.1,2
126385,Exocoetus volitans,Food,1.8,2,1.9,2
126385,Exocoetus volitans,Habitat,2,2,2,2
126387,Hirundichthys speculiger,Salinity,2,2,2,1
126387,Hirundichthys speculiger,TemperatureT,3,3,3,1
126387,Hirundichthys speculiger,Behavior,3,3,3,1
126387,Hirundichthys speculiger,Habitat,3,3,3,1
126392,Scomberesox saurus,Salinity,2,2,2,1
126392,Scomberesox saurus,TemperatureT,2,2.6,2.3,2
126392,Scomberesox saurus,Aggregation,4,4,4,1
126392,Scomberesox saurus,Behavior,3,3,3,1
126392,Scomberesox saurus,Food,1.8,3.2,2.15,4
126392,Scomberesox saurus,Habitat,3,3,3,1
126393,Anoplogaster cornuta,Salinity,2,2,2,1
126393,Anoplogaster cornuta,TemperatureT,2,3,2.5,2
126393,Anoplogaster cornuta,Aggregation,1,3,2,2
126393,Anoplogaster cornuta,Behavior,2.5,2.5,2.5,1
126393,Anoplogaster cornuta,Food,2,3,2.5,2
126404,Hoplostethus mediterraneus,Salinity,2,2,2,1
126404,Hoplostethus mediterraneus,TemperatureT,2.6,2.6,2.6,1
126404,Hoplostethus mediterraneus,Behavior,2,2,2,1
126407,Ditropichthys storeri,Salinity,2,2,2,1
126407,Ditropichthys storeri,Behavior,2.5,2.5,2.5,1
126412,Rondeletia loricata,Salinity,2,2,2,1
126412,Rondeletia loricata,TemperatureT,2,3,2.5,2
126412,Rondeletia loricata,Behavior,2.5,3,2.75,2
126412,Rondeletia loricata,Food,1.8,2,1.9,2
126412,Rondeletia loricata,Habitat,3,3,3,1
126421,Sardina pilchardus,Salinity,0,2,1,3
126421,Sardina pilchardus,TemperatureT,1.6,2.6,2.1,2
126421,Sardina pilchardus,Aggregation,4,4,4,1
126421,Sardina pilchardus,Behavior,3,3,3,1
126421,Sardina pilchardus,Food,1.8,1.8,1.8,1
126421,Sardina pilchardus,Habitat,2,2,2,1
126422,Sardinella aurita,Salinity,1,2,1.5,2
126422,Sardinella aurita,TemperatureT,2.6,2.6,2.6,1
126422,Sardinella aurita,Behavior,3,3,3,1
126422,Sardinella aurita,Food,1.2,1.8,1.6,3
126422,Sardinella aurita,Habitat,1.3,2,1.766666667,3
126423,Sardinella maderensis,Salinity,1,2,1.5,2
126423,Sardinella maderensis,TemperatureT,2.6,2.6,2.6,1
126423,Sardinella maderensis,Aggregation,4,4,4,1
126423,Sardinella maderensis,Behavior,3,3,3,1
126423,Sardinella maderensis,Food,1.2,1.8,1.6,3
126423,Sardinella maderensis,Habitat,1,2,1.5,2
126425,Sprattus sprattus,Salinity,0,2,1,3
126425,Sprattus sprattus,TemperatureT,2,2,2,1
126425,Sprattus sprattus,Aggregation,4,4,4,1
126425,Sprattus sprattus,Behavior,3,3,3,1
126425,Sprattus sprattus,Food,1.8,1.8,1.8,1
126425,Sprattus sprattus,Habitat,1,3,1.825,4
126439,Micromesistius poutassou,Salinity,2,2,2,1
126439,Micromesistius poutassou,TemperatureT,2,2,2,1
126439,Micromesistius poutassou,Behavior,2.5,2.5,2.5,1
126439,Micromesistius poutassou,Food,2,3,2.5,3
126439,Micromesistius poutassou,Habitat,2,2.5,2.25,2
126444,Trisopterus esmarkii,Salinity,2,2,2,1
126444,Trisopterus esmarkii,TemperatureT,2,2,2,1
126444,Trisopterus esmarkii,Behavior,2,3,2.5,2
126444,Trisopterus esmarkii,Food,1.8,3.2,2.088888889,9
126473,Nezumia aequalis,Salinity,2,2,2,1
126473,Nezumia aequalis,Behavior,2,2,2,1
126473,Nezumia aequalis,Food,1.4,2,1.7,2
126482,Trachyrincus scabrus,Salinity,2,2,2,1
126482,Trachyrincus scabrus,Aggregation,4,4,4,1
126482,Trachyrincus scabrus,Behavior,1.2,1.2,1.2,1
126482,Trachyrincus scabrus,Food,1.4,3,2.085714286,7
126482,Trachyrincus scabrus,Habitat,2,3,2.5,3
126484,Merluccius merluccius,Salinity,2,2,2,1
126484,Merluccius merluccius,TemperatureT,2,2,2,1
126484,Merluccius merluccius,Behavior,1,1,1,1
126484,Merluccius merluccius,Food,2,3,2.533333333,3
126486,Antimora rostrata,Salinity,2,2,2,1
126486,Antimora rostrata,Behavior,1.7,2.5,2.066666667,3
126486,Antimora rostrata,Food,1.4,1.4,1.4,1
126486,Antimora rostrata,Habitat,2.5,2.5,2.5,1
126497,Mora moro,Salinity,2,2,2,1
126497,Mora moro,Behavior,1,2.5,1.833333333,3
126497,Mora moro,Food,1.4,4.5,2.48,5
126497,Mora moro,Habitat,2.5,2.5,2.5,1
126522,Lampris guttatus,Salinity,2,2,2,1
126522,Lampris guttatus,Habitat,3,3,3,1
126522,Lampris guttatus,TemperatureT,2,3,2.5,2
126522,Lampris guttatus,Behavior,2.5,3.2,2.9,3
126522,Lampris guttatus,Food,1.5,3,2.371428571,7
126522,Lampris guttatus,Aggregation,1,1,1,1
126524,Radiicephalus elongatus,Salinity,2,2,2,1
126524,Radiicephalus elongatus,Behavior,3,3,3,1
126524,Radiicephalus elongatus,Food,2.2,3.2,2.8,3
126524,Radiicephalus elongatus,Habitat,3,3,3,1
126525,Regalecus glesne,Salinity,2,2,2,1
126525,Regalecus glesne,Habitat,3,3,3,2
126525,Regalecus glesne,TemperatureT,1.6,3,2.3,4
126525,Regalecus glesne,Behavior,3,3.2,3.066666667,3
126525,Regalecus glesne,Food,1.8,3.2,2.428571429,7
126525,Regalecus glesne,Aggregation,1,2,1.5,2
126526,Stylephorus chordatus,Salinity,2,2,2,1
126526,Stylephorus chordatus,TemperatureT,2.6,3,2.8,2
126526,Stylephorus chordatus,Behavior,2.5,3,2.8,5
126526,Stylephorus chordatus,Food,1.4,1.8,1.6,2
126526,Stylephorus chordatus,Habitat,3,3,3,1
126527,Trachipterus arcticus,Salinity,2,2,2,1
126527,Trachipterus arcticus,Habitat,3,3,3,1
126527,Trachipterus arcticus,Behavior,2.5,3.2,2.9,3
126527,Trachipterus arcticus,Food,2,3.2,2.6,3
126527,Trachipterus arcticus,Aggregation,1,3,2,2
126528,Trachipterus trachypterus,Salinity,2,2,2,1
126528,Trachipterus trachypterus,Habitat,2.5,3,2.75,2
126528,Trachipterus trachypterus,TemperatureT,2.6,3,2.8,2
126528,Trachipterus trachypterus,Behavior,2.5,3.2,2.9,3
126528,Trachipterus trachypterus,Food,1.8,3.2,2.65,4
126537,Ceratias holboelli,Salinity,2,2,2,1
126537,Ceratias holboelli,TemperatureT,1.3,3,1.9,4
126537,Ceratias holboelli,Behavior,2.5,2.5,2.5,1
126538,Cryptopsaras couesii,Salinity,2,2,2,1
126538,Cryptopsaras couesii,TemperatureT,2.6,3,2.8,2
126538,Cryptopsaras couesii,Behavior,2.5,2.5,2.5,1
126566,Leptacanthichthys gracilispinis,Salinity,2,2,2,1
126566,Leptacanthichthys gracilispinis,Behavior,2.5,2.5,2.5,1
126566,Leptacanthichthys gracilispinis,Habitat,3,3,3,1
126581,Benthosema suborbitale,Salinity,2,2,2,1
126581,Benthosema suborbitale,TemperatureT,2,3,2.5,2
126581,Benthosema suborbitale,Behavior,2.5,3.2,2.9,3
126581,Benthosema suborbitale,Food,1.8,1.8,1.8,1
126581,Benthosema suborbitale,Habitat,3,3,3,1
126582,Bolinichthys indicus,Salinity,2,2,2,1
126582,Bolinichthys indicus,TemperatureT,2.6,2.6,2.6,1
126582,Bolinichthys indicus,Behavior,2.5,3,2.75,2
126582,Bolinichthys indicus,Habitat,3,3,3,1
126583,Bolinichthys supralateralis,Salinity,2,2,2,1
126583,Bolinichthys supralateralis,TemperatureT,3,3,3,1
126583,Bolinichthys supralateralis,Behavior,2.5,3,2.75,2
126583,Bolinichthys supralateralis,Habitat,3,3,3,1
126584,Centrobranchus nigroocellatus,Salinity,2,2,2,1
126584,Centrobranchus nigroocellatus,Behavior,2.5,3.2,2.9,3
126584,Centrobranchus nigroocellatus,Habitat,3,3,3,1
126585,Ceratoscopelus maderensis,Salinity,2,2,2,1
126585,Ceratoscopelus maderensis,TemperatureT,2,2,2,1
126585,Ceratoscopelus maderensis,Behavior,2.5,3.2,2.85,2
126585,Ceratoscopelus maderensis,Food,1.8,1.8,1.8,1
126585,Ceratoscopelus maderensis,Habitat,3,3,3,1
126589,Diaphus brachycephalus,Salinity,2,2,2,1
126589,Diaphus brachycephalus,TemperatureT,2.6,3,2.8,2
126589,Diaphus brachycephalus,Behavior,2.5,3,2.75,2
126589,Diaphus brachycephalus,Habitat,3,3,3,1
126590,Diaphus dumerilii,Salinity,2,2,2,1
126590,Diaphus dumerilii,TemperatureT,2.6,3,2.8,2
126590,Diaphus dumerilii,Behavior,3,3.2,3.1,2
126590,Diaphus dumerilii,Habitat,3,3,3,1
126594,Diaphus metopoclampus,Salinity,2,2,2,1
126594,Diaphus metopoclampus,Behavior,2,3,2.5,3
126594,Diaphus metopoclampus,Habitat,3,3,3,1
126599,Diogenichthys atlanticus,Salinity,2,2,2,1
126599,Diogenichthys atlanticus,Behavior,2.5,3.2,2.9,3
