run_id,model_arc,epochs,ensemble_type,params,init,fix_seed,grad,epoch,train_loss,train_acc,val_loss,val_acc,timestamp,timestamp_fmt,duration,duration_fmt,grad_mean
0,,,,,,,,,,,,,,,,,
1,models.resnet_git_ee resnet18,10,EE,2855808,true,true,2855808,10,2.285385078430176,0.1778,2.2868692726135254,0.1948,1745231934.6578767,2025/04/21 19:38:54,34.45332169532776,34.5s,0.00012945893104188144
2,models.resnet_git_ee resnet18,10,ME,2855808,true,true,2855808,10,2.265361212539673,0.218,2.2637676986694335,0.2192,1745232065.920826,2025/04/21 19:41:05,130.82606625556946,2.2m,0.00012059601431246847
3,models.resnet_git_ee resnet18,10,EE,2855808,true,true,2855808,10,2.2826698333740234,0.18,2.284215807723999,0.167,1745232099.890882,2025/04/21 19:41:39,33.93852686882019,33.9s,0.0001246801984962076
4,models.resnet_git_ee resnet18,10,ME,2855808,true,true,2855808,3,2.292082007598877,0.1646,2.2911879776000976,0.1666,1745232140.394811,2025/04/21 19:42:20,40.029876947402954,40.0s,0.00012050625082338229
