step,epoch,lr,train_loss,train_acc,timestamp,timestamp_fmt,duration,duration_fmt,val_loss,val_acc
1,1,0.05,4.407499048614502,0.0392,1746682889.3833034,2025/05/08 14:41:29,9.654454708099365,9.7s,,
2,2,0.04999691581204152,3.968105351257324,0.086,1746682901.251795,2025/05/08 14:41:41,21.52294635772705,21.5s,3.983848579406738,0.0817
3,3,0.04998766400914329,3.7936624897003175,0.1136,1746682910.9385824,2025/05/08 14:41:50,31.209733724594116,31.2s,,
4,4,0.049972246874049255,3.6132598083496092,0.1387,1746682922.6639817,2025/05/08 14:42:02,42.93513298034668,42.9s,3.668587007141113,0.1407
5,5,0.049950668210706796,3.508516600036621,0.1588,1746682932.2748244,2025/05/08 14:42:12,52.54597568511963,52.5s,,
6,6,0.04992293334332821,3.3633314964294434,0.1836,1746682944.1557841,2025/05/08 14:42:24,64.42693543434143,1.1m,3.5008815773010253,0.1657
7,7,0.04988904911507701,3.2153090827941893,0.2022,1746682953.7788289,2025/05/08 14:42:33,74.04998016357422,1.2m,,
8,8,0.049849023886379504,3.126918104171753,0.2229,1746682965.8995771,2025/05/08 14:42:45,86.1707284450531,1.4m,3.3647802505493165,0.195
9,9,0.04980286753286196,2.9888627571105957,0.2464,1746682975.6405632,2025/05/08 14:42:55,95.91171455383301,1.6m,,
10,10,0.049750591442913945,2.907231630706787,0.2643,1746682987.467506,2025/05/08 14:43:07,107.73865723609924,1.8m,3.2592368438720705,0.2207
11,11,0.049692208514878454,2.7976902587890624,0.2823,1746682997.1879613,2025/05/08 14:43:17,117.45911264419556,2.0m,,
12,12,0.049627733153869355,2.713754517364502,0.3025,1746683009.062092,2025/05/08 14:43:29,129.33324337005615,2.2m,3.2459403648376464,0.2346
13,13,0.049557181268217225,2.631875375366211,0.3177,1746683018.7257743,2025/05/08 14:43:38,138.99692559242249,2.3m,,
14,14,0.04948057026554415,2.519029347229004,0.3387,1746683030.8548598,2025/05/08 14:43:50,151.12601113319397,2.5m,3.1500138397216797,0.2608
15,15,0.04939791904846869,2.4406691787719725,0.359,1746683040.408627,2025/05/08 14:44:00,160.67977833747864,2.7m,,
16,16,0.04930924800994192,2.3559616565704347,0.3751,1746683052.1348894,2025/05/08 14:44:12,172.40604066848755,2.9m,2.7886037700653077,0.3064
17,17,0.049214579028215785,2.2659413734436034,0.3924,1746683061.4208336,2025/05/08 14:44:21,181.69198489189148,3.0m,,
18,18,0.04911393546144496,2.225807486343384,0.4028,1746683073.063849,2025/05/08 14:44:33,193.33500027656555,3.2m,2.761980164337158,0.3166
19,19,0.049007342141923586,2.122496076965332,0.4184,1746683082.4174592,2025/05/08 14:44:42,202.68861055374146,3.4m,,
20,20,0.04889482536995826,2.0692441902160645,0.441,1746683094.0553205,2025/05/08 14:44:54,214.3264718055725,3.6m,2.9149918933868406,0.3115
21,21,0.04877641290737885,1.9738152172088623,0.4555,1746683103.3739116,2025/05/08 14:45:03,223.6450629234314,3.7m,,
22,22,0.04865213397068864,1.929670262145996,0.4589,1746683115.1732547,2025/05/08 14:45:15,235.44440603256226,3.9m,2.7798405067443848,0.3309
23,23,0.04852201922385564,1.8868641166687012,0.4731,1746683124.583849,2025/05/08 14:45:24,244.85500025749207,4.1m,,
24,24,0.04838610077074669,1.8061609413146973,0.4933,1746683136.2482293,2025/05/08 14:45:36,256.519380569458,4.3m,2.733415096664429,0.3437
25,25,0.04824441214720629,1.7332253219604492,0.5139,1746683145.4992247,2025/05/08 14:45:45,265.77037596702576,4.4m,,
26,26,0.048096988312782175,1.6923896514892578,0.5234,1746683157.168251,2025/05/08 14:45:57,277.43940234184265,4.6m,2.709236228942871,0.361
27,27,0.04794386564209953,1.620249033164978,0.5369,1746683166.5026274,2025/05/08 14:46:06,286.7737786769867,4.8m,,
28,28,0.04778508191588613,1.5369455265045167,0.5606,1746683178.1342988,2025/05/08 14:46:18,298.4054501056671,5.0m,2.8618507431030276,0.3458
29,29,0.04762067631165049,1.5171663467407226,0.5656,1746683187.5028114,2025/05/08 14:46:27,307.77396273612976,5.1m,,
30,30,0.047450689394015394,1.4967849391937256,0.5681,1746683199.1986814,2025/05/08 14:46:39,319.4698326587677,5.3m,2.781208821105957,0.3584
31,31,0.0472751631047092,1.4032634204864503,0.5957,1746683208.603351,2025/05/08 14:46:48,328.8745024204254,5.5m,,
32,32,0.04709414075221735,1.3504935674667358,0.6086,1746683220.2976,2025/05/08 14:47:00,340.56875133514404,5.7m,2.7271101234436035,0.3828
