path_0,path_1,path_2,path_3,path_4,path_5,path_6,path_7,path_8,path_9,path_10,path_11,path_12,path_13,path_14,path_15,path_16,path_17,path_18,path_19,path_20,path_21,path_22,path_23,path_24,path_25,path_26,path_27,path_28,path_29,path_30,path_31,path_32,path_33,path_34,path_35,path_36,path_37,path_38,path_39,path_40,path_41,path_42,path_43,path_44,path_45,path_46,path_47,path_48,path_49,path_50,path_51,path_52,path_53,path_54,path_55,path_56,path_57,path_58,path_59,path_60,path_61,path_62,path_63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.661300013732911,4.657602149963379,4.679004912567138,4.682158408355713,4.664636270141601,4.693008659362793,4.6852102485656735,4.626436205291748,4.695651670837402,4.66034668045044,4.6846306594848635,4.679117044067382,4.669043998718262,4.657785681152344,4.663137890625,4.6784064636230465,4.670308148956299,4.678667853546143,4.680168737792969,4.702408042907715,4.680065227508545,4.661055661010742,4.627557093048096,4.702649687957764,4.677005298614502,4.648464289855957,4.70384845123291,4.677531161499023,4.675820342254639,4.709190010070801,4.66864616394043,4.671180995941162,4.699758992004394,4.697944073486328,4.6635397491455075,4.6754281669616695,4.705362452697754,4.677510706329346,4.667593399047852,4.658021315002442,4.65144965057373,4.652638737487793,4.691850277709961,4.66427896194458,4.673733038330078,4.699354264831543,4.663207991790771,4.678483609771728,4.684182855987549,4.690801593017578,4.681556938934326,4.678139266967773,4.6859719123840335,4.680689947509766,4.656949913024902,4.7588707595825195,4.69320076675415,4.664230492401123,4.672013800048828,4.679073551940918,4.66291209487915,4.697750617980957,4.670590540313721,4.6752984367370605
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.627211346435547,4.625923685455322,4.663798513793945,4.667389842224121,4.65292057723999,4.678144992828369,4.665421962738037,4.745458917236328,4.713487339782715,4.645285103607177,4.67094744796753,4.6549764862060545,4.635892837524414,4.64005555267334,4.912562251281738,4.6577291023254395,4.657477124023438,4.660242490386963,4.662788507843017,4.6793031417846676,4.6676911392211915,4.678960733795166,4.691416501617431,4.676907663726807,4.660029089355469,4.6085078956604,4.685848635101318,4.6572164535522464,4.6630858718872075,4.693642818450928,4.730364794921875,4.662960012054444,4.670763124847412,4.669257104492187,4.650426831817627,4.651784107208252,4.676774937438965,4.679704744720459,4.663462197113037,4.646147091674805,4.642687421417237,4.6438512596130375,4.685459735870361,4.649695980834961,4.685063234710693,4.665187899780274,4.650881440734863,4.663812941741943,4.665375203704834,4.67273907623291,4.754449406433105,4.6600337394714355,4.837591932678222,4.662032734680176,4.764446353149414,4.719659526824951,4.677275629425049,4.644605363464356,4.672893141937256,4.656150671386719,4.642974314117431,4.684439603424072,4.661530925750732,4.6546840042114255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.626745538330078,4.598056534576416,4.650545552062988,4.648453688812256,4.639836262512207,4.65526322555542,4.6492334167480465,4.963708678436279,4.756128414154053,4.6329387855529784,4.64730510635376,4.64128737487793,4.598113021087647,4.626440511322022,5.205569507598877,4.645183200073242,4.646616522979737,4.644809297943115,4.648638054656982,4.651287197113037,4.710822501373291,4.7577099563598635,4.861639928436279,4.66512473526001,4.643694574737549,4.693997148895264,4.6751366882324215,4.638006642913818,4.648375658416748,4.688172978210449,4.904735384368896,4.650244747924805,4.6560654403686526,4.849432051086426,4.638576396942138,4.609161256408691,4.6570099845886235,4.7127212692260745,4.721193676757813,4.631324797058105,4.634869377136231,4.664931816864014,4.663008825683594,4.636083878326416,4.722193249511719,4.628471820831299,4.636829354858398,4.652325277709961,4.645725317382812,4.660724062347412,4.928827611541748,4.645102146148681,5.014238000488281,4.644987383270264,5.150070141601563,4.763914041900635,4.6608850936889645,4.638005656433106,4.648727137756348,4.669015377807617,4.622587116241455,4.661713693237305,4.649623833465576,4.633864823913574
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.703511793518066,4.60229554977417,4.640453496551514,4.629686952209473,4.624010636901856,4.632593824005127,4.630150773620605,5.080346792602539,4.818585805511475,4.62029489364624,4.642466928100586,4.632024987792969,4.627283166503906,4.623234619140625,5.349348597717285,4.626552407073975,4.628677774047851,4.668706730651856,4.63601026763916,4.625198931884766,4.767649388885498,4.8594628471374515,4.978921891021728,4.660104801177979,4.626816480255127,4.804749838256836,4.661256252288818,4.61760697555542,4.638107946777343,4.703104695129395,5.062018860626221,4.639713383483887,4.717073683166504,5.034370929718017,4.626968723297119,4.6308358375549314,4.624518654632569,4.729895233917237,4.827948191833496,4.616428356933594,4.627814014434814,4.740388758087158,4.644057956695557,4.62472718963623,4.833110427093506,4.619336804199219,4.627440473937988,4.634697215270996,4.626317739105224,4.64886100692749,5.03693486328125,4.629756507110596,5.2385845703125,4.62381420135498,5.09925444946289,4.788068062591552,4.648889138793946,4.680112941741943,4.65092624206543,4.7640551132202145,4.599292417907715,4.645467668151856,4.670186099243164,4.619971627807617
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.7154687393188475,4.605865739440918,4.6290041442871095,4.617097371673584,4.6160165977478025,4.613178991699219,4.6176055206298825,5.072133144378662,4.856038543701172,4.614803367614746,4.629262657928467,4.634253261566162,4.626237602996826,4.605392355346679,5.229823291015625,4.604767653656006,4.603004473876953,4.6600715461730955,4.6286920570373535,4.620139329528809,4.827312811279297,4.886454337310791,4.957935466766357,4.652024031066895,4.607575590515137,4.986758383178711,4.678943556213379,4.640407841491699,4.62941512298584,4.715015059661865,4.951104857635498,4.6292963851928715,4.619654995727539,5.002205735778809,4.621372341156006,4.611274472808838,4.601168244171142,4.71321173248291,4.79791007232666,4.601744587707519,4.621117863464355,4.786374461364746,4.635649053192139,4.613490096282959,4.818326744842529,4.605655842590332,4.616533267974853,4.6194655715942385,4.626149894714356,4.638647220611572,5.224002137756347,4.60830352935791,5.127390264892578,4.6246603630065914,5.636050807189942,5.143613094329834,4.636435502624511,4.641693342590332,4.638446719360352,4.859398986816406,4.578577151489258,4.659508083343506,4.694937156677246,4.597990153503418
