describe,epoch,Loss,Acc,vLoss,vAcc
count,2.0,2.0,2.0,2.0,2.0
null_count,0.0,0.0,0.0,0.0,0.0
mean,500.0,2.189020534157753,0.477636888961792,2.436100661754608,0.38744999999999996
std,0.0,0.060162234837116635,0.013242402882184963,0.026318262377839692,0.006576093065034913
min,500.0,2.1464794099330904,0.4682730960845947,2.417490839958191,0.3828
25%,500.0,2.1464794099330904,0.4682730960845947,2.417490839958191,0.3828
50%,500.0,2.231561658382416,0.48700068183898926,2.4547104835510254,0.3921
75%,500.0,2.231561658382416,0.48700068183898926,2.4547104835510254,0.3921
max,500.0,2.231561658382416,0.48700068183898926,2.4547104835510254,0.3921
