epoch,Loss,Acc,vLoss,vAcc
1,4.835472221374512,0.009868708213956561,4.791461515426636,0.0108
2,4.718453226089477,0.012420863258838654,4.688749647140503,0.015
3,4.671425561904908,0.013311041722297669,4.64892270565033,0.0145
4,4.635860133171081,0.015094122631549835,4.606931877136231,0.0183
5,4.607827777862549,0.017332666602134703,4.578735756874084,0.02
6,4.590006175041199,0.01825303367614746,4.568472909927368,0.0224
7,4.560116028785705,0.020699104228019714,4.530190491676331,0.0238
8,4.537629942893982,0.022351820297241212,4.506424236297607,0.0276
9,4.525547704696655,0.022798717184066772,4.486393237113953,0.0285
10,4.503485951423645,0.026346013293266295,4.468875765800476,0.0292
11,4.503145418167114,0.026813159580230714,4.45731041431427,0.0265
12,4.488069639205933,0.027443311462402344,4.441470336914063,0.0328
13,4.465500574111939,0.030144746017456054,4.422327828407288,0.0337
14,4.452652502059936,0.03125422793388367,4.405394792556763,0.0339
15,4.43835554599762,0.03165097601890564,4.380868554115295,0.0375
16,4.414004864692688,0.034450815563201904,4.3642192602157595,0.0367
17,4.411913189888001,0.03435091791152954,4.349165415763855,0.0367
18,4.392094402313233,0.035804876079559324,4.330688953399658,0.0381
19,4.377640490531921,0.038042591361999514,4.30704345703125,0.0406
20,4.349602808952332,0.04069932325363159,4.288806223869324,0.0426
21,4.331823239326477,0.04118115938186646,4.271385312080383,0.0464
22,4.341649928092957,0.042177694892883304,4.259869861602783,0.0483
23,4.325605187416077,0.04423296388626099,4.245953631401062,0.0522
24,4.3246297359466555,0.04442771308898926,4.236900687217712,0.0524
25,4.303098464012146,0.046358603801727294,4.222236919403076,0.0541
26,4.3005987071990965,0.04712040954589844,4.212318110466003,0.0556
27,4.28014036655426,0.04854600143432617,4.188451051712036,0.0574
28,4.275774002075195,0.052460518016815186,4.177145862579346,0.0591
29,4.259846968650818,0.05240492797851563,4.16876266002655,0.0626
30,4.240532379150391,0.05431227485656738,4.148011946678162,0.0634
31,4.257420063018799,0.052659367599487306,4.145897793769836,0.066
32,4.236873469352722,0.0550344906616211,4.131009769439697,0.0651
33,4.221702041625977,0.05709235647201538,4.118144392967224,0.068
34,4.209921007156372,0.058597661838531497,4.120090079307556,0.0669
35,4.201541719436645,0.060397027759552004,4.090942668914795,0.0722
36,4.19801456451416,0.06080499462127686,4.084129762649536,0.0719
37,4.1721804285049435,0.06268222354888917,4.071703982353211,0.0736
38,4.182148480415345,0.06310682775497437,4.061909711360931,0.0736
39,4.153285417556763,0.06584375164031983,4.047895812988282,0.0749
40,4.161043035984039,0.06453839115142822,4.0429610967636105,0.0768
41,4.155519363880157,0.06641884090423585,4.0312848567962645,0.0794
42,4.127461926937103,0.07060262851715088,4.023198592662811,0.0769
43,4.144595739841461,0.06887154458999634,4.022283279895783,0.0772
44,4.116809966564179,0.07185958349227906,3.99218807220459,0.0851
45,4.136458048820495,0.07008393424987792,3.9896649360656737,0.0834
46,4.138842079639435,0.06931088628768921,3.9843981742858885,0.0843
