step,lr,epoch,train_loss,train_acc,timestamp,timestamp_fmt,duration,duration_fmt,grad_mean,val_loss,val_acc
1,0.005,1,1.87149891166687,0.311,1745756634.7587953,2025/04/27 21:23:54,3.4795050621032715,3.5s,0.00014116810052655637,,
2,0.0049987664009143295,2,1.5543200634002685,0.436,1745756637.5073345,2025/04/27 21:23:57,6.228044271469116,6.2s,0.0001314639812335372,,
3,0.00499506682107068,3,1.4345529483795165,0.4856,1745756640.2227774,2025/04/27 21:24:00,8.943487167358398,8.9s,0.00016909869736991823,,
4,0.004988904911507701,4,1.3489462852478027,0.512,1745756642.9468098,2025/04/27 21:24:02,11.667519569396973,11.7s,0.00021717409254051745,,
5,0.004980286753286196,5,1.3196671323776246,0.5274,1745756645.7045548,2025/04/27 21:24:05,14.425264596939087,14.4s,0.0001719504507491365,,
6,0.004969220851487845,6,1.2673514415740967,0.5396,1745756648.403103,2025/04/27 21:24:08,17.123812913894653,17.1s,0.0001588858140166849,,
7,0.004955718126821723,7,1.2275876220703126,0.556,1745756651.2270164,2025/04/27 21:24:11,19.947726249694824,19.9s,0.0002015300706261769,,
8,0.004939791904846869,8,1.186359142112732,0.5628,1745756653.973759,2025/04/27 21:24:13,22.69446873664856,22.7s,0.00020734721329063177,,
9,0.004921457902821578,9,1.1659649351119996,0.5808,1745756656.7419264,2025/04/27 21:24:16,25.4626362323761,25.5s,0.00020218570716679096,,
10,0.004900734214192358,10,1.1484726081848144,0.5852,1745756661.0249548,2025/04/27 21:24:21,29.745664596557617,29.7s,0.00019557539781089872,1.3375494562149048,0.5407
11,0.004877641290737884,11,1.1260304235458374,0.586,1745756663.7988431,2025/04/27 21:24:23,32.5195529460907,32.5s,0.00016178531222976744,,
12,0.004852201922385563,12,1.065281589126587,0.621,1745756666.5258656,2025/04/27 21:24:26,35.246575355529785,35.2s,0.00018271456065122038,,
13,0.004824441214720628,13,1.0511393747329711,0.6192,1745756669.2318454,2025/04/27 21:24:29,37.95255517959595,38.0s,0.00013948585547041148,,
14,0.004794386564209952,14,1.0350602714538575,0.6252,1745756671.9403057,2025/04/27 21:24:31,40.66101551055908,40.7s,0.00017697822477202863,,
15,0.004762067631165048,15,0.9978848922729492,0.6418,1745756674.6814184,2025/04/27 21:24:34,43.40212821960449,43.4s,0.00014761320198886096,,
16,0.004727516310470919,16,0.9849933010101318,0.6502,1745756677.3696575,2025/04/27 21:24:37,46.09036731719971,46.1s,0.00024313241010531783,,
17,0.0046907667001096585,17,0.9946338050842285,0.6424,1745756680.1038613,2025/04/27 21:24:40,48.82457113265991,48.8s,0.00022404041374102235,,
18,0.004651855067509859,18,0.9692400375366211,0.652,1745756682.852115,2025/04/27 21:24:42,51.57282471656799,51.6s,0.00018703741079661995,,
19,0.004610819813755038,19,0.9314490810394287,0.6684,1745756685.5022438,2025/04/27 21:24:45,54.22295355796814,54.2s,0.00020438837236724794,,
20,0.004567701435686405,20,0.9358682388305664,0.6688,1745756689.619963,2025/04/27 21:24:49,58.340672731399536,58.3s,0.0001942270901054144,1.1335603364944458,0.6092
21,0.004522542485937369,21,0.890322273349762,0.682,1745756692.3541257,2025/04/27 21:24:52,61.074835538864136,1.0m,0.00009224690438713878,,
22,0.004475387530939226,22,0.8418482426643371,0.7038,1745756695.06305,2025/04/27 21:24:55,63.7837598323822,1.1m,0.00016486679669469595,,
23,0.004426283106939473,23,0.849816092300415,0.6978,1745756697.7610261,2025/04/27 21:24:57,66.48173594474792,1.1m,0.0001959334476850927,,
24,0.004375277674076149,24,0.8440840356826782,0.7002,1745756700.4613197,2025/04/27 21:25:00,69.18202948570251,1.2m,0.00019366621563676745,,
25,0.00432242156855353,25,0.8206746864318848,0.6992,1745756703.1332686,2025/04/27 21:25:03,71.85397839546204,1.2m,0.0001318102004006505,,
26,0.004267766952966369,26,0.7826690574645996,0.723,1745756705.794618,2025/04/27 21:25:05,74.51532769203186,1.2m,0.0001723412424325943,,
