step,epoch,train_loss,train_acc,val_loss,val_acc,timestamp,timestamp_fmt,duration,duration_fmt,dur_total_core,dur_train_core,dur_dl_train
1,1,1.5534900574457078,0.19642857142857142,1.1882550451490614,0.5,1749097093.111862,2025/06/05 13:18:13,1.0575132369995117,1.1s,0.08072948455810547,0.07020688056945801,0.08309555053710938
2,2,1.1864537556966146,0.49523809523809526,1.0638265053431193,0.5138888888888888,1749097093.7311919,2025/06/05 13:18:13,1.6768431663513184,1.7s,0.12775635719299316,0.10297346115112305,0.172562837600708
3,3,0.8966012580054147,0.7095238095238096,0.9659472068150838,0.6027777777777777,1749097094.5071242,2025/06/05 13:18:14,2.452775478363037,2.5s,0.21358060836791992,0.17251276969909668,0.231886625289917
4,4,0.7522160291671753,0.7821428571428571,0.8278212229410807,0.7111111111111111,1749097095.225304,2025/06/05 13:18:15,3.170955181121826,3.2s,0.26379895210266113,0.21241235733032227,0.38798093795776367
5,5,0.6934292989117758,0.7988095238095239,0.7234412497944303,0.7888888888888889,1749097095.8093143,2025/06/05 13:18:15,3.7549655437469482,3.8s,0.3117027282714844,0.24809694290161133,0.461118221282959
6,6,0.6220524645987011,0.8023809523809524,0.6820572468969557,0.7916666666666666,1749097096.6865678,2025/06/05 13:18:16,4.632219076156616,4.6s,0.40625452995300293,0.32404518127441406,0.5572066307067871
7,7,0.5857671612784976,0.8273809523809523,0.6581821852260166,0.8111111111111111,1749097097.341879,2025/06/05 13:18:17,5.287530183792114,5.3s,0.4654514789581299,0.37219691276550293,0.6288604736328125
8,8,0.5856324212891715,0.8095238095238095,0.6307830029063755,0.8055555555555556,1749097097.9785979,2025/06/05 13:18:17,5.924249172210693,5.9s,0.524479866027832,0.41927003860473633,0.7120904922485352
9,9,0.5555983194283076,0.8369047619047619,0.611669186088774,0.8111111111111111,1749097098.9626288,2025/06/05 13:18:18,6.90828013420105,6.9s,0.622300386428833,0.4955315589904785,0.7865111827850342
10,10,0.5246822476387024,0.8357142857142857,0.594094631406996,0.8138888888888889,1749097099.6148965,2025/06/05 13:18:19,7.560547828674316,7.6s,0.6710920333862305,0.5334839820861816,0.8867695331573486
11,11,0.5200940137817747,0.8273809523809523,0.598284990257687,0.8027777777777778,1749097100.328864,2025/06/05 13:18:20,8.274515390396118,8.3s,0.7305145263671875,0.5741786956787109,1.0004651546478271
12,12,0.5152589241663615,0.8452380952380952,0.5848239064216614,0.8305555555555556,1749097101.1016624,2025/06/05 13:18:21,9.047313690185547,9.0s,0.8157823085784912,0.6403400897979736,1.051795482635498
13,13,0.5001880532219296,0.8369047619047619,0.5827210320366754,0.825,1749097101.7486577,2025/06/05 13:18:21,9.694308996200562,9.7s,0.8632843494415283,0.6767721176147461,1.1520991325378418
14,14,0.5133465619314285,0.85,0.5613869852489896,0.8111111111111111,1749097102.393312,2025/06/05 13:18:22,10.338963270187378,10.3s,0.925806999206543,0.72039794921875,1.211012363433838
15,15,0.46021596377804164,0.8488095238095238,0.5513480159971449,0.8166666666666667,1749097103.2484627,2025/06/05 13:18:23,11.194113969802856,11.2s,1.0220682621002197,0.8043742179870605,1.2700014114379883
16,16,0.4747321548916045,0.8464285714285714,0.5498803443378872,0.8138888888888889,1749097103.8877468,2025/06/05 13:18:23,11.83339810371399,11.8s,1.0705604553222656,0.8413991928100586,1.3868906497955322
17,17,0.4469926885196141,0.8488095238095238,0.5531006402439541,0.8222222222222222,1749097104.6814249,2025/06/05 13:18:24,12.627076148986816,12.6s,1.152846097946167,0.9024522304534912,1.4433069229125977
18,18,0.4694355987367176,0.8476190476190476,0.5436907211939493,0.8194444444444444,1749097105.4484022,2025/06/05 13:18:25,13.39405345916748,13.4s,1.2283821105957031,0.964388370513916,1.495391607284546
