step,lr,epoch,train_loss,train_acc,val_loss,val_acc,timestamp,timestamp_fmt,duration,duration_fmt,grad_mean
1,0.1,1,2.3008323070526124,0.0948,2.2983582176208497,0.1041,1745739447.0398347,2025/04/27 16:37:27,6.747621774673462,6.7s,0.0001251121429959312
2,0.09755282581475769,2,2.297031785583496,0.1086,2.2945731189727785,0.1156,1745739451.139056,2025/04/27 16:37:31,10.846843004226685,10.8s,0.0001294703542953357
3,0.09045084971874738,3,2.2934925384521483,0.1142,2.291001572418213,0.1325,1745739455.1915486,2025/04/27 16:37:35,14.899335622787476,14.9s,0.00012975091522093862
4,0.07938926261462367,4,2.2906122940063476,0.1212,2.2881456775665283,0.15,1745739459.31842,2025/04/27 16:37:39,19.026206970214844,19.0s,0.00012454722309485078
5,0.06545084971874739,5,2.2875109085083007,0.135,2.284593397140503,0.1701,1745739463.4942749,2025/04/27 16:37:43,23.202061891555786,23.2s,0.00012661014625336975
6,0.05000000000000001,6,2.285529364013672,0.1488,2.2839518295288084,0.1791,1745739467.639454,2025/04/27 16:37:47,27.347240924835205,27.3s,0.00012730069283861667
7,0.03454915028125264,7,2.2836027084350587,0.156,2.282668909072876,0.1825,1745739471.722996,2025/04/27 16:37:51,31.43078303337097,31.4s,0.00013032941205892712
8,0.020610737385376353,8,2.2822827129364014,0.1678,2.281577544784546,0.1848,1745739475.780437,2025/04/27 16:37:55,35.488224029541016,35.5s,0.00012796818919014186
9,0.009549150281252635,9,2.281670514678955,0.1622,2.28208563041687,0.184,1745739479.9144297,2025/04/27 16:37:59,39.62221670150757,39.6s,0.00012880031135864556
10,0.002447174185242324,10,2.2812761093139646,0.1734,2.281885213088989,0.1844,1745739483.921642,2025/04/27 16:38:03,43.62942910194397,43.6s,0.00012408963812049478
