step,epoch,lr,train_loss,train_acc,timestamp,timestamp_fmt,duration,duration_fmt,val_loss,val_acc
1,1,0.005,4.396508939361572,0.042,1747141642.944197,2025/05/13 22:07:22,3.1860945224761963,3.2s,,
2,2,0.004999996915749259,3.8828090591430664,0.108,1747141645.8973923,2025/05/13 22:07:25,6.139289855957031,6.1s,,
3,3,0.004999987663004646,3.578834008026123,0.1638,1747141648.8323143,2025/05/13 22:07:28,9.074211835861206,9.1s,,
4,4,0.004999972241788991,3.3467571403503418,0.1912,1747141651.7817805,2025/05/13 22:07:31,12.023678064346313,12.0s,,
5,5,0.004999950652140343,3.2077067375183104,0.2146,1747141654.7153533,2025/05/13 22:07:34,14.957250833511353,15.0s,,
6,6,0.004999922894111975,3.028638566207886,0.2496,1747141657.6635425,2025/05/13 22:07:37,17.905440092086792,17.9s,,
7,7,0.004999888967772375,2.93318637008667,0.2664,1747141660.6331162,2025/05/13 22:07:40,20.875013828277588,20.9s,,
8,8,0.004999848873205254,2.840225106048584,0.288,1747141663.5849087,2025/05/13 22:07:43,23.82680630683899,23.8s,,
9,9,0.004999802610509541,2.767272622299194,0.2894,1747141666.5348866,2025/05/13 22:07:46,26.77678418159485,26.8s,,
10,10,0.004999750179799384,2.642939770126343,0.3238,1747141669.5120575,2025/05/13 22:07:49,29.753955125808716,29.8s,,
11,11,0.004999691581204151,2.5652917514801024,0.3388,1747141672.5187786,2025/05/13 22:07:52,32.76067614555359,32.8s,,
12,12,0.00499962681486843,2.4859763610839845,0.3502,1747141675.52433,2025/05/13 22:07:55,35.76622748374939,35.8s,,
13,13,0.004999555880952022,2.4145128765106203,0.369,1747141678.5102606,2025/05/13 22:07:58,38.75215816497803,38.8s,,
14,14,0.004999478779629953,2.3537557083129883,0.3768,1747141681.4997783,2025/05/13 22:08:01,41.74167585372925,41.7s,,
15,15,0.004999395511092461,2.279897179412842,0.3984,1747141684.4853768,2025/05/13 22:08:04,44.7272744178772,44.7s,,
16,16,0.004999306075545002,2.207317824554443,0.4072,1747141687.4638023,2025/05/13 22:08:07,47.7056999206543,47.7s,,
17,17,0.00499921047320825,2.1303760803222658,0.4304,1747141690.4169614,2025/05/13 22:08:10,50.65885901451111,50.7s,,
