step,epoch,lr,train_loss,train_acc,val_loss,val_acc,dur_total_core,dur_total_core_fmt,dur_train_core,dur_train_core_fmt,dur_total,dur_total_fmt,dur_train,dur_train_fmt,progress
1,1,0.005,4.398138875579834,0.0474,,,38.89420819282532,38.9s,38.89445519447327,38.9s,38.987008571624756,39.0s,38.98701477050781,39.0s,0.2%
2,2,0.004999922894111975,3.887848740386963,0.1088,,,46.13938879966736,46.1s,46.13985824584961,46.1s,46.319244384765625,46.3s,46.31925392150879,46.3s,0.5%
3,3,0.004999691581204152,3.557873034667969,0.1696,,,53.2952926158905,53.3s,53.29602527618408,53.3s,53.57719373703003,53.6s,53.57720875740051,53.6s,0.8%
4,4,0.004999306075545002,3.3410725791931153,0.2056,3.601034022140503,0.16,70.16606116294861,1.2m,60.459606885910034,1.0m,76.6344313621521,1.3m,60.8294575214386,1.0m,1.0%
5,5,0.0049987664009143295,3.1692118900299073,0.2432,,,77.33186793327332,1.3m,67.6256365776062,1.1m,83.89169931411743,1.4m,68.08672904968262,1.1m,1.2%
6,6,0.004998072590601808,3.029813156890869,0.2696,,,84.51185369491577,1.4m,74.80586266517639,1.2m,91.17723202705383,1.5m,75.37226629257202,1.3m,1.5%
7,7,0.004997224687404926,2.9196855213165285,0.2944,,,91.69969654083252,1.5m,81.99397206306458,1.4m,98.45450782775879,1.6m,82.64954566955566,1.4m,1.8%
8,8,0.004996222743626346,2.81121531829834,0.319,3.2025572616577147,0.2279,102.30927419662476,1.7m,89.19341659545898,1.5m,109.27463865280151,1.8m,89.95101833343506,1.5m,2.0%
9,9,0.00499506682107068,2.7186815494537355,0.3452,,,109.51514482498169,1.8m,96.39959645271301,1.6m,116.58260107040405,1.9m,97.25898671150208,1.6m,2.2%
10,10,0.004993756991040676,2.6636320362091066,0.3516,,,116.7223162651062,1.9m,103.60703206062317,1.7m,123.87033152580261,2.1m,104.54672193527222,1.7m,2.5%
11,11,0.004992293334332821,2.616382084274292,0.3628,,,123.9373426437378,2.1m,110.82231783866882,1.8m,131.17337369918823,2.2m,111.84977006912231,1.9m,2.8%
12,12,0.004990675941232354,2.556004945373535,0.3828,3.185144617843628,0.235,134.57624888420105,2.2m,118.05113959312439,2.0m,142.01383805274963,2.4m,119.18456816673279,2.0m,3.0%
13,13,0.004988904911507701,2.506574174499512,0.396,,,141.81008434295654,2.4m,125.28527307510376,2.1m,149.35536694526672,2.5m,126.52610325813293,2.1m,3.2%
14,14,0.004986980354404317,2.4667548828125,0.402,,,149.0446059703827,2.5m,132.52006697654724,2.2m,156.68967819213867,2.6m,133.8604199886322,2.2m,3.5%
15,15,0.00498490238863795,2.454472688293457,0.4092,,,156.27244186401367,2.6m,139.74812531471252,2.3m,164.02902388572693,2.7m,141.19977045059204,2.4m,3.8%
16,16,0.0049826711423873165,2.4450904682159424,0.4116,3.196942194366455,0.231,166.9186897277832,2.8m,146.9872179031372,2.4m,174.88190698623657,2.9m,148.5501675605774,2.5m,4.0%
17,17,0.004980286753286195,2.3911035430908205,0.422,,,174.15172696113586,2.9m,154.22068333625793,2.6m,182.20421862602234,3.0m,155.87248420715332,2.6m,4.2%
18,18,0.004977749368414937,2.404737516784668,0.4252,,,181.36902618408203,3.0m,161.43818593025208,2.7m,189.51909732818604,3.2m,163.18736815452576,2.7m,4.5%
19,19,0.0049750591442913935,2.363995965576172,0.4294,,,188.59942507743835,3.1m,168.6688928604126,2.8m,196.8345627784729,3.3m,170.5028371810913,2.8m,4.8%
20,20,0.004972216246861261,2.3418224422454834,0.4348,3.0340117225646974,0.2596,199.2437343597412,3.3m,175.90373492240906,2.9m,207.64144802093506,3.5m,177.83407545089722,3.0m,5.0%
21,21,0.004969220851487844,2.313664665222168,0.4374,,,206.4844434261322,3.4m,183.14477729797363,3.1m,214.97079420089722,3.6m,185.16342616081238,3.1m,5.2%
22,22,0.004966073142941238,2.3049468925476075,0.4448,,,213.70923566818237,3.6m,190.3698353767395,3.2m,222.28160977363586,3.7m,192.4742453098297,3.2m,5.5%
23,23,0.004962773315386935,2.338174024963379,0.4352,,,220.93670272827148,3.7m,197.59757781028748,3.3m,229.60381078720093,3.8m,199.79645013809204,3.3m,5.8%
24,24,0.00495932157237384,2.315442096710205,0.445,3.271119813537598,0.2127,231.5712752342224,3.9m,204.82053422927856,3.4m,240.42212533950806,4.0m,207.10453605651855,3.5m,6.0%
25,25,0.004955718126821723,2.3184998031616213,0.4496,,,238.80199575424194,4.0m,212.05153131484985,3.5m,247.74027466773987,4.1m,214.42269015312195,3.6m,6.2%
26,26,0.004951963201008077,2.3169164375305176,0.4454,,,246.03184485435486,4.1m,219.28164052963257,3.7m,255.06047439575195,4.3m,221.74289727210999,3.7m,6.5%
27,27,0.004948057026554415,2.3317098865509034,0.4446,,,253.26477217674255,4.2m,226.5148630142212,3.8m,262.3871970176697,4.4m,229.0696246623993,3.8m,6.8%
28,28,0.004943999844411978,2.3403603691101074,0.4414,3.568675340270996,0.1914,263.8808877468109,4.4m,233.7243208885193,3.9m,273.1816916465759,4.6m,236.3603413105011,3.9m,7.0%
29,29,0.004939791904846869,2.31660217666626,0.4368,,,271.10570192337036,4.5m,240.9493908882141,4.0m,280.50006079673767,4.7m,243.67871475219727,4.1m,7.2%
30,30,0.0049354334674246245,2.2962851306915284,0.451,,,278.3263440132141,4.6m,248.17029523849487,4.1m,287.8111958503723,4.8m,250.98985481262207,4.2m,7.5%
31,31,0.004930924800994192,2.3179427864074706,0.4454,,,285.5465157032013,4.8m,255.39071679115295,4.3m,295.12191367149353,4.9m,258.30057740211487,4.3m,7.8%
32,32,0.004926266183671356,2.3030483722686768,0.4562,3.3594201511383055,0.1859,296.17653703689575,4.9m,262.6139190196991,4.4m,305.90211606025696,5.1m,265.6078016757965,4.4m,8.0%
33,33,0.004921457902821578,2.3097472679138185,0.4512,,,303.4004075527191,5.1m,269.838073015213,4.5m,313.24085450172424,5.2m,272.94654607772827,4.5m,8.2%
34,34,0.004916500255042268,2.30199115486145,0.4518,,,310.61956214904785,5.2m,277.0575006008148,4.6m,320.5404279232025,5.3m,280.2461247444153,4.7m,8.5%
35,35,0.004911393546144495,2.2951241661071777,0.4652,,,317.83613085746765,5.3m,284.2743413448334,4.7m,327.8527286052704,5.5m,287.5584280490875,4.8m,8.8%
36,36,0.004906138091134118,2.3319770511627196,0.4492,3.5085866260528564,0.1875,328.466272354126,5.5m,291.4920265674591,4.9m,338.64073395729065,5.6m,294.86120319366455,4.9m,9.0%
37,37,0.004900734214192357,2.308503419494629,0.4516,,,335.66553592681885,5.6m,298.69149804115295,5.0m,345.92328548431396,5.8m,302.1437602043152,5.0m,9.2%
38,38,0.004895182248655797,2.3425152980804445,0.4448,,,342.8721890449524,5.7m,305.898380279541,5.1m,353.2252278327942,5.9m,309.44570684432983,5.2m,9.5%
39,39,0.004889482536995824,2.290252877044678,0.4602,,,350.0811195373535,5.8m,313.10758686065674,5.2m,360.5423846244812,6.0m,316.7628674507141,5.3m,9.8%
40,40,0.004883635430797502,2.2914901794433593,0.4522,3.8909383380889895,0.1389,360.6892430782318,6.0m,320.3129770755768,5.3m,371.35964727401733,6.2m,324.0713541507721,5.4m,10.0%
41,41,0.004877641290737883,2.3118936195373534,0.4488,,,367.89419174194336,6.1m,327.5181601047516,5.5m,378.6669738292694,6.3m,331.37868666648865,5.5m,10.2%
42,42,0.00487150048656376,2.337421381378174,0.4528,,,375.0969467163086,6.3m,334.72113966941833,5.6m,385.9770030975342,6.4m,338.68871998786926,5.6m,10.5%
43,43,0.0048652133970688615,2.3415779052734376,0.4486,,,382.3021092414856,6.4m,341.9265742301941,5.7m,393.2644760608673,6.6m,345.9761972427368,5.8m,10.8%
44,44,0.004858780410070483,2.3495081298828127,0.4452,6.212951686859131,0.1075,392.90896677970886,6.5m,349.1303768157959,5.8m,404.05517768859863,6.7m,353.28177189826965,5.9m,11.0%
45,45,0.0048522019223855625,2.3201724113464355,0.4532,,,400.1072897911072,6.7m,356.3290078639984,5.9m,411.33932280540466,6.9m,360.5659203529358,6.0m,11.2%
46,46,0.0048454783398062095,2.3501977867126467,0.4492,,,407.30583477020264,6.8m,363.5278880596161,6.1m,418.63327527046204,7.0m,367.8598771095276,6.1m,11.5%
47,47,0.004838610077074668,2.3606467372894286,0.45,,,414.5025222301483,6.9m,370.7248423099518,6.2m,425.91586112976074,7.1m,375.14246797561646,6.3m,11.8%
48,48,0.004831597557857735,2.3228318061828612,0.4568,3.3685728408813476,0.2147,425.10576605796814,7.1m,377.9296774864197,6.3m,436.7207911014557,7.3m,382.4520797729492,6.4m,12.0%
49,49,0.004824441214720628,2.3368909217834473,0.4514,,,432.29422760009766,7.2m,385.118314743042,6.4m,444.01189970970154,7.4m,389.74319338798523,6.5m,12.2%
50,50,0.0048171414891003015,2.355088961791992,0.443,,,439.4823911190033,7.3m,392.3066258430481,6.5m,451.2900559902191,7.5m,397.02135276794434,6.6m,12.5%
51,51,0.004809698831278217,2.313842788696289,0.454,,,446.67247128486633,7.4m,399.496963262558,6.7m,458.58611392974854,7.6m,404.31741404533386,6.7m,12.8%
52,52,0.004802113700352566,2.346697650527954,0.4506,3.264248748779297,0.2125,457.2562747001648,7.6m,406.689368724823,6.8m,469.34802627563477,7.8m,411.5914316177368,6.9m,13.0%
53,53,0.0047943865642099525,2.35072919921875,0.4402,,,464.4517900943756,7.7m,413.88506269454956,6.9m,476.62353706359863,7.9m,418.8669466972351,7.0m,13.2%
54,54,0.004786517899496534,2.3232312294006348,0.4584,,,471.6410083770752,7.9m,421.0744504928589,7.0m,483.9003686904907,8.1m,426.143780708313,7.1m,13.5%
55,55,0.004778508191588613,2.335445154953003,0.44,,,478.82197976112366,8.0m,428.255576133728,7.1m,491.17019629478455,8.2m,433.4136109352112,7.2m,13.8%
56,56,0.0047703579345627035,2.3065589630126953,0.4578,3.483053319168091,0.1708,489.4060275554657,8.2m,435.44111132621765,7.3m,501.9541380405426,8.4m,440.70306611061096,7.3m,14.0%
57,57,0.004762067631165049,2.31274828414917,0.4652,,,496.597856760025,8.3m,442.6332149505615,7.4m,509.2398931980133,8.5m,447.9888265132904,7.5m,14.2%
58,58,0.004753637792780614,2.3365047687530516,0.4538,,,503.77398228645325,8.4m,449.8095245361328,7.5m,516.5297427177429,8.6m,455.2786798477173,7.6m,14.5%
59,59,0.00474506893940154,2.3179387477874758,0.4502,,,510.9664087295532,8.5m,457.002236366272,7.6m,523.8119626045227,8.7m,462.5609040260315,7.7m,14.8%
60,60,0.004736361599595063,2.301290040206909,0.4698,3.3108211280822752,0.2218,521.5384559631348,8.7m,464.18604922294617,7.7m,534.5461702346802,8.9m,469.84265756607056,7.8m,15.0%
61,61,0.00472751631047092,2.304825830078125,0.4586,,,528.7119615077972,8.8m,471.35969376564026,7.9m,541.8185474872589,9.0m,477.1150379180908,8.0m,15.2%
62,62,0.004718533617648209,2.2962623489379883,0.4616,,,535.8830981254578,8.9m,478.53094935417175,8.0m,549.0962150096893,9.2m,484.39270782470703,8.1m,15.5%
63,63,0.0047094140752217345,2.3203418167114256,0.4596,,,543.0590236186981,9.1m,485.7071158885956,8.1m,556.3809871673584,9.3m,491.6774847507477,8.2m,15.8%
64,64,0.004700158245727831,2.327623238372803,0.4524,3.6462057125091554,0.1771,553.6277477741241,9.2m,492.8851079940796,8.2m,567.167074918747,9.5m,498.9665250778198,8.3m,16.0%
65,65,0.004690766700109659,2.3424997619628907,0.4562,,,560.7970390319824,9.3m,500.05459356307983,8.3m,574.4194185733795,9.6m,506.2188723087311,8.4m,16.2%
66,66,0.004681240017681994,2.3668191150665283,0.4558,,,567.9707584381104,9.5m,507.2284564971924,8.5m,581.6765828132629,9.7m,513.4760391712189,8.6m,16.5%
67,67,0.0046715787860954795,2.318060514450073,0.4612,,,575.1466596126556,9.6m,514.4045464992523,8.6m,588.9678030014038,9.8m,520.767263174057,8.7m,16.8%
68,68,0.004661783601300389,2.326887142944336,0.4542,3.629208023071289,0.1545,585.7036957740784,9.8m,521.5759181976318,8.7m,599.7176249027252,10.0m,528.0331995487213,8.8m,17.0%
69,69,0.00465185506750986,2.3613831672668457,0.4394,,,592.872058391571,9.9m,528.7444190979004,8.8m,606.9635846614838,10.1m,535.2791624069214,8.9m,17.2%
70,70,0.004641793797162626,2.3536163551330564,0.448,,,600.0491769313812,10.0m,535.9218001365662,8.9m,614.2246201038361,10.2m,542.5402026176453,9.0m,17.5%
71,71,0.004631600410885232,2.315007109832764,0.4606,,,607.2167131900787,10.1m,543.0895280838013,9.1m,621.4708094596863,10.4m,549.7863960266113,9.2m,17.8%
72,72,0.0046212755374537605,2.342048607635498,0.462,3.3212373527526857,0.2024,617.7731702327728,10.3m,550.2559337615967,9.2m,632.2051312923431,10.5m,557.0393524169922,9.3m,18.0%
73,73,0.0046108198137550386,2.3688697658538818,0.442,,,624.9395174980164,10.4m,557.4225153923035,9.3m,639.4569869041443,10.7m,564.2912132740021,9.4m,18.2%
74,74,0.004600233884747356,2.3905158897399903,0.4396,,,632.1183154582977,10.5m,564.6015739440918,9.4m,646.7364478111267,10.8m,571.5706779956818,9.5m,18.5%
75,75,0.004589518403420677,2.375125131225586,0.4528,,,639.2858340740204,10.7m,571.7693693637848,9.5m,654.0068497657776,10.9m,578.8410844802856,9.6m,18.8%
76,76,0.004578674030756364,2.396343054199219,0.4384,3.204508027648926,0.2204,649.8422331809998,10.8m,578.9359197616577,9.6m,664.751758813858,11.1m,586.1078367233276,9.8m,19.0%
77,77,0.004567701435686405,2.3793019454956053,0.4386,,,657.0127110481262,11.0m,586.1066572666168,9.8m,672.0054326057434,11.2m,593.3615148067474,9.9m,19.2%
78,78,0.004556601295052151,2.358596722793579,0.4536,,,664.1782720088959,11.1m,593.2724151611328,9.9m,679.2587857246399,11.3m,600.6148715019226,10.0m,19.5%
79,79,0.004545374293562559,2.3756466972351076,0.454,,,671.3603057861328,11.2m,600.4548017978668,10.0m,686.5293297767639,11.4m,607.8854193687439,10.1m,19.8%
80,80,0.004534021123751969,2.409801461791992,0.4458,3.5626429595947267,0.1574,681.9116630554199,11.4m,607.6211218833923,10.1m,697.2742342948914,11.6m,615.1531553268433,10.3m,20.0%
81,81,0.004522542485937369,2.3879775505065917,0.4368,,,689.075305223465,11.5m,614.7849090099335,10.2m,704.5185534954071,11.7m,622.397477388382,10.4m,20.2%
82,82,0.004510939088175212,2.361426697540283,0.455,,,696.2359039783478,11.6m,621.9457132816315,10.4m,711.7783603668213,11.9m,629.6572878360748,10.5m,20.5%
83,83,0.004499211646217728,2.347905102157593,0.4572,,,703.4039354324341,11.7m,629.1139018535614,10.5m,719.0444760322571,12.0m,636.923406124115,10.6m,20.8%
84,84,0.004487360883468777,2.3616681507110595,0.447,3.3038418670654295,0.1995,713.9560375213623,11.9m,636.2823741436005,10.6m,729.7884776592255,12.2m,644.1900191307068,10.7m,21.0%
85,85,0.0044753875309392266,2.3785310367584227,0.4504,,,721.1178159713745,12.0m,643.4442944526672,10.7m,737.0602235794067,12.3m,651.4617681503296,10.9m,21.2%
86,86,0.0044632923272018635,2.3410062786102297,0.458,,,728.2859811782837,12.1m,650.6126210689545,10.8m,744.325156211853,12.4m,658.7267036437988,11.0m,21.5%
87,87,0.004451076018345826,2.3552398056030275,0.4522,,,735.4462492465973,12.3m,657.7730770111084,11.0m,751.5617618560791,12.5m,665.9633140563965,11.1m,21.8%
88,88,0.0044387393579305885,2.3784492988586425,0.4498,4.068862268829346,0.1536,745.9922173023224,12.4m,664.9335205554962,11.1m,762.2990880012512,12.7m,673.2173273563385,11.2m,22.0%
89,89,0.004426283106939475,2.356143203353882,0.4538,,,753.150482416153,12.6m,672.0919365882874,11.2m,769.5539543628693,12.8m,680.4721965789795,11.3m,22.2%
90,90,0.004413708033732723,2.355913626861572,0.4582,,,760.3132152557373,12.7m,679.2548880577087,11.3m,776.7989835739136,12.9m,687.7172298431396,11.5m,22.5%
91,91,0.00440101491400008,2.389944187927246,0.4444,,,767.4782655239105,12.8m,686.4202024936676,11.4m,784.0528311729431,13.1m,694.9710810184479,11.6m,22.8%
92,92,0.004388204530712961,2.3856307601928712,0.4524,3.865390616607666,0.1369,778.0291109085083,13.0m,693.5805416107178,11.6m,794.7461686134338,13.2m,702.2085831165314,11.7m,23.0%
93,93,0.004375277674076151,2.3686885578155517,0.4574,,,785.1837756633759,13.1m,700.7353954315186,11.7m,802.0018405914307,13.4m,709.4642598628998,11.8m,23.2%
94,94,0.004362235141479057,2.385080103683472,0.4516,,,792.3345184326172,13.2m,707.8863468170166,11.8m,809.2358131408691,13.5m,716.6982369422913,11.9m,23.5%
95,95,0.0043490777374465255,2.381460108947754,0.45,,,799.497309923172,13.3m,715.0492925643921,11.9m,816.4914739131927,13.6m,723.9539005756378,12.1m,23.8%
