step,epoch,train_loss,train_acc,val_loss,val_acc,timestamp,timestamp_fmt,duration,duration_fmt,dur_total_core,dur_train_core,dur_dl_train
1,1,1.7081459783372426,0.17857142857142858,1.8956675370534262,0.1527777777777778,1749097093.111862,2025/06/05 13:18:13,1.0575132369995117,1.1s,0.0749058723449707,0.06412243843078613,0.08309555053710938
2,2,1.4736788113911947,0.25833333333333336,1.5108592404259575,0.23333333333333334,1749097093.7311919,2025/06/05 13:18:13,1.6768431663513184,1.7s,0.12114286422729492,0.0973358154296875,0.172562837600708
3,3,1.2869764725367228,0.425,1.379004430770874,0.32222222222222224,1749097094.5071242,2025/06/05 13:18:14,2.452775478363037,2.5s,0.20940852165222168,0.16909551620483398,0.231886625289917
4,4,1.1548677455811274,0.5297619047619048,1.2726682557000055,0.4166666666666667,1749097095.225304,2025/06/05 13:18:15,3.170955181121826,3.2s,0.258455753326416,0.207808256149292,0.38798093795776367
5,5,1.0357867059253512,0.611904761904762,1.1654550155003867,0.4722222222222222,1749097095.8093143,2025/06/05 13:18:15,3.7549655437469482,3.8s,0.3091723918914795,0.24698662757873535,0.461118221282959
6,6,0.9613430488677251,0.6833333333333333,1.0581686682171292,0.5805555555555556,1749097096.6865678,2025/06/05 13:18:16,4.632219076156616,4.6s,0.4016709327697754,0.3216996192932129,0.5572066307067871
7,7,0.8897203996067955,0.7380952380952381,0.9691685809029473,0.6194444444444445,1749097097.341879,2025/06/05 13:18:17,5.287530183792114,5.3s,0.4599299430847168,0.3684988021850586,0.6288604736328125
8,8,0.8358225731622605,0.75,0.9120258198844062,0.65,1749097097.9785979,2025/06/05 13:18:17,5.924249172210693,5.9s,0.5156452655792236,0.41314029693603516,0.7120904922485352
9,9,0.7881865932827904,0.7726190476190476,0.8772849427329169,0.6972222222222222,1749097098.9626288,2025/06/05 13:18:18,6.90828013420105,6.9s,0.6189494132995605,0.4944934844970703,0.7865111827850342
10,10,0.7469957408450899,0.7761904761904762,0.82158944606781,0.7194444444444444,1749097099.6148965,2025/06/05 13:18:19,7.560547828674316,7.6s,0.6753499507904053,0.5391011238098145,0.8867695331573486
11,11,0.7250052372614543,0.7880952380952381,0.8220256103409661,0.725,1749097100.328864,2025/06/05 13:18:20,8.274515390396118,8.3s,0.7370014190673828,0.5811896324157715,1.0004651546478271
12,12,0.7005178831872486,0.7976190476190477,0.7578664912117852,0.7611111111111111,1749097101.1016624,2025/06/05 13:18:21,9.047313690185547,9.0s,0.8226029872894287,0.649280309677124,1.051795482635498
13,13,0.6921510401226225,0.7928571428571428,0.7585560109880235,0.75,1749097101.7486577,2025/06/05 13:18:21,9.694308996200562,9.7s,0.8707220554351807,0.685504674911499,1.1520991325378418
14,14,0.6671084710529872,0.7928571428571428,0.7147044089105394,0.7805555555555556,1749097102.393312,2025/06/05 13:18:22,10.338963270187378,10.3s,0.9278147220611572,0.7263805866241455,1.211012363433838
15,15,0.6230562530812763,0.819047619047619,0.7087684181001451,0.7805555555555556,1749097103.2484627,2025/06/05 13:18:23,11.194113969802856,11.2s,1.026665449142456,0.8127799034118652,1.2700014114379883
16,16,0.6303605323746091,0.8142857142857143,0.6878273367881775,0.8,1749097103.8877468,2025/06/05 13:18:23,11.83339810371399,11.8s,1.0736265182495117,0.8492448329925537,1.3868906497955322
17,17,0.6046355145318167,0.819047619047619,0.6685235155953302,0.8027777777777778,1749097104.6814249,2025/06/05 13:18:24,12.627076148986816,12.6s,1.156078577041626,0.9108009338378906,1.4433069229125977
18,18,0.6143387641225543,0.8023809523809524,0.6576295773188273,0.8055555555555556,1749097105.4484022,2025/06/05 13:18:25,13.39405345916748,13.4s,1.2452561855316162,0.9876244068145752,1.495391607284546
19,19,0.5761021216710408,0.8166666666666667,0.6452458726035224,0.8027777777777778,1749097106.1312814,2025/06/05 13:18:26,14.076932668685913,14.1s,1.3058881759643555,1.0375916957855225,1.5725550651550293
20,20,0.5755619565645854,0.8202380952380952,0.6234882010353936,0.8194444444444444,1749097107.0047395,2025/06/05 13:18:27,14.950390815734863,15.0s,1.3968405723571777,1.1123192310333252,1.6491045951843262
21,21,0.5685467399301983,0.825,0.6704900913768345,0.8083333333333333,1749097107.7540996,2025/06/05 13:18:27,15.699750900268555,15.7s,1.5782675743103027,1.2835471630096436,1.7021210193634033
22,22,0.513630111444564,0.8416666666666667,0.6927372283405728,0.7666666666666667,1749097108.4800894,2025/06/05 13:18:28,16.425740718841553,16.4s,1.7148938179016113,1.3906316757202148,1.7692489624023438
23,23,0.4862681105023339,0.85,0.6038098163074918,0.8277777777777777,1749097109.441502,2025/06/05 13:18:29,17.387153387069702,17.4s,1.9498958587646484,1.6152431964874268,1.8454747200012207
24,24,0.4569458552769252,0.8535714285714285,0.5257479548454285,0.8361111111111111,1749097110.1219203,2025/06/05 13:18:30,18.06757164001465,18.1s,2.0752346515655518,1.7302358150482178,1.8997547626495361
25,25,0.4075710056793122,0.8702380952380953,0.49941199090745714,0.8527777777777777,1749097111.0372279,2025/06/05 13:18:31,18.982879161834717,19.0s,2.27771258354187,1.9071917533874512,1.9619135856628418
26,26,0.42847897495542253,0.8607142857142858,0.4994815058178372,0.8472222222222222,1749097111.8307648,2025/06/05 13:18:31,19.776416063308716,19.8s,2.4484682083129883,2.0675628185272217,2.019169807434082
27,27,0.4065370221932729,0.8654761904761905,0.464787761370341,0.8583333333333333,1749097112.5024014,2025/06/05 13:18:32,20.448052644729614,20.4s,2.574204921722412,2.174297332763672,2.0717084407806396
