describe,epoch,Loss,Acc,vLoss,vAcc
count,1.0,1.0,1.0,1.0,1.0
null_count,0.0,0.0,0.0,0.0,0.0
mean,500.0,1.2112566173076629,0.7790865888977051,2.4790004014968874,0.4265
std,NaN,0.0,0.0,0.0,0.0
min,500.0,1.2112566173076629,0.7790865888977051,2.4790004014968874,0.4265
25%,500.0,1.2112566173076629,0.7790865888977051,2.4790004014968874,0.4265
50%,500.0,1.2112566173076629,0.7790865888977051,2.4790004014968874,0.4265
75%,500.0,1.2112566173076629,0.7790865888977051,2.4790004014968874,0.4265
max,500.0,1.2112566173076629,0.7790865888977051,2.4790004014968874,0.4265
