describe,epoch,Loss,Acc,vLoss,vAcc
count,1.0,1.0,1.0,1.0,1.0
null_count,0.0,0.0,0.0,0.0,0.0
mean,500.0,3.063097014427185,0.2761718332672119,2.8091264605522155,0.2996
std,NaN,0.0,0.0,0.0,0.0
min,500.0,3.063097014427185,0.2761718332672119,2.8091264605522155,0.2996
25%,500.0,3.063097014427185,0.2761718332672119,2.8091264605522155,0.2996
50%,500.0,3.063097014427185,0.2761718332672119,2.8091264605522155,0.2996
75%,500.0,3.063097014427185,0.2761718332672119,2.8091264605522155,0.2996
max,500.0,3.063097014427185,0.2761718332672119,2.8091264605522155,0.2996
