step,epoch,train_loss,train_acc,train_path_loss,train_path_acc,val_loss,val_acc,val_path_loss,val_path_acc,param_l2norm_layer,param_l2norm,grad_l2norm_layer,grad_l2norm,dur_total_core,dur_train_core,dur_dl_train
1,1,4.665963359832764,0.022333333333333334,last: 4.665963359832764,last: 0.022333333333333334,,,,,(nested_data),79.511474609375,(nested_data),2.538078546524048,0.19573354721069336,0.19581270217895508,0.06280708312988281
2,2,4.2606314888000485,0.04833333333333333,last: 4.2606314888000485,last: 0.04833333333333333,,,,,(nested_data),79.7233657836914,(nested_data),2.1888527870178223,0.38199543952941895,0.38213133811950684,0.1361088752746582
3,3,4.029264005025228,0.068,last: 4.029264005025228,last: 0.068,,,,,(nested_data),79.87516784667969,(nested_data),2.1927168369293213,0.5635647773742676,0.5637586116790771,0.19278907775878906
4,4,3.846521738688151,0.10233333333333333,last: 3.846521738688151,last: 0.10233333333333333,,,,,(nested_data),80.04351806640625,(nested_data),2.144530773162842,0.7423868179321289,0.7426328659057617,0.2478015422821045
5,5,3.6810694840749103,0.12066666666666667,last: 3.6810694840749103,last: 0.12066666666666667,,,,,(nested_data),80.24040985107422,(nested_data),2.4822754859924316,0.9245402812957764,0.9248404502868652,0.302901029586792
6,6,3.552146521250407,0.14333333333333334,last: 3.552146521250407,last: 0.14333333333333334,,,,,(nested_data),80.47137451171875,(nested_data),2.7739667892456055,1.1056559085845947,1.1060149669647217,0.35831475257873535
7,7,3.4320209280649823,0.149,last: 3.4320209280649823,last: 0.149,4.074591575622558,0.1276,last: 4.074591575622558,last: 0.1276,(nested_data),80.71863555908203,(nested_data),2.5103399753570557,1.4461650848388672,1.2858080863952637,0.4138951301574707
8,8,3.3072094440460207,0.18033333333333335,last: 3.3072094440460207,last: 0.18033333333333335,,,,,(nested_data),80.9843978881836,(nested_data),2.6415607929229736,1.7268481254577637,1.5665452480316162,0.47534942626953125
9,9,3.18611936378479,0.19166666666666668,last: 3.18611936378479,last: 0.19166666666666668,,,,,(nested_data),81.28028869628906,(nested_data),2.7982583045959473,1.910088300704956,1.7498395442962646,0.5298001766204834
10,10,3.092072001139323,0.21833333333333332,last: 3.092072001139323,last: 0.21833333333333332,,,,,(nested_data),81.60302734375,(nested_data),2.6528208255767822,2.088423728942871,1.9282279014587402,0.5879998207092285
11,11,2.954043109893799,0.25,last: 2.954043109893799,last: 0.25,,,,,(nested_data),81.94377136230469,(nested_data),3.090242862701416,2.266841411590576,2.106700897216797,0.6446380615234375
12,12,2.8468525301615397,0.2643333333333333,last: 2.8468525301615397,last: 0.2643333333333333,,,,,(nested_data),82.31082916259766,(nested_data),2.8994414806365967,2.4456377029418945,2.2855541706085205,0.7003941535949707
13,13,2.7609739793141683,0.2786666666666667,last: 2.7609739793141683,last: 0.2786666666666667,,,,,(nested_data),82.6969985961914,(nested_data),2.756760358810425,2.623392105102539,2.4633617401123047,0.7584967613220215
14,14,2.6136690940856933,0.31666666666666665,last: 2.6136690940856933,last: 0.31666666666666665,4.58915023727417,0.1373,last: 4.58915023727417,last: 0.1373,(nested_data),83.11457824707031,(nested_data),3.090980052947998,2.964961528778076,2.64227032661438,0.8142027854919434
15,15,2.5193061917622885,0.3293333333333333,last: 2.5193061917622885,last: 0.3293333333333333,,,,,(nested_data),83.56068420410156,(nested_data),2.8271431922912598,3.253359079360962,2.9307286739349365,0.8734126091003418
16,16,2.432015296300252,0.326,last: 2.432015296300252,last: 0.326,,,,,(nested_data),84.03662109375,(nested_data),3.516860246658325,3.4420812129974365,3.1195015907287598,0.9274623394012451
17,17,2.326333298365275,0.3596666666666667,last: 2.326333298365275,last: 0.3596666666666667,,,,,(nested_data),84.53986358642578,(nested_data),3.073131799697876,3.6233716011047363,3.3008480072021484,0.9855432510375977
18,18,2.168320220311483,0.3913333333333333,last: 2.168320220311483,last: 0.3913333333333333,,,,,(nested_data),85.05672454833984,(nested_data),3.0529067516326904,3.806939125061035,3.48447322845459,1.040522575378418
19,19,2.087419338226318,0.4046666666666667,last: 2.087419338226318,last: 0.4046666666666667,,,,,(nested_data),85.60441589355469,(nested_data),3.3071112632751465,3.9879584312438965,3.665545701980591,1.095808744430542
20,20,1.9538973140716553,0.44,last: 1.9538973140716553,last: 0.44,4.27396492767334,0.1721,last: 4.27396492767334,last: 0.1721,(nested_data),86.18174743652344,(nested_data),3.3450493812561035,4.343548774719238,3.8495676517486572,1.1507458686828613
21,21,1.8323009036382039,0.4686666666666667,last: 1.8323009036382039,last: 0.4686666666666667,,,,,(nested_data),86.79671478271484,(nested_data),3.784837007522583,4.649738073348999,4.155822038650513,1.2104356288909912
22,22,1.78141086769104,0.4866666666666667,last: 1.78141086769104,last: 0.4866666666666667,,,,,(nested_data),87.41606140136719,(nested_data),3.7007434368133545,4.846583366394043,4.3527421951293945,1.267604112625122
23,23,1.6210628404617309,0.5256666666666666,last: 1.6210628404617309,last: 0.5256666666666666,,,,,(nested_data),88.05205535888672,(nested_data),3.6620097160339355,5.034638404846191,4.540863752365112,1.3240671157836914
24,24,1.5171377919514974,0.5553333333333333,last: 1.5171377919514974,last: 0.5553333333333333,,,,,(nested_data),88.6885986328125,(nested_data),3.3291015625,5.218716144561768,4.724994659423828,1.3787446022033691
25,25,1.3756384572982787,0.5836666666666667,last: 1.3756384572982787,last: 0.5836666666666667,,,,,(nested_data),89.33898162841797,(nested_data),3.4745538234710693,5.410113096237183,4.91645359992981,1.4346199035644531
26,26,1.2455521418253581,0.6173333333333333,last: 1.2455521418253581,last: 0.6173333333333333,,,,,(nested_data),90.00975799560547,(nested_data),4.385918617248535,5.602319002151489,5.108717679977417,1.4911994934082031
27,27,1.2337622067133585,0.6313333333333333,last: 1.2337622067133585,last: 0.6313333333333333,5.03889236907959,0.1871,last: 5.03889236907959,last: 0.1871,(nested_data),90.70417785644531,(nested_data),3.795173406600952,5.958937644958496,5.294579744338989,1.5464856624603271
28,28,1.1223823016484578,0.666,last: 1.1223823016484578,last: 0.666,,,,,(nested_data),91.37295532226562,(nested_data),3.5621449947357178,6.312298536300659,5.648000001907349,1.6087918281555176
29,29,1.0317008701960246,0.6926666666666667,last: 1.0317008701960246,last: 0.6926666666666667,,,,,(nested_data),92.03497314453125,(nested_data),3.7346396446228027,6.50134801864624,5.837110280990601,1.6646966934204102
30,30,0.9209078489939372,0.7153333333333334,last: 0.9209078489939372,last: 0.7153333333333334,,,,,(nested_data),92.67778778076172,(nested_data),4.058688163757324,6.685801982879639,6.0216224193573,1.720973014831543
31,31,0.8687195693651835,0.729,last: 0.8687195693651835,last: 0.729,,,,,(nested_data),93.31587982177734,(nested_data),3.314413070678711,6.895736932754517,6.231621265411377,1.7782387733459473
32,32,0.7404298025767009,0.7703333333333333,last: 0.7404298025767009,last: 0.7703333333333333,,,,,(nested_data),93.9285659790039,(nested_data),4.666176795959473,7.095541954040527,6.431490898132324,1.8360130786895752
33,33,0.7367849170366924,0.7723333333333333,last: 0.7367849170366924,last: 0.7723333333333333,,,,,(nested_data),94.54120635986328,(nested_data),3.6555697917938232,7.293594121932983,6.629608154296875,1.8921267986297607
34,34,0.6311804348627726,0.801,last: 0.6311804348627726,last: 0.801,5.9099507301330565,0.1854,last: 5.9099507301330565,last: 0.1854,(nested_data),95.10970306396484,(nested_data),3.1222870349884033,7.648224830627441,6.814073801040649,1.949575424194336
