step,lr,epoch,train_loss,train_acc,val_loss,val_acc,timestamp,timestamp_fmt,duration,duration_fmt,grad_mean
1,0.1,1,2.3030676849365235,0.1134,2.3002828117370604,0.126,1745747502.0082245,2025/04/27 18:51:42,12.747431516647339,12.7s,0.00013221901747328957
2,0.09755282581475769,2,2.296718212890625,0.1418,2.295364432144165,0.1508,1745747514.4538517,2025/04/27 18:51:54,25.193058729171753,25.2s,0.00012869989438968332
3,0.09045084971874738,3,2.292142056274414,0.1548,2.290814266586304,0.1626,1745747527.6769543,2025/04/27 18:52:07,38.41616129875183,38.4s,0.00012751282076806092
4,0.07938926261462367,4,2.2882415725708007,0.168,2.287143947982788,0.1636,1745747540.6749694,2025/04/27 18:52:20,51.41417646408081,51.4s,0.00012733796768316097
5,0.06545084971874739,5,2.2850885665893554,0.1692,2.284239752960205,0.166,1745747553.0895584,2025/04/27 18:52:33,63.82876539230347,1.1m,0.00012868150247413723
6,0.05000000000000001,6,2.2808988410949707,0.178,2.2814884185791016,0.1696,1745747565.8510058,2025/04/27 18:52:45,76.59021282196045,1.3m,0.00013000810622543213
7,0.03454915028125264,7,2.2792114337921143,0.1828,2.2788980854034424,0.1706,1745747578.7326207,2025/04/27 18:52:58,89.47182774543762,1.5m,0.0001277860546906595
8,0.020610737385376353,8,2.2777096488952635,0.1874,2.279293490600586,0.1688,1745747591.981549,2025/04/27 18:53:11,102.72075605392456,1.7m,0.00012871454532614734
9,0.009549150281252635,9,2.2772453468322755,0.184,2.277486835861206,0.1696,1745747604.7285326,2025/04/27 18:53:24,115.46773958206177,1.9m,0.0001276702886343628
10,0.002447174185242324,10,2.276081851196289,0.1826,2.278688586425781,0.1694,1745747617.7450883,2025/04/27 18:53:37,128.48429536819458,2.1m,0.00013207744427745638
