step,lr,epoch,train_loss,train_acc,timestamp,timestamp_fmt,duration,duration_fmt,grad_mean,val_loss,val_acc
1,0.005,1,1.8790881443023681,0.309,1745764351.5262868,2025/04/27 23:32:31,14.911104917526245,14.9s,0.00014968623156619287,,
2,0.0049987664009143295,2,1.5627584285736085,0.4328,1745764366.8119898,2025/04/27 23:32:46,30.196807861328125,30.2s,0.00015663369157437046,,
3,0.00499506682107068,3,1.4395980865478515,0.4836,1745764383.7254367,2025/04/27 23:33:03,47.110254764556885,47.1s,0.0001838357430870019,,
4,0.004988904911507701,4,1.370217799949646,0.5004,1745764398.1777992,2025/04/27 23:33:18,61.56261730194092,1.0m,0.00017042452867599422,,
5,0.004980286753286196,5,1.32298971824646,0.5306,1745764413.917235,2025/04/27 23:33:33,77.30205297470093,1.3m,0.00014267103452425545,,
6,0.004969220851487845,6,1.2571024784088134,0.5578,1745764429.2833943,2025/04/27 23:33:49,92.66821241378784,1.5m,0.00023975799751951854,,
7,0.004955718126821723,7,1.2846362007141112,0.5332,1745764445.0094347,2025/04/27 23:34:05,108.39425277709961,1.8m,0.00017746145317687478,,
8,0.004939791904846869,8,1.210389319419861,0.5652,1745764460.4800062,2025/04/27 23:34:20,123.86482429504395,2.1m,0.00016283982822073995,,
9,0.004921457902821578,9,1.1655010924339295,0.5776,1745764475.9373128,2025/04/27 23:34:35,139.3221309185028,2.3m,0.00014340959428693623,,
10,0.004900734214192358,10,1.1125437162399292,0.5946,1745764500.9205787,2025/04/27 23:35:00,164.30539679527283,2.7m,0.00019283078751186622,1.3276694389343262,0.534
11,0.004877641290737884,11,1.1178692035675049,0.6022,1745764516.2999043,2025/04/27 23:35:16,179.68472242355347,3.0m,0.0001820129886311861,,
12,0.004852201922385563,12,1.0983974382400512,0.6066,1745764531.4686437,2025/04/27 23:35:31,194.85346174240112,3.2m,0.00017556997750034498,,
13,0.004824441214720628,13,1.0559675842285157,0.617,1745764547.3682826,2025/04/27 23:35:47,210.75310063362122,3.5m,0.0001667874850568296,,
14,0.004794386564209952,14,1.0256729722976685,0.6382,1745764562.9947891,2025/04/27 23:36:02,226.37960720062256,3.8m,0.00015363868536155678,,
15,0.004762067631165048,15,1.0102771709442138,0.6386,1745764579.3269117,2025/04/27 23:36:19,242.71172976493835,4.0m,0.00019679478231182657,,
16,0.004727516310470919,16,1.00866836977005,0.6414,1745764594.4814436,2025/04/27 23:36:34,257.86626172065735,4.3m,0.00015382242247596878,,
17,0.0046907667001096585,17,0.9956512386322022,0.6404,1745764609.7339132,2025/04/27 23:36:49,273.1187312602997,4.6m,0.00014325766233014292,,
18,0.004651855067509859,18,0.9479607381820678,0.6608,1745764625.6264052,2025/04/27 23:37:05,289.0112233161926,4.8m,0.00021763367246308007,,
19,0.004610819813755038,19,0.9448099175453186,0.6738,1745764639.070625,2025/04/27 23:37:19,302.4554431438446,5.0m,0.00016701579872346883,,
20,0.004567701435686405,20,0.9390111167907715,0.6638,1745764664.9364507,2025/04/27 23:37:44,328.3212687969208,5.5m,0.00011204441733525528,1.0720428646087647,0.6301
21,0.004522542485937369,21,0.8811639392852784,0.683,1745764680.8833575,2025/04/27 23:38:00,344.26817560195923,5.7m,0.00024629640083162485,,
22,0.004475387530939226,22,0.89558530960083,0.6846,1745764697.3675263,2025/04/27 23:38:17,360.7523443698883,6.0m,0.00015967450610787637,,
23,0.004426283106939473,23,0.8699925630569458,0.691,1745764715.650694,2025/04/27 23:38:35,379.03551197052,6.3m,0.0000999346981132021,,
24,0.004375277674076149,24,0.8251934560775757,0.7074,1745764730.6864262,2025/04/27 23:38:50,394.07124423980713,6.6m,0.0001770734984631872,,
25,0.00432242156855353,25,0.8401997108459472,0.6976,1745764745.7314386,2025/04/27 23:39:05,409.1162567138672,6.8m,0.00012703629141697093,,
26,0.004267766952966369,26,0.8136747287750244,0.7108,1745764761.8481762,2025/04/27 23:39:21,425.2329943180084,7.1m,0.00021790656427356225,,
27,0.004211367764821722,27,0.8218873517990112,0.7106,1745764779.9962304,2025/04/27 23:39:39,443.3810484409332,7.4m,0.00018308943256784005,,
28,0.00415327966330913,28,0.8194835415840149,0.707,1745764794.495643,2025/04/27 23:39:54,457.8804609775543,7.6m,0.0002019790493363871,,
29,0.004093559974371725,29,0.7868512245178223,0.7216,1745764808.0697339,2025/04/27 23:40:08,471.4545519351959,7.9m,0.00022477280316479664,,
30,0.004032267634132442,30,0.7878130012512207,0.722,1745764834.4274378,2025/04/27 23:40:34,497.812255859375,8.3m,0.00022855533308074882,1.0745100091934203,0.6466
31,0.003969463130731184,31,0.7693185014724732,0.7308,1745764849.0523422,2025/04/27 23:40:49,512.4371602535248,8.5m,0.0001446636327102624,,
32,0.0039052084446303276,32,0.7391728261947632,0.7366,1745764865.528209,2025/04/27 23:41:05,528.913027048111,8.8m,0.00017608138529112694,,
33,0.0038395669874474922,33,0.7166253105163575,0.741,1745764880.4905505,2025/04/27 23:41:20,543.8753685951233,9.1m,0.00029698435969294223,,
34,0.003772603539375929,34,0.7693018721580506,0.7342,1745764896.789484,2025/04/27 23:41:36,560.1743021011353,9.3m,0.00017784212124638543,,
35,0.003704384185254289,35,0.710887711429596,0.7494,1745764912.8381515,2025/04/27 23:41:52,576.2229695320129,9.6m,0.00016332926367113032,,
36,0.0036349762493488678,36,0.6892197719573975,0.7584,1745764927.7214425,2025/04/27 23:42:07,591.1062605381012,9.9m,0.00020493807232924155,,
37,0.0035644482289126827,37,0.6797128923416138,0.763,1745764942.499971,2025/04/27 23:42:22,605.8847889900208,10.1m,0.0002443027667027309,,
38,0.0034928697265869525,38,0.6662694355010986,0.7584,1745764957.668763,2025/04/27 23:42:37,621.0535809993744,10.4m,0.00020002834230581357,,
