step,trainable,epoch,train_loss,train_acc,val_loss,val_acc,timestamp,timestamp_fmt,duration,duration_fmt,dur_total_core,dur_train_core,dur_dl_train
1,2052,1,1.7948576052983602,0.18020833333333333,1.4956644852956136,0.2833333333333333,1749104410.4345534,2025/06/05 15:20:10,1.226412057876587,1.2s,0.0642547607421875,0.056824684143066406,0.08584403991699219
2,2052,2,1.6903650760650635,0.19375,1.435348884264628,0.2791666666666667,1749104412.4252965,2025/06/05 15:20:12,3.2171552181243896,3.2s,0.12568068504333496,0.1105952262878418,0.17055177688598633
3,2052,3,1.6069310347239176,0.20625,1.376945726076762,0.29583333333333334,1749104414.413553,2025/06/05 15:20:14,5.205411672592163,5.2s,0.19191312789916992,0.16616249084472656,0.2576911449432373
4,2052,4,1.4598318338394165,0.2947916666666667,1.3423399448394775,0.32916666666666666,1749104416.4532378,2025/06/05 15:20:16,7.245096445083618,7.2s,0.24758434295654297,0.20703387260437012,0.3517591953277588
5,2052,5,1.3810144901275634,0.346875,1.3028140147527059,0.375,1749104418.419251,2025/06/05 15:20:18,9.211109638214111,9.2s,0.30505847930908203,0.2519853115081787,0.4615590572357178
6,2052,6,1.2964824438095093,0.4010416666666667,1.2610801855723064,0.4,1749104420.350473,2025/06/05 15:20:20,11.142331600189209,11.1s,0.34902477264404297,0.28450536727905273,0.5830211639404297
7,2052,7,1.2037383000055948,0.4635416666666667,1.2190528154373168,0.425,1749104422.2242627,2025/06/05 15:20:22,13.01612138748169,13.0s,0.38977789878845215,0.3106043338775635,0.7060892581939697
8,2052,8,1.1411771694819133,0.5239583333333333,1.170529301961263,0.4375,1749104424.1247306,2025/06/05 15:20:24,14.916589260101318,14.9s,0.4232499599456787,0.3366689682006836,0.8221206665039062
9,2052,9,1.0844282627105712,0.5677083333333334,1.1189883708953858,0.5,1749104425.9727626,2025/06/05 15:20:25,16.764621257781982,16.8s,0.4553487300872803,0.3621175289154053,0.9563851356506348
10,2052,10,1.044779324531555,0.58125,1.0694666624069213,0.5666666666666667,1749104427.8639143,2025/06/05 15:20:27,18.655772924423218,18.7s,0.4860243797302246,0.3875570297241211,1.0774855613708496
11,2052,11,0.993673841158549,0.6322916666666667,1.0271964232126871,0.6166666666666667,1749104429.7316809,2025/06/05 15:20:29,20.523539543151855,20.5s,0.518441915512085,0.4147336483001709,1.1994493007659912
12,2052,12,0.9408234715461731,0.6927083333333334,0.9898724317550659,0.6541666666666667,1749104431.7140188,2025/06/05 15:20:31,22.50587749481201,22.5s,0.5578358173370361,0.4402651786804199,1.3867957592010498
13,2052,13,0.9255656083424886,0.6885416666666667,0.9567997217178345,0.6666666666666666,1749104433.6157246,2025/06/05 15:20:33,24.407583236694336,24.4s,0.5942132472991943,0.47012805938720703,1.4854941368103027
14,2052,14,0.8946902751922607,0.721875,0.9304080247879029,0.6791666666666667,1749104435.495964,2025/06/05 15:20:35,26.287822723388672,26.3s,0.63118577003479,0.49715685844421387,1.6134564876556396
15,2052,15,0.8638812899589539,0.71875,0.9049859245618185,0.7208333333333333,1749104437.4342513,2025/06/05 15:20:37,28.226109981536865,28.2s,0.6704392433166504,0.5240232944488525,1.747708797454834
16,2052,16,0.820767855644226,0.7541666666666667,0.8828297416369121,0.7291666666666666,1749104439.3017018,2025/06/05 15:20:39,30.093560457229614,30.1s,0.7010626792907715,0.5494058132171631,1.8723185062408447
17,2052,17,0.8104844649632772,0.7677083333333333,0.8627980470657348,0.7291666666666666,1749104441.23258,2025/06/05 15:20:41,32.02443861961365,32.0s,0.7337555885314941,0.5768556594848633,2.018909215927124
18,2052,18,0.77904159228007,0.7854166666666667,0.8416460315386455,0.7625,1749104443.1145043,2025/06/05 15:20:43,33.906363010406494,33.9s,0.7651219367980957,0.6029889583587646,2.1501522064208984
19,2052,19,0.7774922569592794,0.79375,0.8223226269086202,0.7583333333333333,1749104445.0418568,2025/06/05 15:20:45,35.83371543884277,35.8s,0.8077883720397949,0.6347031593322754,2.2597060203552246
20,2052,20,0.7441218773523967,0.7895833333333333,0.805250080426534,0.775,1749104446.9948034,2025/06/05 15:20:46,37.786662101745605,37.8s,0.8507535457611084,0.6627500057220459,2.4009854793548584
21,11178564,21,0.7206422328948975,0.79375,0.7224228461583455,0.7875,1749104449.8821747,2025/06/05 15:20:49,40.674033403396606,40.7s,1.0270075798034668,0.8244891166687012,2.49765944480896
22,11178564,22,0.6718356847763062,0.80625,0.6843428492546082,0.7833333333333333,1749104452.8172984,2025/06/05 15:20:52,43.6091570854187,43.6s,1.2138638496398926,1.0060763359069824,2.6059482097625732
23,11178564,23,0.5982093850771586,0.8260416666666667,0.6599417130152384,0.7833333333333333,1749104455.5263522,2025/06/05 15:20:55,46.31821084022522,46.3s,1.3822124004364014,1.1691904067993164,2.688718557357788
24,11178564,24,0.5594099283218383,0.83125,0.630835763613383,0.7916666666666666,1749104457.8931446,2025/06/05 15:20:57,48.68500328063965,48.7s,1.503929615020752,1.285642385482788,2.771061897277832
