step,epoch,train_loss,train_acc,val_loss,val_acc,timestamp,timestamp_fmt,duration,duration_fmt
1,1,1.9655550996780395,0.2862,1.962149418258667,0.2854,1745086301.1780894,2025/04/20 03:11:41,2.1667513847351074,2.2s
2,2,1.690288126373291,0.3806,1.923577261352539,0.3746,1745086302.4041922,2025/04/20 03:11:42,3.3928542137145996,3.4s
3,3,1.6243623035430907,0.3992,1.628211349105835,0.4326,1745086303.628057,2025/04/20 03:11:43,4.616719007492065,4.6s
4,4,1.5592529304504394,0.4336,1.4987707683563232,0.4538,1745086304.8613088,2025/04/20 03:11:44,5.849970817565918,5.8s
5,5,1.5035009283065797,0.4476,1.5483239295959472,0.4572,1745086306.0880818,2025/04/20 03:11:46,7.076743841171265,7.1s
6,6,1.4724537105560302,0.4622,1.5817705923080445,0.4502,1745086307.3679671,2025/04/20 03:11:47,8.356629133224487,8.4s
7,7,1.4868585594177246,0.4576,1.5350439430236817,0.4476,1745086308.599241,2025/04/20 03:11:48,9.587903022766113,9.6s
8,8,1.428667010116577,0.473,1.4871393928527832,0.4888,1745086309.721994,2025/04/20 03:11:49,10.710655927658081,10.7s
9,9,1.3921906191825866,0.4936,1.372740261077881,0.5106,1745086310.8702352,2025/04/20 03:11:50,11.85889720916748,11.9s
10,10,1.3482069015502929,0.5098,1.3764260898590088,0.5086,1745086312.1079266,2025/04/20 03:11:52,13.096588611602783,13.1s
11,11,1.3344482637405395,0.5152,1.3061385217666626,0.5326,1745086313.2895398,2025/04/20 03:11:53,14.278201818466187,14.3s
12,12,1.2829311729431152,0.5402,1.3069059203147888,0.532,1745086314.4730268,2025/04/20 03:11:54,15.461688756942749,15.5s
13,13,1.273675255203247,0.5408,1.3230753756523133,0.5338,1745086315.6416056,2025/04/20 03:11:55,16.63026762008667,16.6s
14,14,1.258126047706604,0.548,1.3373170413970947,0.5298,1745086316.778607,2025/04/20 03:11:56,17.767268896102905,17.8s
15,15,1.2397974418640136,0.5528,1.2963702096939087,0.5468,1745086317.931881,2025/04/20 03:11:57,18.92054295539856,18.9s
16,16,1.228504649925232,0.5662,1.3024251551628112,0.5392,1745086319.0900378,2025/04/20 03:11:59,20.078699827194214,20.1s
17,17,1.19146287651062,0.568,1.2560991064071656,0.5538,1745086320.2557044,2025/04/20 03:12:00,21.24436640739441,21.2s
18,18,1.1609914394378662,0.5812,1.231484140396118,0.5606,1745086321.5200732,2025/04/20 03:12:01,22.508735179901123,22.5s
19,19,1.1498733269691468,0.575,1.234967117023468,0.5614,1745086322.627203,2025/04/20 03:12:02,23.615864992141724,23.6s
20,20,1.113401124572754,0.6022,1.2046352403640748,0.5738,1745086323.836301,2025/04/20 03:12:03,24.824963092803955,24.8s
21,21,1.0895023698806763,0.6182,1.210435506439209,0.571,1745086325.105776,2025/04/20 03:12:05,26.094438076019287,26.1s
22,22,1.092173892211914,0.6172,1.2160036672592163,0.5692,1745086326.3291476,2025/04/20 03:12:06,27.317809581756592,27.3s
23,23,1.0759036703109741,0.6208,1.1893949766159058,0.573,1745086327.4940104,2025/04/20 03:12:07,28.482672452926636,28.5s
24,24,1.0456696250915527,0.6264,1.1872849779129029,0.5822,1745086328.7127182,2025/04/20 03:12:08,29.701380252838135,29.7s
25,25,1.0418872255325318,0.629,1.1992603950500489,0.5822,1745086329.9503524,2025/04/20 03:12:09,30.939014434814453,30.9s
26,26,1.0037836595535279,0.6434,1.1775849429130554,0.5814,1745086331.1842213,2025/04/20 03:12:11,32.17288327217102,32.2s
27,27,1.0071324464797973,0.6378,1.1757734693527222,0.5856,1745086332.434618,2025/04/20 03:12:12,33.423280000686646,33.4s
28,28,1.003632364654541,0.6494,1.1781804294586182,0.584,1745086333.6129162,2025/04/20 03:12:13,34.60157823562622,34.6s
29,29,1.0069047882080078,0.6488,1.180656064605713,0.5844,1745086334.755335,2025/04/20 03:12:14,35.74399709701538,35.7s
30,30,0.9979907747268677,0.6466,1.17142858543396,0.5848,1745086335.972444,2025/04/20 03:12:15,36.961106061935425,37.0s
