step,lr,epoch,train_loss,train_acc,val_loss,val_acc,timestamp,timestamp_fmt,duration,duration_fmt,grad_mean
1,0.1,1,2.3047690872192383,0.1094,2.3025670722961427,0.1064,1745753485.0700986,2025/04/27 20:31:25,12.76380443572998,12.8s,0.00012794513475000713
2,0.09972609476841367,2,2.300152513885498,0.112,2.298329166793823,0.1138,1745753498.092117,2025/04/27 20:31:38,25.785822868347168,25.8s,0.00012794494489298813
3,0.09890738003669028,3,2.295516667556763,0.1224,2.294355994796753,0.1278,1745753510.6821008,2025/04/27 20:31:50,38.3758065700531,38.4s,0.0001257277555168912
4,0.09755282581475767,4,2.2918021369934083,0.137,2.2900866455078126,0.134,1745753523.2891133,2025/04/27 20:32:03,50.98281908035278,51.0s,0.00012797608724213205
5,0.09567727288213003,5,2.2879016750335692,0.137,2.2865264739990234,0.1448,1745753536.386959,2025/04/27 20:32:16,64.08066487312317,1.1m,0.00012705527660727967
6,0.09330127018922194,6,2.283060950088501,0.1528,2.2820514720916747,0.157,1745753549.0707812,2025/04/27 20:32:29,76.76448702812195,1.3m,0.00012820919585010415
7,0.09045084971874737,7,2.2790651206970214,0.1628,2.27800294342041,0.1676,1745753561.7419531,2025/04/27 20:32:41,89.43565893173218,1.5m,0.00012578972769006214
8,0.0871572412738697,8,2.2759974979400637,0.1782,2.27530735206604,0.1724,1745753574.4510288,2025/04/27 20:32:54,102.14473462104797,1.7m,0.0001274848483490132
9,0.0834565303179429,9,2.2713285415649414,0.1824,2.26983741645813,0.1754,1745753587.7161584,2025/04/27 20:33:07,115.4098641872406,1.9m,0.00012572976913816092
10,0.07938926261462365,10,2.2678453617095946,0.1922,2.266440362930298,0.1828,1745753600.407073,2025/04/27 20:33:20,128.1007788181305,2.1m,0.00012687627952345792
11,0.07499999999999998,11,2.2635047203063965,0.2122,2.264481497192383,0.1936,1745753613.0778506,2025/04/27 20:33:33,140.7715563774109,2.3m,0.00012638813279863825
12,0.07033683215379001,12,2.2601968086242676,0.206,2.260665334701538,0.1992,1745753626.0074573,2025/04/27 20:33:46,153.70116305351257,2.6m,0.00012726420845865505
13,0.06545084971874737,13,2.2562188423156737,0.2158,2.256252283859253,0.2016,1745753638.9314842,2025/04/27 20:33:58,166.62519001960754,2.8m,0.0001298784698064992
14,0.06039558454088796,14,2.253369041442871,0.2214,2.2509538688659667,0.2038,1745753651.7489522,2025/04/27 20:34:11,179.44265794754028,3.0m,0.00012492897599258868
15,0.05522642316338268,15,2.250315264892578,0.221,2.247981121826172,0.21,1745753665.0481071,2025/04/27 20:34:25,192.74181294441223,3.2m,0.00012602103686276678
16,0.05000000000000001,16,2.246739605331421,0.231,2.2464731937408446,0.2138,1745753677.6993058,2025/04/27 20:34:37,205.3930115699768,3.4m,0.00012020507369925326
17,0.04477357683661733,17,2.2444708187103273,0.2212,2.244253601074219,0.2148,1745753690.300913,2025/04/27 20:34:50,217.99461889266968,3.6m,0.00012521453140834637
18,0.03960441545911203,18,2.241604916381836,0.2266,2.2398436882019044,0.2126,1745753702.9256759,2025/04/27 20:35:02,230.61938166618347,3.8m,0.00012757799549945048
19,0.03454915028125263,19,2.239740139770508,0.232,2.2360682315826415,0.2178,1745753715.6308153,2025/04/27 20:35:15,243.3245210647583,4.1m,0.00013029429032940243
20,0.02966316784621,20,2.237067423248291,0.2222,2.2370343929290772,0.2138,1745753728.3673613,2025/04/27 20:35:28,256.0610671043396,4.3m,0.00012782362171037676
21,0.025000000000000012,21,2.235985758972168,0.2316,2.2355916313171385,0.2144,1745753741.0951495,2025/04/27 20:35:41,268.78885531425476,4.5m,0.00012899693888357433
22,0.02061073738537635,22,2.2341232696533204,0.2264,2.2349943580627443,0.215,1745753753.706901,2025/04/27 20:35:53,281.40060687065125,4.7m,0.00012029734784846369
23,0.016543469682057107,23,2.231947989654541,0.2364,2.2333255516052244,0.22,1745753766.298557,2025/04/27 20:36:06,293.992262840271,4.9m,0.00012589192397172155
24,0.012842758726130301,24,2.2322971534729006,0.2322,2.2297597343444826,0.215,1745753778.9021952,2025/04/27 20:36:18,306.59590101242065,5.1m,0.00012305666712109087
25,0.009549150281252635,25,2.231837293624878,0.2272,2.2302469322204588,0.2208,1745753791.583825,2025/04/27 20:36:31,319.2775309085846,5.3m,0.00012345922550593968
26,0.006698729810778067,26,2.231169388580322,0.225,2.2309258922576904,0.2188,1745753804.1993496,2025/04/27 20:36:44,331.89305543899536,5.5m,0.0001257909442529126
27,0.004322727117869953,27,2.230177522659302,0.239,2.227347061920166,0.22,1745753816.9922872,2025/04/27 20:36:56,344.6859929561615,5.7m,0.00012568792897127423
28,0.002447174185242324,28,2.230474026489258,0.233,2.2329600719451905,0.223,1745753829.6972675,2025/04/27 20:37:09,357.39097332954407,6.0m,0.00012804216885342612
29,0.0010926199633097158,29,2.2298767673492432,0.2284,2.2308432178497313,0.2156,1745753842.336671,2025/04/27 20:37:22,370.03037691116333,6.2m,0.0001268752969281195
30,0.00027390523158633,30,2.2297542388916014,0.231,2.2283690170288084,0.2188,1745753855.0145524,2025/04/27 20:37:35,382.70825815200806,6.4m,0.00012608489907961484
