run_id,model_arc,train_dataset,val_dataset,num_classes,train_trans,val_trans,train_ndata,val_ndata,epochs,max_lr,batch_size,iters/epoch,iters,criterion,optimizer,scheduler,trainable,epoch,train_loss,train_acc,val_loss,val_acc,timestamp,timestamp_fmt,duration,duration_fmt,dur_total_core,dur_train_core,dur_dl_train
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,torchvision.models.resnet resnet18,comp_train,comp_train,4,"[ToImage(), CenterCrop(size=(85, 85)), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[-15.0, 15.0], interpolation=InterpolationMode.NEAREST, expand=False, fill=(0, 0, 0)), ToDtype(scale=True), Normalize(mean=[0.3123692572116852, 0.3123692572116852, 0.3123692572116852], std=[0.3177872598171234, 0.3177872598171234, 0.3177872598171234], inplace=True)]","[ToImage(), CenterCrop(size=(85, 85)), ToDtype(scale=True), Normalize(mean=[0.3123692572116852, 0.3123692572116852, 0.3123692572116852], std=[0.3177872598171234, 0.3177872598171234, 0.3177872598171234], inplace=True)]",840,360,200,0.01,64,14,2800,CrossEntropyLoss,AdamW,CosineAnnealingLR,2052,62,0.4119397924059913,0.8797619047619047,0.89170939789878,0.8416666666666667,1749097952.364147,2025/06/05 13:32:32,44.20747375488281,44.2s,4.362470388412476,3.76218843460083,4.325359582901001
31,torchvision.models.resnet resnet18,comp_train,comp_train,4,"[ToImage(), CenterCrop(size=(85, 85)), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[-15.0, 15.0], interpolation=InterpolationMode.NEAREST, expand=False, fill=(0, 0, 0)), ToDtype(scale=True), Normalize(mean=[0.3123692572116852, 0.3123692572116852, 0.3123692572116852], std=[0.3177872598171234, 0.3177872598171234, 0.3177872598171234], inplace=True)]","[ToImage(), CenterCrop(size=(85, 85)), ToDtype(scale=True), Normalize(mean=[0.3123692572116852, 0.3123692572116852, 0.3123692572116852], std=[0.3177872598171234, 0.3177872598171234, 0.3177872598171234], inplace=True)]",840,360,200,0.003,64,14,2800,CrossEntropyLoss,AdamW,CosineAnnealingLR,2052,62,0.2449726343154907,0.9130952380952381,0.5090969979763031,0.8444444444444444,1749097952.364147,2025/06/05 13:32:32,44.20747375488281,44.2s,3.8600211143493652,3.331066846847534,4.325359582901001
32,torchvision.models.resnet resnet18,comp_train,comp_train,4,"[ToImage(), CenterCrop(size=(85, 85)), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[-15.0, 15.0], interpolation=InterpolationMode.NEAREST, expand=False, fill=(0, 0, 0)), ToDtype(scale=True), Normalize(mean=[0.3123692572116852, 0.3123692572116852, 0.3123692572116852], std=[0.3177872598171234, 0.3177872598171234, 0.3177872598171234], inplace=True)]","[ToImage(), CenterCrop(size=(85, 85)), ToDtype(scale=True), Normalize(mean=[0.3123692572116852, 0.3123692572116852, 0.3123692572116852], std=[0.3177872598171234, 0.3177872598171234, 0.3177872598171234], inplace=True)]",840,360,200,0.001,64,14,2800,CrossEntropyLoss,AdamW,CosineAnnealingLR,2052,62,0.2611580065318516,0.9071428571428571,0.396660531229443,0.8666666666666667,1749097952.364147,2025/06/05 13:32:32,44.20747375488281,44.2s,3.7746658325195312,3.2632386684417725,4.325359582901001
33,torchvision.models.resnet resnet18,comp_train,comp_train,4,"[ToImage(), CenterCrop(size=(85, 85)), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[-15.0, 15.0], interpolation=InterpolationMode.NEAREST, expand=False, fill=(0, 0, 0)), ToDtype(scale=True), Normalize(mean=[0.3123692572116852, 0.3123692572116852, 0.3123692572116852], std=[0.3177872598171234, 0.3177872598171234, 0.3177872598171234], inplace=True)]","[ToImage(), CenterCrop(size=(85, 85)), ToDtype(scale=True), Normalize(mean=[0.3123692572116852, 0.3123692572116852, 0.3123692572116852], std=[0.3177872598171234, 0.3177872598171234, 0.3177872598171234], inplace=True)]",840,360,200,0.0003,64,14,2800,CrossEntropyLoss,AdamW,CosineAnnealingLR,2052,60,0.3396070877710978,0.8785714285714286,0.39965204662746856,0.8583333333333333,1749097950.791653,2025/06/05 13:32:30,42.63497972488403,42.6s,3.6516172885894775,3.1672861576080322,4.190300464630127
34,torchvision.models.resnet resnet18,comp_train,comp_train,4,"[ToImage(), CenterCrop(size=(85, 85)), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[-15.0, 15.0], interpolation=InterpolationMode.NEAREST, expand=False, fill=(0, 0, 0)), ToDtype(scale=True), Normalize(mean=[0.3123692572116852, 0.3123692572116852, 0.3123692572116852], std=[0.3177872598171234, 0.3177872598171234, 0.3177872598171234], inplace=True)]","[ToImage(), CenterCrop(size=(85, 85)), ToDtype(scale=True), Normalize(mean=[0.3123692572116852, 0.3123692572116852, 0.3123692572116852], std=[0.3177872598171234, 0.3177872598171234, 0.3177872598171234], inplace=True)]",840,360,200,0.0001,64,14,2800,CrossEntropyLoss,AdamW,CosineAnnealingLR,11178564,60,0.024177216951336178,0.9940476190476191,0.28787176609039306,0.9388888888888889,1749097950.791653,2025/06/05 13:32:30,42.63497972488403,42.6s,7.831970691680908,7.329628944396973,4.190300464630127
35,torchvision.models.resnet resnet18,comp_train,comp_train,4,"[ToImage(), CenterCrop(size=(85, 85)), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[-15.0, 15.0], interpolation=InterpolationMode.NEAREST, expand=False, fill=(0, 0, 0)), ToDtype(scale=True), Normalize(mean=[0.3123692572116852, 0.3123692572116852, 0.3123692572116852], std=[0.3177872598171234, 0.3177872598171234, 0.3177872598171234], inplace=True)]","[ToImage(), CenterCrop(size=(85, 85)), ToDtype(scale=True), Normalize(mean=[0.3123692572116852, 0.3123692572116852, 0.3123692572116852], std=[0.3177872598171234, 0.3177872598171234, 0.3177872598171234], inplace=True)]",840,360,200,0.01,64,14,2800,CrossEntropyLoss,AdamW,CosineAnnealingLR,11178564,110,0.27924223371914453,0.9047619047619048,0.4299730784363217,0.8472222222222222,1749098078.5312684,2025/06/05 13:34:38,122.98228001594543,2.0m,17.152207612991333,15.873435020446777,6.420077562332153
36,torchvision.models.resnet resnet18,comp_train,comp_train,4,"[ToImage(), CenterCrop(size=(85, 85)), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[-15.0, 15.0], interpolation=InterpolationMode.NEAREST, expand=False, fill=(0, 0, 0)), ToDtype(scale=True), Normalize(mean=[0.3123692572116852, 0.3123692572116852, 0.3123692572116852], std=[0.3177872598171234, 0.3177872598171234, 0.3177872598171234], inplace=True)]","[ToImage(), CenterCrop(size=(85, 85)), ToDtype(scale=True), Normalize(mean=[0.3123692572116852, 0.3123692572116852, 0.3123692572116852], std=[0.3177872598171234, 0.3177872598171234, 0.3177872598171234], inplace=True)]",840,360,200,0.003,64,14,2800,CrossEntropyLoss,AdamW,CosineAnnealingLR,11178564,110,0.2653208010253452,0.9107142857142857,0.5130347569783529,0.8138888888888889,1749098078.5312684,2025/06/05 13:34:38,122.98228001594543,2.0m,16.64253568649292,15.4510178565979,6.420077562332153
37,torchvision.models.resnet resnet18,comp_train,comp_train,4,"[ToImage(), CenterCrop(size=(85, 85)), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[-15.0, 15.0], interpolation=InterpolationMode.NEAREST, expand=False, fill=(0, 0, 0)), ToDtype(scale=True), Normalize(mean=[0.3123692572116852, 0.3123692572116852, 0.3123692572116852], std=[0.3177872598171234, 0.3177872598171234, 0.3177872598171234], inplace=True)]","[ToImage(), CenterCrop(size=(85, 85)), ToDtype(scale=True), Normalize(mean=[0.3123692572116852, 0.3123692572116852, 0.3123692572116852], std=[0.3177872598171234, 0.3177872598171234, 0.3177872598171234], inplace=True)]",840,360,200,0.001,64,14,2800,CrossEntropyLoss,AdamW,CosineAnnealingLR,11178564,110,0.1787470262408966,0.9464285714285714,0.47535423305299546,0.8777777777777778,1749098078.5312684,2025/06/05 13:34:38,122.98228001594543,2.0m,16.673808336257935,15.495212078094482,6.420077562332153
38,torchvision.models.resnet resnet18,comp_train,comp_train,4,"[ToImage(), CenterCrop(size=(85, 85)), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[-15.0, 15.0], interpolation=InterpolationMode.NEAREST, expand=False, fill=(0, 0, 0)), ToDtype(scale=True), Normalize(mean=[0.3123692572116852, 0.3123692572116852, 0.3123692572116852], std=[0.3177872598171234, 0.3177872598171234, 0.3177872598171234], inplace=True)]","[ToImage(), CenterCrop(size=(85, 85)), ToDtype(scale=True), Normalize(mean=[0.3123692572116852, 0.3123692572116852, 0.3123692572116852], std=[0.3177872598171234, 0.3177872598171234, 0.3177872598171234], inplace=True)]",840,360,200,0.0003,64,14,2800,CrossEntropyLoss,AdamW,CosineAnnealingLR,11178564,110,0.06626664472610823,0.9785714285714285,0.3818503280480703,0.9055555555555556,1749098078.5312684,2025/06/05 13:34:38,122.98228001594543,2.0m,16.676294326782227,15.516849040985107,6.420077562332153
39,torchvision.models.resnet resnet18,comp_train,comp_train,4,"[ToImage(), CenterCrop(size=(85, 85)), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[-15.0, 15.0], interpolation=InterpolationMode.NEAREST, expand=False, fill=(0, 0, 0)), ToDtype(scale=True), Normalize(mean=[0.3123692572116852, 0.3123692572116852, 0.3123692572116852], std=[0.3177872598171234, 0.3177872598171234, 0.3177872598171234], inplace=True)]","[ToImage(), CenterCrop(size=(85, 85)), ToDtype(scale=True), Normalize(mean=[0.3123692572116852, 0.3123692572116852, 0.3123692572116852], std=[0.3177872598171234, 0.3177872598171234, 0.3177872598171234], inplace=True)]",840,360,200,0.0001,64,14,2800,CrossEntropyLoss,AdamW,CosineAnnealingLR,11178564,110,0.0477898410477099,0.9892857142857143,0.3390443729029761,0.9027777777777778,1749098078.5312684,2025/06/05 13:34:38,122.98228001594543,2.0m,16.94231867790222,15.770281791687012,6.420077562332153
40,torchvision.models.resnet resnet18,comp_train,comp_train,4,"[ToImage(), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[-15.0, 15.0], interpolation=InterpolationMode.NEAREST, expand=False, fill=(0, 0, 0)), ToDtype(scale=True), Normalize(mean=[0.3123692572116852, 0.3123692572116852, 0.3123692572116852], std=[0.3177872598171234, 0.3177872598171234, 0.3177872598171234], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.3123692572116852, 0.3123692572116852, 0.3123692572116852], std=[0.3177872598171234, 0.3177872598171234, 0.3177872598171234], inplace=True)]",840,360,200,0.01,64,14,2800,CrossEntropyLoss,AdamW,CosineAnnealingLR,11178564,44,0.4984286285582043,0.8095238095238095,0.9424460848172506,0.7027777777777777,1749098130.9445953,2025/06/05 13:35:30,46.16417407989502,46.2s,6.216675043106079,5.757973909378052,2.869126081466675
41,torchvision.models.resnet resnet18,comp_train,comp_train,4,"[ToImage(), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[-15.0, 15.0], interpolation=InterpolationMode.NEAREST, expand=False, fill=(0, 0, 0)), ToDtype(scale=True), Normalize(mean=[0.3123692572116852, 0.3123692572116852, 0.3123692572116852], std=[0.3177872598171234, 0.3177872598171234, 0.3177872598171234], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.3123692572116852, 0.3123692572116852, 0.3123692572116852], std=[0.3177872598171234, 0.3177872598171234, 0.3177872598171234], inplace=True)]",840,360,200,0.003,64,14,2800,CrossEntropyLoss,AdamW,CosineAnnealingLR,11178564,44,0.33231660411471414,0.8809523809523809,0.653403267595503,0.8277777777777777,1749098130.9445953,2025/06/05 13:35:30,46.16417407989502,46.2s,5.856834411621094,5.450885772705078,2.869126081466675
42,torchvision.models.resnet resnet18,comp_train,comp_train,4,"[ToImage(), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[-15.0, 15.0], interpolation=InterpolationMode.NEAREST, expand=False, fill=(0, 0, 0)), ToDtype(scale=True), Normalize(mean=[0.3123692572116852, 0.3123692572116852, 0.3123692572116852], std=[0.3177872598171234, 0.3177872598171234, 0.3177872598171234], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.3123692572116852, 0.3123692572116852, 0.3123692572116852], std=[0.3177872598171234, 0.3177872598171234, 0.3177872598171234], inplace=True)]",840,360,200,0.001,64,14,2800,CrossEntropyLoss,AdamW,CosineAnnealingLR,11178564,44,0.14332128592899868,0.9523809523809523,0.40121894545025294,0.8861111111111111,1749098130.9445953,2025/06/05 13:35:30,46.16417407989502,46.2s,5.84763240814209,5.448122262954712,2.869126081466675
43,torchvision.models.resnet resnet18,comp_train,comp_train,4,"[ToImage(), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[-15.0, 15.0], interpolation=InterpolationMode.NEAREST, expand=False, fill=(0, 0, 0)), ToDtype(scale=True), Normalize(mean=[0.3123692572116852, 0.3123692572116852, 0.3123692572116852], std=[0.3177872598171234, 0.3177872598171234, 0.3177872598171234], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.3123692572116852, 0.3123692572116852, 0.3123692572116852], std=[0.3177872598171234, 0.3177872598171234, 0.3177872598171234], inplace=True)]",840,360,200,0.0003,64,14,2800,CrossEntropyLoss,AdamW,CosineAnnealingLR,11178564,44,0.05642291271970386,0.9821428571428571,0.5299201885859172,0.8555555555555555,1749098130.9445953,2025/06/05 13:35:30,46.16417407989502,46.2s,5.901010513305664,5.50105094909668,2.869126081466675
44,torchvision.models.resnet resnet18,comp_train,comp_train,4,"[ToImage(), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[-15.0, 15.0], interpolation=InterpolationMode.NEAREST, expand=False, fill=(0, 0, 0)), ToDtype(scale=True), Normalize(mean=[0.3123692572116852, 0.3123692572116852, 0.3123692572116852], std=[0.3177872598171234, 0.3177872598171234, 0.3177872598171234], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.3123692572116852, 0.3123692572116852, 0.3123692572116852], std=[0.3177872598171234, 0.3177872598171234, 0.3177872598171234], inplace=True)]",840,360,200,0.0001,64,14,2800,CrossEntropyLoss,AdamW,CosineAnnealingLR,11178564,44,0.05512401000374839,0.975,0.5382665408982171,0.8694444444444445,1749098130.9445953,2025/06/05 13:35:30,46.16417407989502,46.2s,5.934465169906616,5.53961968421936,2.869126081466675
45,torchvision.models.resnet resnet18,comp_train,comp_train,4,"[ToImage(), CenterCrop(size=(85, 85)), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[-15.0, 15.0], interpolation=InterpolationMode.NEAREST, expand=False, fill=(0, 0, 0)), ToDtype(scale=True), Normalize(mean=[0.3123692572116852, 0.3123692572116852, 0.3123692572116852], std=[0.3177872598171234, 0.3177872598171234, 0.3177872598171234], inplace=True)]","[ToImage(), CenterCrop(size=(85, 85)), ToDtype(scale=True), Normalize(mean=[0.3123692572116852, 0.3123692572116852, 0.3123692572116852], std=[0.3177872598171234, 0.3177872598171234, 0.3177872598171234], inplace=True)]",840,360,200,0.01,64,14,2800,CrossEntropyLoss,SGD,CosineAnnealingLR,11178564,44,0.41981176024391537,0.8714285714285714,34.90945544772678,0.6694444444444444,1749098210.2086105,2025/06/05 13:36:50,44.250927686691284,44.3s,5.61598539352417,5.255589962005615,3.2161149978637695
46,torchvision.models.resnet resnet18,comp_train,comp_train,4,"[ToImage(), CenterCrop(size=(85, 85)), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[-15.0, 15.0], interpolation=InterpolationMode.NEAREST, expand=False, fill=(0, 0, 0)), ToDtype(scale=True), Normalize(mean=[0.3123692572116852, 0.3123692572116852, 0.3123692572116852], std=[0.3177872598171234, 0.3177872598171234, 0.3177872598171234], inplace=True)]","[ToImage(), CenterCrop(size=(85, 85)), ToDtype(scale=True), Normalize(mean=[0.3123692572116852, 0.3123692572116852, 0.3123692572116852], std=[0.3177872598171234, 0.3177872598171234, 0.3177872598171234], inplace=True)]",840,360,200,0.003,64,14,2800,CrossEntropyLoss,SGD,CosineAnnealingLR,11178564,44,0.08827530139436325,0.969047619047619,0.4162600464291043,0.9083333333333333,1749098210.2086105,2025/06/05 13:36:50,44.250927686691284,44.3s,5.228306531906128,4.909566879272461,3.2161149978637695
