step,epoch,train_loss,train_acc,val_loss,val_acc,timestamp,timestamp_fmt,duration,duration_fmt
1,1,1.956512826538086,0.2852,2.055211137008667,0.3086,1745086762.4377313,2025/04/20 03:19:22,1.4066359996795654,1.4s
2,2,1.7228774127960205,0.3644,1.6460037155151368,0.3942,1745086763.594751,2025/04/20 03:19:23,2.5636556148529053,2.6s
3,3,1.627086317062378,0.3996,1.6345133172988893,0.4254,1745086764.741614,2025/04/20 03:19:24,3.7105188369750977,3.7s
4,4,1.558700506591797,0.422,1.5688787336349488,0.4374,1745086765.946714,2025/04/20 03:19:25,4.915618658065796,4.9s
5,5,1.5217208909988402,0.4512,1.6102514129638672,0.4154,1745086767.2272816,2025/04/20 03:19:27,6.196186304092407,6.2s
6,6,1.5000424377441406,0.4592,1.5158021305084228,0.4572,1745086768.4142737,2025/04/20 03:19:28,7.383178472518921,7.4s
7,7,1.4673219699859619,0.4664,1.5263200012207032,0.4674,1745086769.61735,2025/04/20 03:19:29,8.586254835128784,8.6s
8,8,1.4571099014282227,0.4708,1.424244920539856,0.4896,1745086770.8365128,2025/04/20 03:19:30,9.805417537689209,9.8s
9,9,1.439362663269043,0.4794,1.4283652254104615,0.4896,1745086772.0055184,2025/04/20 03:19:32,10.974423170089722,11.0s
10,10,1.377505622291565,0.4936,1.367998791885376,0.5074,1745086773.260856,2025/04/20 03:19:33,12.229760646820068,12.2s
11,11,1.3599603351593017,0.5096,1.3279589065551758,0.5244,1745086774.4947917,2025/04/20 03:19:34,13.463696479797363,13.5s
12,12,1.301736142539978,0.5322,1.3189529756546021,0.53,1745086775.6471465,2025/04/20 03:19:35,14.616051197052002,14.6s
13,13,1.2781364355087281,0.5368,1.2979990650177002,0.5366,1745086776.8661127,2025/04/20 03:19:36,15.835017442703247,15.8s
14,14,1.2664120052337646,0.5432,1.2974474657058717,0.5452,1745086778.0292048,2025/04/20 03:19:38,16.998109579086304,17.0s
15,15,1.2303950778961181,0.5526,1.278899583053589,0.5548,1745086779.181674,2025/04/20 03:19:39,18.15057873725891,18.2s
16,16,1.2146528059005737,0.5642,1.3152258489608766,0.5422,1745086780.3412113,2025/04/20 03:19:40,19.310116052627563,19.3s
17,17,1.1909887771606444,0.5756,1.2239176559448242,0.566,1745086781.5159428,2025/04/20 03:19:41,20.48484754562378,20.5s
18,18,1.1892663585662842,0.5778,1.2332416509628297,0.5648,1745086782.7244475,2025/04/20 03:19:42,21.693352222442627,21.7s
19,19,1.151903699207306,0.5884,1.2212908929824828,0.5732,1745086783.9398746,2025/04/20 03:19:43,22.90877938270569,22.9s
20,20,1.1135721857070924,0.5998,1.1954634460449218,0.5802,1745086785.0727787,2025/04/20 03:19:45,24.041683435440063,24.0s
21,21,1.1073311874389649,0.6034,1.2003874439239501,0.5702,1745086786.2287977,2025/04/20 03:19:46,25.197702407836914,25.2s
22,22,1.0682293855667113,0.6168,1.1769444378852845,0.5866,1745086787.4194143,2025/04/20 03:19:47,26.38831901550293,26.4s
23,23,1.0567509349822999,0.6294,1.176505048942566,0.5826,1745086788.661384,2025/04/20 03:19:48,27.63028883934021,27.6s
24,24,1.0446618350982666,0.6254,1.189936473083496,0.5828,1745086789.8426228,2025/04/20 03:19:49,28.811527490615845,28.8s
25,25,1.0320168748855592,0.6266,1.1719444244384765,0.5888,1745086791.006099,2025/04/20 03:19:51,29.975003719329834,30.0s
26,26,1.0117689390182496,0.647,1.1744364381790162,0.596,1745086792.220576,2025/04/20 03:19:52,31.189480781555176,31.2s
27,27,1.0108784896850587,0.6418,1.157170508956909,0.5928,1745086793.5315738,2025/04/20 03:19:53,32.50047850608826,32.5s
28,28,1.0121675581932068,0.6538,1.1593898849487305,0.5936,1745086794.6697361,2025/04/20 03:19:54,33.63864088058472,33.6s
29,29,0.9948150394439698,0.6538,1.1592518533706666,0.5938,1745086795.82447,2025/04/20 03:19:55,34.79337477684021,34.8s
30,30,0.9961137174606324,0.6512,1.153691619873047,0.5944,1745086796.9912233,2025/04/20 03:19:56,35.96012806892395,36.0s
