step,epoch,train_loss,train_acc,train_path_loss,train_path_acc,val_loss,val_acc,val_path_loss,val_path_acc,param_l2norm_layer,param_l2norm,grad_l2norm_layer,grad_l2norm,dur_total_core,dur_train_core,dur_dl_train
1,1,4.641788349151612,0.011,last: 4.725446266174316,last: 0.011,,,,,(nested_data),112.38582611083984,(nested_data),1.0167995691299438,0.4050774574279785,0.4050936698913574,0.05511951446533203
2,2,4.5497256393432615,0.015,last: 4.65277568435669,last: 0.007,,,,,(nested_data),112.40238189697266,(nested_data),0.9626728892326355,0.8111581802368164,0.8111977577209473,0.10953283309936523
3,3,4.442126319885254,0.036,last: 4.618830902099609,last: 0.016,,,,,(nested_data),112.42835998535156,(nested_data),1.0579369068145752,1.2232787609100342,1.223348617553711,0.16803693771362305
4,4,4.31861075592041,0.056,last: 4.667341228485108,last: 0.024,,,,,(nested_data),112.45964050292969,(nested_data),0.9765622019767761,1.6397616863250732,1.6398651599884033,0.23342657089233398
5,5,4.234865509033203,0.055,last: 4.738345096588135,last: 0.022,,,,,(nested_data),112.49356079101562,(nested_data),0.9438570737838745,2.05143141746521,2.0515615940093994,0.29095935821533203
6,6,4.132570362091064,0.067,last: 4.820330280303955,last: 0.022,,,,,(nested_data),112.53192901611328,(nested_data),0.9145379662513733,2.4575281143188477,2.457681179046631,0.3463249206542969
7,7,4.02385196685791,0.078,last: 4.947728767395019,last: 0.02,,,,,(nested_data),112.57637786865234,(nested_data),1.0265593528747559,2.8632869720458984,2.8634636402130127,0.40138840675354004
8,8,3.941035554885864,0.088,last: 5.011367691040039,last: 0.023,,,,,(nested_data),112.62435913085938,(nested_data),1.1963021755218506,3.2705671787261963,3.270765542984009,0.4553201198577881
9,9,3.8386759548187257,0.104,last: 5.1013284759521484,last: 0.021,,,,,(nested_data),112.67849731445312,(nested_data),1.225332260131836,3.6765449047088623,3.6767635345458984,0.5087554454803467
10,10,3.7586173610687257,0.123,last: 5.167244590759277,last: 0.024,,,,,(nested_data),112.73710632324219,(nested_data),1.1779793500900269,4.0801002979278564,4.080337285995483,0.5621645450592041
11,11,3.6446498165130614,0.143,last: 5.198964466094971,last: 0.035,,,,,(nested_data),112.80058288574219,(nested_data),1.3944785594940186,4.484015703201294,4.4842729568481445,0.615839958190918
12,12,3.570154001235962,0.156,last: 5.168206897735596,last: 0.04,,,,,(nested_data),112.86907196044922,(nested_data),1.3223202228546143,4.889070987701416,4.889352083206177,0.6704394817352295
13,13,3.4976607971191407,0.165,last: 5.283464008331299,last: 0.038,,,,,(nested_data),112.9448013305664,(nested_data),1.320861577987671,5.29667592048645,5.296983003616333,0.7260024547576904
14,14,3.369783193588257,0.18,last: 5.250474754333496,last: 0.029,,,,,(nested_data),113.02430725097656,(nested_data),1.283760666847229,5.702489137649536,5.702819585800171,0.7786638736724854
