acceptedNameUsageID,Scientific name,Item,Top,Bottom,midPoint
105832,Heptranchias perlo,Depth,0,1000,
105832,Heptranchias perlo,Depth,180,450,
105832,Heptranchias perlo,max size,,,137
105832,Heptranchias perlo,common size,,,100
105833,Hexanchus griseus,Lat,-48,65,
105833,Hexanchus griseus,Lon,-180,180,
105833,Hexanchus griseus,Depth,180,1100,
105833,Hexanchus griseus,Depth,1,2500,
105833,Hexanchus griseus,max size,,,600
105833,Hexanchus griseus,common size,,,300
105833,Hexanchus griseus,Temperature,6,10,
105835,Alopias superciliosus,Lat,-40,46,
105835,Alopias superciliosus,Lon,-180,180,
105835,Alopias superciliosus,Depth,0,955,
105835,Alopias superciliosus,Depth,0,100,
105835,Alopias superciliosus,max size,,,488
105835,Alopias superciliosus,common size,,,350
105836,Alopias vulpinus,Lat,-58,74,
105836,Alopias vulpinus,Lon,-180,180,
105836,Alopias vulpinus,Depth,0,650,
105836,Alopias vulpinus,Depth,0,200,
105836,Alopias vulpinus,max size,,,573
105836,Alopias vulpinus,common size,,,450
105837,Cetorhinus maximus,lat,-58,75,
105837,Cetorhinus maximus,Lon,-180,42,
105837,Cetorhinus maximus,Lon,111,180,
105837,Cetorhinus maximus,Depth,0,1264,
105837,Cetorhinus maximus,Depth,0,2000,
105837,Cetorhinus maximus,max size,,,1520
105837,Cetorhinus maximus,common size,,,700
105837,Cetorhinus maximus,Temperature,8,16,
105837,Cetorhinus maximus,Temperature,6,24,
105838,Carcharodon carcharias,Lat,-58,61,
105838,Carcharodon carcharias,Lon,-180,180,
105838,Carcharodon carcharias,Depth,0,1200,
105838,Carcharodon carcharias,Depth,0,250,
105839,Isurus oxyrinchus,lat,-54,65,
105839,Isurus oxyrinchus,Lon,-180,180,
105839,Isurus oxyrinchus,Depth,100,150,
105839,Isurus oxyrinchus,Depth,0,888,
105839,Isurus oxyrinchus,max size,,,445
105839,Isurus oxyrinchus,common size,,,270
105839,Isurus oxyrinchus,Temperature,16,?,
105840,Isurus paucus,Lat,-38,46,
105840,Isurus paucus,Lon,-180,180,
105840,Isurus paucus,Depth,0,1752,
105840,Isurus paucus,max size,,,427
105840,Isurus paucus,common size,,,200
105841,Lamna nasus,Lat,-59,76,
105841,Lamna nasus,Lon,-180,180,
105841,Lamna nasus,Depth,0,1809,
105841,Lamna nasus,Depth,0,300,
105841,Lamna nasus,max size,,,350
105841,Lamna nasus,common size,,,244
105841,Lamna nasus,Temperature,5,10,
105841,Lamna nasus,Temperature,-1,23,
105843,Carcharias taurus,Lat,-48,45,
105843,Carcharias taurus,Lon,-100,155,
105843,Carcharias taurus,Depth,0,232,
105843,Carcharias taurus,Depth,15,25,
105843,Carcharias taurus,max size,,,330
105843,Carcharias taurus,common size,,,250
105844,Odontaspis ferox,Lat,-49,50,
105844,Odontaspis ferox,Lon,-180,180,
105844,Odontaspis ferox,Depth,10,2000,
105844,Odontaspis ferox,Depth,13,880,
105845,Odontaspis noronhai,Lat,-34,31,
105845,Odontaspis noronhai,Lon,-163,-27,
105845,Odontaspis noronhai,Depth,35,1000,
105846,Ginglymostoma cirratum,lat,-35,44,
105846,Ginglymostoma cirratum,Lon,-122,10,
105846,Ginglymostoma cirratum,Depth,0,130,
105846,Ginglymostoma cirratum,Depth,1,35,
105846,Ginglymostoma cirratum,max size,,,430
105846,Ginglymostoma cirratum,common size,,,304
105847,Rhincodon typus,Lat,-48,45,
105847,Rhincodon typus,Lon,-180,180,
105847,Rhincodon typus,Depth,0,100,
105847,Rhincodon typus,Depth,0,1928,
105847,Rhincodon typus,max size,,,1700
105847,Rhincodon typus,common size,,,1000
105847,Rhincodon typus,Temperature,26.5,30,
105847,Rhincodon typus,Temperature,18,30,
105858,Mobula japanica,lat,-30,40,
105858,Mobula mobular,Lat,13,53,
105858,Mobula japanica,Depth,0,200,
105858,Mobula japanica,Depth,0,647,
105858,Mobula mobular,Depth,0,50,
105858,Mobula mobular,Depth,0,1112,
105858,Mobula japanica,max size,,,310
105858,Mobula japanica,common size,,,225
105859,Mobula tarapacana,Lat,-37,50,
105859,Mobula tarapacana,Lon,-180,180,
105859,Mobula tarapacana,Depth,0,1896,
105859,Mobula tarapacana,Depth,0,20,
105859,Mobula tarapacana,max size,,,328
105859,Mobula tarapacana,common size,,,250
105860,Myliobatis aquila,Lat,-36,60,
105860,Myliobatis aquila,Lon,-32,58,
105860,Myliobatis aquila,Depth,0,537,
105860,Myliobatis aquila,Depth,1,95,
105899,Centrophorus granulosus,Lat,-43,58,
105899,Centrophorus granulosus,Lon,-98,156,
105899,Centrophorus granulosus,Depth,300,1100,
105899,Centrophorus granulosus,Depth,50,1500,
105899,Centrophorus granulosus,Depth,200,600,
105901,Centrophorus squamosus,lat,-54,69,
105901,Centrophorus squamosus,Lon,-180,-176,
105901,Centrophorus squamosus,Lon,-92,180,
105901,Centrophorus squamosus,Depth,0,200,mostly
105901,Centrophorus squamosus,Depth,0,3366,
105902,Centrophorus uyato,lat,-43,43,
105902,Centrophorus uyato,Depth,400,800,
105902,Centrophorus uyato,Depth,50,1400,
105907,Centroscymnus coelolepis,Lat,-61,75,
105907,Centroscymnus coelolepis,Lon,-180,-147,
105907,Centroscymnus coelolepis,Lon,-98,180,
105907,Centroscymnus coelolepis,Depth,400,3675,mostly
105907,Centroscymnus coelolepis,Depth,128,3675,
105907,Centroscymnus coelolepis,max size,,,121
105907,Centroscymnus coelolepis,common size,,,92
105907,Centroscymnus coelolepis,Temperature,5,13,
105910,Dalatias licha,lat,-56,72,
105910,Dalatias licha,Lon,-180,-153,
105910,Dalatias licha,Lon,-98,180,
105910,Dalatias licha,Depth,37,1800,
105910,Dalatias licha,Depth,300,600,
105918,Scymnodon ringens,Lat,-54,61,
105918,Scymnodon ringens,lon,-180,-172,
105918,Scymnodon ringens,lon,-18,180,
105918,Scymnodon ringens,Depth,200,1600,
