acceptedNameUsageID,Scientific name,Item,Description,Code
105793,Carcharhinus limbatus,Food,crustaceans,2
105793,Carcharhinus limbatus,Food,fish,3
105793,Carcharhinus limbatus,Food,sharks and rays,3.6
105793,Carcharhinus limbatus,aggregation,large school,5
105794,Carcharhinus longimanus,Temperature,tropical,3
105794,Carcharhinus longimanus,Temperature,temperate,2
105794,Carcharhinus longimanus,Temperature,subtropical,2.6
105794,Carcharhinus longimanus,Habitat,oceanic,3
105794,Carcharhinus longimanus,Habitat,open water,3
105794,Carcharhinus longimanus,Habitat,offshore,2.5
105794,Carcharhinus longimanus,Habitat,coastal,2
105794,Carcharhinus longimanus,Salinity,marine,2
105794,Carcharhinus longimanus,Associates,pilotfish,2.8
105794,Carcharhinus longimanus,Associates,turtles,2.5
105794,Carcharhinus longimanus,Behavior,epipelagic,3.2
105794,Carcharhinus longimanus,food,garbages,1
105794,Carcharhinus longimanus,food,mollusks,1.5
105794,Carcharhinus longimanus,food,carrions,2
105794,Carcharhinus longimanus,food,cephalopods,2
105794,Carcharhinus longimanus,food,crustaceans,2
105794,Carcharhinus longimanus,food,fish,3
105794,Carcharhinus longimanus,food,sharks and rays,3.6
105794,Carcharhinus longimanus,food,turtles,4.5
105795,Carcharhinus melanopterus,Temperature,tropical,3
105795,Carcharhinus melanopterus,Temperature,subtropical,2.6
105795,Carcharhinus melanopterus,Habitat,reef-associated,1.5
105795,Carcharhinus melanopterus,Habitat,intertidal,1.1
105795,Carcharhinus melanopterus,Habitat,coastal,2
105795,Carcharhinus melanopterus,Habitat,estuaries,1
105795,Carcharhinus melanopterus,Habitat,inshore,1.3
105795,Carcharhinus melanopterus,Habitat,offshore,2.5
105795,Carcharhinus melanopterus,Habitat,coral reef,1.5
105795,Carcharhinus melanopterus,Habitat,mangrove,1.3
105795,Carcharhinus melanopterus,Salinity,marine,2
105795,Carcharhinus melanopterus,Salinity,brackish,1
105795,Carcharhinus melanopterus,food,mollusks,1.5
105795,Carcharhinus melanopterus,food,cephalopods,2
105795,Carcharhinus melanopterus,food,crustaceans,2
105795,Carcharhinus melanopterus,food,fish,3
105795,Carcharhinus melanopterus,Aggregation,solitary,1
105795,Carcharhinus melanopterus,Aggregation,group,3
105796,Carcharhinus obscurus,Temperature,warm temperate,2.4
105796,Carcharhinus obscurus,Temperature,tropical,3
105796,Carcharhinus obscurus,Temperature,subtropical,2.6
105796,Carcharhinus obscurus,Habitat,reef-associated,1.5
105796,Carcharhinus obscurus,Habitat,offshore,2.5
105796,Carcharhinus obscurus,Habitat,oceanic,3
105796,Carcharhinus obscurus,Habitat,coastal,2
105796,Carcharhinus obscurus,Salinity,marine,2
105796,Carcharhinus obscurus,Salinity,brackish,1
105796,Carcharhinus obscurus,Behavior,pelagic,3
105796,Carcharhinus obscurus,food,garbages,1
105796,Carcharhinus obscurus,food,mollusks,1.5
105796,Carcharhinus obscurus,food,carrions,2
105796,Carcharhinus obscurus,food,cephalopods,2
105796,Carcharhinus obscurus,food,crustaceans,2
105796,Carcharhinus obscurus,food,fish,3
105796,Carcharhinus obscurus,food,sharks and rays,3.6
105797,Carcharhinus plumbeus,Temperature,temperate,2
105797,Carcharhinus plumbeus,Temperature,tropical,3
105797,Carcharhinus plumbeus,Temperature,subtropical,2.6
105797,Carcharhinus plumbeus,Habitat,deep benthic,3
105797,Carcharhinus plumbeus,Habitat,coastal,2
105797,Carcharhinus plumbeus,Habitat,inshore,1.3
105797,Carcharhinus plumbeus,Habitat,offshore,2.5
105797,Carcharhinus plumbeus,Habitat,island,2.5
105797,Carcharhinus plumbeus,Habitat,continental shelf,2
105797,Carcharhinus plumbeus,Habitat,inshore,1.3
105797,Carcharhinus plumbeus,Habitat,oceanic,3
105797,Carcharhinus plumbeus,Salinity,brackish,1
105797,Carcharhinus plumbeus,Salinity,marine,2
105797,Carcharhinus plumbeus,Behavior,demersal,1
105797,Carcharhinus plumbeus,Behavior,benthopelagic,2
105797,Carcharhinus plumbeus,Behavior,pelagic,3
105797,Carcharhinus plumbeus,food,mollusks,1.5
105797,Carcharhinus plumbeus,food,cephalopods,2
105797,Carcharhinus plumbeus,food,crustaceans,2
105797,Carcharhinus plumbeus,food,fish,3
105797,Carcharhinus plumbeus,food,sharks and rays,3.6
105798,Carcharhinus signatus,Temperature,subtropical,2.6
105798,Carcharhinus signatus,Habitat,island,2.5
105798,Carcharhinus signatus,Habitat,continental shelf,2
105798,Carcharhinus signatus,Habitat,semi-oceanic,2.5
105798,Carcharhinus signatus,Habitat,oceanic,3
105798,Carcharhinus signatus,Habitat,coastal,2
105798,Carcharhinus signatus,Salinity,marine,2
105798,Carcharhinus signatus,Behavior,benthopelagic,2
105798,Carcharhinus signatus,Behavior,pelagic,3
105798,Carcharhinus signatus,Food,cephalopods,2
105798,Carcharhinus signatus,Food,fish,3
105798,Carcharhinus signatus,Aggregation,school,4
105799,Galeocerdo cuvier,Temperature,temperate,2
105799,Galeocerdo cuvier,Temperature,subtropical,2.6
105799,Galeocerdo cuvier,Temperature,warm temperate,2.4
105799,Galeocerdo cuvier,Temperature,tropical,3
105799,Galeocerdo cuvier,Habitat,coral,1.5
105799,Galeocerdo cuvier,Habitat,oceanic,3
105799,Galeocerdo cuvier,Habitat,coastal,2
105799,Galeocerdo cuvier,Habitat,inshore,1.3
105799,Galeocerdo cuvier,Habitat,continental slope,2.5
105799,Galeocerdo cuvier,Habitat,continental shelf,2
105799,Galeocerdo cuvier,Habitat,estuaries,1
105799,Galeocerdo cuvier,Habitat,island,2.5
105799,Galeocerdo cuvier,Habitat,open water,3
105799,Galeocerdo cuvier,Salinity,brackish,1
105799,Galeocerdo cuvier,Salinity,marine,2
105799,Galeocerdo cuvier,Behavior,benthopelagic,2
105799,Galeocerdo cuvier,Food,detritus,1
105799,Galeocerdo cuvier,Food,cephalopods,2
105799,Galeocerdo cuvier,Food,crustaceans,2
105799,Galeocerdo cuvier,Food,fish,3
105799,Galeocerdo cuvier,Food,sharks and rays,3.6
105799,Galeocerdo cuvier,Food,marine mammals,4
105799,Galeocerdo cuvier,Food,sea turtles,4.5
105799,Galeocerdo cuvier,Food,seabirds,5
105800,Negaprion brevirostris,Temperature,tropical,3
105800,Negaprion brevirostris,Temperature,subtropical,2.6
105800,Negaprion brevirostris,Habitat,reef-associated,1.5
105800,Negaprion brevirostris,Habitat,intertidal,1.1
105800,Negaprion brevirostris,Habitat,coastal,2
105800,Negaprion brevirostris,Habitat,open water,3
