step,epoch,lr,train_loss,train_acc,val_loss,val_acc,dur_total_core,dur_total_core_fmt,dur_train_core,dur_train_core_fmt,dur_total,dur_total_fmt,dur_train,dur_train_fmt,progress
1,1,0.005,4.045958963546753,0.07508,,,11.355979204177856,11.4s,11.358443021774292,11.4s,17.70042109489441,17.7s,17.700426816940308,17.7s,0.5%
2,2,0.004999691581204151,3.4478499170684813,0.16604,3.2459894287109377,0.2055,17.833492279052734,17.8s,15.689340829849243,15.7s,37.27249193191528,37.3s,28.2020902633667,28.2s,1.0%
3,3,0.004998766400914329,3.0257173503875734,0.24452,,,22.094130039215088,22.1s,19.95194101333618,20.0s,47.710350036621094,47.7s,38.63995432853699,38.6s,1.5%
4,4,0.004997224687404925,2.6810468891143797,0.31578,2.5485462982177736,0.35,26.658174991607666,26.7s,24.197136640548706,24.2s,59.60234999656677,59.6s,49.05153465270996,49.1s,2.0%
5,5,0.004995066821070679,2.36030522277832,0.38082,,,30.878173112869263,30.9s,28.419355154037476,28.4s,70.07998013496399,1.2m,59.529173374176025,59.5s,2.5%
6,6,0.004992293334332819,2.078984120941162,0.44094,2.093706185913086,0.4418,35.40343928337097,35.4s,32.65825438499451,32.7s,81.91677212715149,1.4m,70.07525444030762,1.2m,3.0%
7,7,0.004988904911507699,1.8365862607574464,0.4935,,,39.6243417263031,39.6s,36.88123679161072,36.9s,92.37385559082031,1.5m,80.53234791755676,1.3m,3.5%
8,8,0.0049849023886379485,1.6450919499969483,0.5417,1.8084425155639647,0.5103,44.11907386779785,44.1s,41.082839488983154,41.1s,104.15534090995789,1.7m,90.99296045303345,1.5m,4.0%
9,9,0.004980286753286193,1.4699101416778564,0.58452,,,48.34594988822937,48.3s,45.31173396110535,45.3s,114.57094049453735,1.9m,101.4085705280304,1.7m,4.5%
10,10,0.004975059144291392,1.3291666093063355,0.61616,1.6736001266479492,0.5504,52.86622929573059,52.9s,49.54608607292175,49.5s,126.46010613441467,2.1m,112.01259446144104,1.9m,5.0%
11,11,0.004969220851487842,1.1967862911224365,0.64972,,,57.103010416030884,57.1s,53.784895181655884,53.8s,136.84821677207947,2.3m,122.40071225166321,2.0m,5.5%
12,12,0.004962773315386932,1.0791395726013184,0.67928,1.631324057197571,0.5773,61.60857129096985,1.0m,57.99804377555847,58.0s,148.59544849395752,2.5m,132.83728981018066,2.2m,6.0%
13,13,0.004955718126821719,0.9716611396408081,0.7079,,,65.86885070800781,1.1m,62.260470390319824,1.0m,159.01097965240479,2.7m,143.25282788276672,2.4m,6.5%
14,14,0.004948057026554412,0.8659702556228638,0.7364,1.6233609308242798,0.5904,70.41704034805298,1.2m,66.51795268058777,1.1m,170.7070288658142,2.8m,153.66135931015015,2.6m,7.0%
15,15,0.0049397919048468665,0.7743215702819825,0.76448,,,74.61998724937439,1.2m,70.72288680076599,1.2m,181.11509537696838,3.0m,164.06943202018738,2.7m,7.5%
16,16,0.004930924800994189,0.6925993592739105,0.7859,1.8227534391403197,0.5727,79.13041281700134,1.3m,74.94519805908203,1.2m,192.7692391872406,3.2m,174.44477772712708,2.9m,8.0%
17,17,0.004921457902821575,0.614097218132019,0.80698,,,83.34689784049988,1.4m,79.16358518600464,1.3m,203.13506293296814,3.4m,184.8106095790863,3.1m,8.5%
18,18,0.0049113935461444925,0.5422885306167603,0.82954,1.8741091270446777,0.5888,87.86695981025696,1.5m,83.38922071456909,1.4m,214.83826112747192,3.6m,195.23234057426453,3.3m,9.0%
19,19,0.004900734214192355,0.49441858366012575,0.84228,,,92.17382454872131,1.5m,87.69828414916992,1.5m,225.2364010810852,3.8m,205.63048720359802,3.4m,9.5%
20,20,0.0048894825369958225,0.43979494762420657,0.85914,1.8605110996246337,0.6116,96.71719598770142,1.6m,91.94743537902832,1.5m,237.2120394706726,4.0m,216.333997964859,3.6m,10.0%
21,21,0.004877641290737881,0.3902227777671814,0.8748,,,100.93496465682983,1.7m,96.16723418235779,1.6m,247.6656584739685,4.1m,226.7876341342926,3.8m,10.5%
22,22,0.00486521339706886,0.35622938364028933,0.88484,2.03017303276062,0.6061,105.45883107185364,1.8m,100.39342188835144,1.7m,259.36723828315735,4.3m,237.19523978233337,4.0m,11.0%
23,23,0.00485220192238556,0.32155344140052794,0.89562,,,109.7129316329956,1.8m,104.64958262443542,1.7m,269.89126920700073,4.5m,247.71927905082703,4.1m,11.5%
24,24,0.004838610077074665,0.296477101020813,0.9027,2.14898452835083,0.6092,114.22735929489136,1.9m,108.87555480003357,1.8m,281.617999792099,4.7m,258.1603443622589,4.3m,12.0%
