run_id,model_arc,train_dataset,val_dataset,num_classes,train_trans,val_trans,train_ndata,val_ndata,epochs,max_lr,wd,batch_size,iters/epoch,iters,processed_ndata,ndata_per_class,div,ensembles,scale_ch,num_params,criterion,optimizer,scheduler,step,epoch,lr,train_loss,train_acc,val_loss,val_acc,dur_total_core,dur_total_core_fmt,dur_train_core,dur_train_core_fmt,dur_total,dur_total_fmt,dur_train,dur_train_fmt,progress
run_2025-12-10_13-34-29_808477,resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",5000,10000,400,0.005,0.5,128,40,16000,2000000,50.0,1,1,1.0,11220132,CrossEntropyLoss,AdamW,CosineAnnealingLR,last: 400,last: 400,last: 7.710588802584138e-8,last: 0.030135859155654907,last: 0.9996,last: 2.903110400390625,last: 0.3906,last: 209.88266801834106,last: 3.5m,last: 178.95334696769714,last: 3.0m,last: 576.8442952632904,last: 9.6m,last: 441.00941824913025,last: 7.4m,last: 100.0%
run_2025-12-10_13-36-05_794213,resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",5000,10000,400,0.005,0.5,128,40,16000,2000000,50.0,16,256,0.0625,12183552,CrossEntropyLoss,AdamW,CosineAnnealingLR,last: 400,last: 400,last: 7.710588802584138e-8,last: 1.7368117385864257,last: 0.6616,last: 2.46953892288208,last: 0.3893,last: 3237.938891649246,last: 54.0m,last: 2893.0320217609406,last: 48.2m,last: 3289.283416032791,last: 54.8m,last: 2929.342292070389,last: 48.8m,last: 100.0%
run_2025-12-10_13-43-21_515895,resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",500,10000,4000,0.005,0.5,128,4,16000,2000000,5.0,1,1,1.0,11220132,CrossEntropyLoss,AdamW,CosineAnnealingLR,last: 4000,last: 4000,last: 7.710628041612792e-10,last: 0.0013384494809433817,last: 1.0,last: 5.278200408935547,last: 0.1071,last: 259.09246253967285,last: 4.3m,last: 228.3654215335846,last: 3.8m,last: 712.4712469577789,last: 11.9m,last: 576.6654736995697,last: 9.6m,last: 100.0%
run_2025-12-10_13-44-32_903157,resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",500,10000,4000,0.005,0.5,128,4,16000,2000000,5.0,16,256,0.0625,12183552,CrossEntropyLoss,AdamW,CosineAnnealingLR,last: 4000,last: 4000,last: 7.710628041612792e-10,last: 0.002178810141980648,last: 1.0,last: 4.185320351409912,last: 0.147,last: 3264.010011911392,last: 54.4m,last: 2917.377539873123,last: 48.6m,last: 3528.5000517368317,last: 58.8m,last: 3167.103907108307,last: 52.8m,last: 100.0%
run_2025-12-10_14-00-16_488437,resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",100,10000,20000,0.005,0.5,128,1,20000,2000000,1.0,1,1,1.0,11220132,CrossEntropyLoss,AdamW,CosineAnnealingLR,last: 20000,last: 20000,last: 3.084251382068393e-11,last: 0.0007036018650978804,last: 1.0,last: 10.18358046875,last: 0.0253,last: 235.2192301750183,last: 3.9m,last: 204.52890753746033,last: 3.4m,last: 1519.4921929836273,last: 25.3m,last: 1381.236398935318,last: 23.0m,last: 100.0%
run_2025-12-10_14-31-20_387409,resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",100,10000,20000,0.005,0.5,128,1,20000,2000000,1.0,16,256,0.0625,12183552,CrossEntropyLoss,AdamW,CosineAnnealingLR,last: 20000,last: 20000,last: 3.084251382068393e-11,last: 0.00016143982065841556,last: 1.0,last: 5.831172869873047,last: 0.0392,last: 3276.354460000992,last: 54.6m,last: 2934.13640499115,last: 48.9m,last: 4489.872421979904,last: 1.2h,last: 4132.729465723038,last: 1.1h,last: 100.0%
run_2025-12-10_14-34-30_732973,resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",50000,10000,200,0.1,0.5,128,391,78200,10000000,500.0,1,1,1.0,11220132,CrossEntropyLoss,SGD,CosineAnnealingLR,last: 200,last: 200,last: 6.168375916970619e-6,last: 4.59375,last: 0.01,last: 4.59375,last: 0.01,last: 876.9128906726837,last: 14.6m,last: 846.1435146331787,last: 14.1m,last: 2255.0995988845825,last: 37.6m,last: 2117.898677110672,last: 35.3m,last: 100.0%
run_2025-12-10_14-47-39_689215,resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",50000,10000,200,0.1,0.5,128,391,78200,10000000,500.0,16,256,0.0625,12183552,CrossEntropyLoss,SGD,CosineAnnealingLR,last: 200,last: 200,last: 6.168375916970619e-6,last: 4.605170249938965,last: 0.0095,last: 4.605170249938965,last: 0.01,last: 14560.882808446884,last: 4.0h,last: 14218.8042178154,last: 3.9h,last: 14638.062422275543,last: 4.1h,last: 14281.006511926651,last: 4.0h,last: 100.0%
run_2025-12-10_15-12-27_786009,resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",5000,10000,400,0.1,0.5,128,40,16000,2000000,50.0,1,1,1.0,11220132,CrossEntropyLoss,SGD,CosineAnnealingLR,last: 400,last: 400,last: 1.5421177605168255e-6,last: 4.59375,last: 0.01,last: 4.59375,last: 0.01,last: 209.3655252456665,last: 3.5m,last: 178.37955045700073,last: 3.0m,last: 583.513521194458,last: 9.7m,last: 448.3220229148865,last: 7.5m,last: 100.0%
run_2025-12-10_15-22-35_699353,resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",5000,10000,400,0.1,0.5,128,40,16000,2000000,50.0,16,256,0.0625,12183552,CrossEntropyLoss,SGD,CosineAnnealingLR,last: 400,last: 400,last: 1.5421177605168255e-6,last: 4.605170323181152,last: 0.01,last: 4.605170341491699,last: 0.01,last: 3204.7907133102417,last: 53.4m,last: 2862.958882331848,last: 47.7m,last: 3256.1125345230103,last: 54.3m,last: 2899.616269350052,last: 48.3m,last: 100.0%
run_2025-12-10_15-32-15_164961,resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",500,10000,4000,0.1,0.5,128,4,16000,2000000,5.0,1,1,1.0,11220132,CrossEntropyLoss,SGD,CosineAnnealingLR,last: 4000,last: 4000,last: 1.542125608322562e-8,last: 4.59375,last: 0.01,last: 4.59375,last: 0.01,last: 258.6182641983032,last: 4.3m,last: 227.77413415908813,last: 3.8m,last: 717.6412589550018,last: 12.0m,last: 581.0517637729645,last: 9.7m,last: 100.0%
run_2025-12-10_15-49-16_044282,resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",500,10000,4000,0.1,0.5,128,4,16000,2000000,5.0,16,256,0.0625,12183552,CrossEntropyLoss,SGD,CosineAnnealingLR,last: 4000,last: 4000,last: 1.542125608322562e-8,last: 4.605170139312744,last: 0.01,last: 4.605170249938965,last: 0.01,last: 3239.1355299949646,last: 54.0m,last: 2896.2301161289215,last: 48.3m,last: 3507.497889995575,last: 58.5m,last: 3149.8783497810364,last: 52.5m,last: 100.0%
run_2025-12-10_15-53-43_782034,resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",100,10000,20000,0.1,0.5,128,1,20000,2000000,1.0,1,1,1.0,11220132,CrossEntropyLoss,SGD,CosineAnnealingLR,last: 20000,last: 20000,last: 6.168502764136666e-10,last: 4.59375,last: 0.01,last: 4.59375,last: 0.01,last: 234.76316475868225,last: 3.9m,last: 204.1816635131836,last: 3.4m,last: 1523.3640582561493,last: 25.4m,last: 1384.6159336566925,last: 23.1m,last: 100.0%
run_2025-12-10_16-17-16_302817,resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",100,10000,20000,0.1,0.5,128,1,20000,2000000,1.0,16,256,0.0625,12183552,CrossEntropyLoss,SGD,CosineAnnealingLR,last: 20000,last: 20000,last: 6.168502764136666e-10,last: 4.605170249938965,last: 0.01,last: 4.605170249938965,last: 0.01,last: 3253.8791348934174,last: 54.2m,last: 2914.820775985718,last: 48.6m,last: 4448.415139198303,last: 1.2h,last: 4094.622107744217,last: 1.1h,last: 100.0%
run_2025-12-10_16-45-34_621930,resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",50000,10000,200,0.1,0.5,128,391,78200,10000000,500.0,1,1,1.0,11220132,CrossEntropyLoss,SGD,CosineAnnealingLR,last: 200,last: 200,last: 6.168375916970619e-6,last: 4.59375,last: 0.01,last: 4.59375,last: 0.01,last: 880.11816573143,last: 14.7m,last: 849.2560746669769,last: 14.2m,last: 2242.6930198669434,last: 37.4m,last: 2104.626386165619,last: 35.1m,last: 100.0%
run_2025-12-10_16-51-56_711953,resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",50000,10000,200,0.1,0.5,128,391,78200,10000000,500.0,16,256,0.0625,12183552,CrossEntropyLoss,SGD,CosineAnnealingLR,last: 200,last: 200,last: 6.168375916970619e-6,last: 4.605170249938965,last: 0.00984,last: 4.605170249938965,last: 0.01,last: 14679.364686489105,last: 4.1h,last: 14334.382442474365,last: 4.0h,last: 14756.44522356987,last: 4.1h,last: 14396.392808914185,last: 4.0h,last: 100.0%
