run_id,model_arc,train_dataset,val_dataset,num_classes,train_trans,val_trans,train_ndata,val_ndata,epochs,max_lr,wd,batch_size,base_epochs,iters/epoch,iters,processed_ndata,ndata_per_class,div,ensembles,scale_ch,num_params,criterion,optimizer,scheduler,step,epoch,lr,train_loss,train_acc,val_loss,val_acc,dur_total_core,dur_total_core_fmt,dur_train_core,dur_train_core_fmt,dur_total,dur_total_fmt,dur_train,dur_train_fmt,progress
run_2025-12-11_18-32-31_145293,resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",5000,10000,800,0.005,0.5,128,20000,40,32000,4000000,50.0,1,1,1.0,11220132,CrossEntropyLoss,AdamW,CosineAnnealingLR,last: 800,last: 800,last: 1.9276546323609985e-8,last: 0.03369090542793274,last: 0.9996,last: 3.3312318450927734,last: 0.3457,last: 379.73229479789734,last: 6.3m,last: 348.89645195007324,last: 5.8m,last: 1010.4614133834839,last: 16.8m,last: 876.2898437976837,last: 14.6m,last: 100.0%
run_2025-12-11_18-42-07_999304,resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",5000,10000,800,0.005,0.5,128,20000,40,32000,4000000,50.0,16,256,0.0625,12183552,CrossEntropyLoss,AdamW,CosineAnnealingLR,last: 800,last: 800,last: 1.9276546323609985e-8,last: 2.1963805198669433,last: 0.5372,last: 2.637741409301758,last: 0.3631,last: 6107.748005390167,last: 1.7h,last: 5762.467609643936,last: 1.6h,last: 6197.268994808197,last: 1.7h,last: 5837.242256402969,last: 1.6h,last: 100.0%
run_2025-12-11_18-49-03_501176,resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",500,10000,8000,0.005,0.5,128,20000,4,32000,4000000,5.0,1,1,1.0,11220132,CrossEntropyLoss,AdamW,CosineAnnealingLR,last: 8000,last: 8000,last: 1.9276570839554764e-10,last: 0.0010694503742270172,last: 1.0,last: 6.263320269775391,last: 0.1038,last: 476.4569981098175,last: 7.9m,last: 445.70834708213806,last: 7.4m,last: 1273.9118645191193,last: 21.2m,last: 1135.6103632450104,last: 18.9m,last: 100.0%
run_2025-12-11_18-50-04_256822,resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",500,10000,8000,0.005,0.5,128,20000,4,32000,4000000,5.0,16,256,0.0625,12183552,CrossEntropyLoss,AdamW,CosineAnnealingLR,last: 8000,last: 8000,last: 1.9276570839554764e-10,last: 0.0016902766302227974,last: 1.0,last: 4.656864617919922,last: 0.1416,last: 6184.542945861816,last: 1.7h,last: 5836.698307275772,last: 1.6h,last: 6701.50087928772,last: 1.9h,last: 6338.696506261826,last: 1.8h,last: 100.0%
run_2025-12-11_18-57-09_665244,resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",100,10000,40000,0.005,0.5,128,20000,1,40000,4000000,1.0,1,1,1.0,11220132,CrossEntropyLoss,AdamW,CosineAnnealingLR,last: 40000,last: 40000,last: 7.710628524559779e-12,last: 0.00019016028090845793,last: 1.0,last: 13.13472889251709,last: 0.0297,last: 431.78330755233765,last: 7.2m,last: 401.1027150154114,last: 6.7m,last: 2885.6067011356354,last: 48.1m,last: 2746.6207480430603,last: 45.8m,last: 100.0%
run_2025-12-11_19-30-33_830066,resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",100,10000,40000,0.005,0.5,128,20000,1,40000,4000000,1.0,16,256,0.0625,12183552,CrossEntropyLoss,AdamW,CosineAnnealingLR,last: 40000,last: 40000,last: 7.710628524559779e-12,last: 0.00012370626791380346,last: 1.0,last: 6.7044979804992675,last: 0.0478,last: 6159.530295848846,last: 1.7h,last: 5819.912750244141,last: 1.6h,last: 8548.23046374321,last: 2.4h,last: 8193.880881786346,last: 2.3h,last: 100.0%
run_2025-12-11_19-49-27_889658,resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",50000,10000,200,0.005,0.05,128,10000,391,78200,10000000,500.0,1,1,1.0,11220132,CrossEntropyLoss,AdamW,CosineAnnealingLR,last: 200,last: 200,last: 3.0841879584853064e-7,last: 0.0008848552346043288,last: 0.99968,last: 1.5841022775650024,last: 0.7397,last: 884.0612678527832,last: 14.7m,last: 853.16512799263,last: 14.2m,last: 2259.5183277130127,last: 37.7m,last: 2120.119426727295,last: 35.3m,last: 100.0%
run_2025-12-11_20-27-35_924713,resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",50000,10000,200,0.005,0.05,128,10000,391,78200,10000000,500.0,16,256,0.0625,12183552,CrossEntropyLoss,AdamW,CosineAnnealingLR,last: 200,last: 200,last: 3.0841879584853064e-7,last: 0.2954396121025085,last: 0.94554,last: 1.2157973358154297,last: 0.6756,last: 14750.61764907837,last: 4.1h,last: 14405.292031526566,last: 4.0h,last: 14830.756160259247,last: 4.1h,last: 14470.223874807358,last: 4.0h,last: 100.0%
run_2025-12-11_20-28-57_044610,resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",5000,10000,400,0.005,0.05,128,10000,40,16000,2000000,50.0,1,1,1.0,11220132,CrossEntropyLoss,AdamW,CosineAnnealingLR,last: 400,last: 400,last: 7.710588802584138e-8,last: 0.005159677863121033,last: 0.9994,last: 5.120584712982177,last: 0.2775,last: 211.21136116981506,last: 3.5m,last: 180.06916189193726,last: 3.0m,last: 582.7669615745544,last: 9.7m,last: 446.76678681373596,last: 7.4m,last: 100.0%
run_2025-12-11_20-35-52_356498,resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",5000,10000,400,0.005,0.05,128,10000,40,16000,2000000,50.0,16,256,0.0625,12183552,CrossEntropyLoss,AdamW,CosineAnnealingLR,last: 400,last: 400,last: 7.710588802584138e-8,last: 0.035231860876083376,last: 0.9992,last: 3.2064695137023924,last: 0.3705,last: 3252.63378238678,last: 54.2m,last: 2905.9403212070465,last: 48.4m,last: 3303.496366739273,last: 55.1m,last: 2942.3147246837616,last: 49.0m,last: 100.0%
