step,epoch,train_loss,train_acc,val_loss,val_acc,timestamp,timestamp_fmt,duration,duration_fmt,dur_total_core,dur_train_core,dur_dl_train
1,1,1.1872145068077815,0.5071428571428571,0.8842983616722955,0.7444444444444445,1749097093.111862,2025/06/05 13:18:13,1.0575132369995117,1.1s,0.07626938819885254,0.06522893905639648,0.08309555053710938
2,2,0.7043252252397083,0.7761904761904762,0.7284767362806532,0.7666666666666667,1749097093.7311919,2025/06/05 13:18:13,1.6768431663513184,1.7s,0.1251521110534668,0.0988469123840332,0.172562837600708
3,3,0.5525836172558013,0.8119047619047619,0.6912801398171319,0.7833333333333333,1749097094.5071242,2025/06/05 13:18:14,2.452775478363037,2.5s,0.21556377410888672,0.17158293724060059,0.231886625289917
4,4,0.49670991386686053,0.844047619047619,0.6644910971323649,0.7888888888888889,1749097095.225304,2025/06/05 13:18:15,3.170955181121826,3.2s,0.26828718185424805,0.2139139175415039,0.38798093795776367
5,5,0.5014462126152855,0.8226190476190476,0.5308416578504774,0.825,1749097095.8093143,2025/06/05 13:18:15,3.7549655437469482,3.8s,0.3205280303955078,0.25220680236816406,0.461118221282959
6,6,0.45224436294464837,0.844047619047619,0.519455654753579,0.8444444444444444,1749097096.6865678,2025/06/05 13:18:16,4.632219076156616,4.6s,0.42981505393981934,0.34274935722351074,0.5572066307067871
7,7,0.4236539247490111,0.861904761904762,0.5093695951832665,0.8277777777777777,1749097097.341879,2025/06/05 13:18:17,5.287530183792114,5.3s,0.4866769313812256,0.38895463943481445,0.6288604736328125
8,8,0.437086181129728,0.8523809523809524,0.4896028280258179,0.8333333333333334,1749097097.9785979,2025/06/05 13:18:17,5.924249172210693,5.9s,0.5479826927185059,0.4392704963684082,0.7120904922485352
9,9,0.41555970907211304,0.8666666666666667,0.48597411182191635,0.8333333333333334,1749097098.9626288,2025/06/05 13:18:18,6.90828013420105,6.9s,0.6496438980102539,0.5186917781829834,0.7865111827850342
10,10,0.38665315139861334,0.8607142857142858,0.4826645255088806,0.8333333333333334,1749097099.6148965,2025/06/05 13:18:19,7.560547828674316,7.6s,0.6989035606384277,0.557664155960083,0.8867695331573486
11,11,0.38349494068395523,0.8702380952380953,0.48002296686172485,0.8361111111111111,1749097100.328864,2025/06/05 13:18:20,8.274515390396118,8.3s,0.759674072265625,0.6002213954925537,1.0004651546478271
12,12,0.39608510108221145,0.8690476190476191,0.46578981081644694,0.8444444444444444,1749097101.1016624,2025/06/05 13:18:21,9.047313690185547,9.0s,0.8473989963531494,0.6691343784332275,1.051795482635498
