run_id,model_arc,train_dataset,val_dataset,num_classes,train_trans,val_trans,train_ndata,val_ndata,epochs,max_lr,batch_size,iters/epoch,iters,target_steps,ndata_per_class,fils,ensembles,base_fils,criterion,optimizer,scheduler,epoch,train_loss,train_acc,train_path_loss,train_path_acc,timestamp,timestamp_fmt,duration,duration_fmt,dur_total_core,dur_train_core,dur_dl_train,val_loss,val_acc,val_path_loss,val_path_acc
4,ee_tools.models.resnet_git_ee resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[-15.0, 15.0], interpolation=InterpolationMode.NEAREST, expand=False, fill=0), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",5000,10000,400,0.1,128,40,16000,2000000,50.0,32,1,32,CrossEntropyLoss,SGD,CosineAnnealingLR,400,0.6274370658874512,0.8222,mean: 0.6274370658874512,mean: 0.8222,1749705178.396506,2025/06/12 14:12:58,1606.8582289218903,26.8m,138.95460271835327,122.8070240020752,23.236669063568115,5.281295256042481,0.2487,mean: 5.281295256042481,mean: 0.2487
5,ee_tools.models.resnet_git_ee resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[-15.0, 15.0], interpolation=InterpolationMode.NEAREST, expand=False, fill=0), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",5000,10000,400,0.1,128,40,16000,2000000,50.0,4,64,32,CrossEntropyLoss,SGD,CosineAnnealingLR,400,3.009617002105713,0.3194,mean: 10.103668515193458,mean: 0.014518750000000002,1749705178.396506,2025/06/12 14:12:58,1606.8582289218903,26.8m,1399.8590404987335,1196.0541503429413,23.236669063568115,3.3143225387573243,0.2106,mean: 12.349284873521325,mean: 0.014546875000000003
6,ee_tools.models.resnet_git_ee resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[-15.0, 15.0], interpolation=InterpolationMode.NEAREST, expand=False, fill=0), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",5000,10000,400,0.1,128,40,16000,2000000,50.0,32,1,32,CrossEntropyLoss,SGD,CosineAnnealingLR,400,0.039341030693054196,0.9894,mean: 0.039341030693054196,mean: 0.9894,1749706778.1650386,2025/06/12 14:39:38,1599.5069599151611,26.7m,137.97890090942383,121.95566034317017,24.192338228225708,7.619373162841796,0.2814,mean: 7.619373162841796,mean: 0.2814
7,ee_tools.models.resnet_git_ee resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[-15.0, 15.0], interpolation=InterpolationMode.NEAREST, expand=False, fill=0), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",5000,10000,400,0.1,128,40,16000,2000000,50.0,4,64,32,CrossEntropyLoss,SGD,CosineAnnealingLR,400,0.5612456113815307,0.8364,mean: 45.65963457236291,mean: 0.017209375,1749706778.1650386,2025/06/12 14:39:38,1599.5069599151611,26.7m,1390.1585385799408,1188.0713474750519,24.192338228225708,3.8193528869628905,0.3051,mean: 59.41825690236093,mean: 0.0153921875
