step,epoch,train_loss,train_acc,train_path_loss,train_path_acc,val_loss,val_acc,val_path_loss,val_path_acc,param_l2norm_layer,param_l2norm,grad_l2norm_layer,grad_l2norm,dur_total_core,dur_train_core,dur_dl_train
1,1,4.523970571136474,0.0289,last: 4.847109822845459,last: 0.0133,,,,,(nested_data),160.10240173339844,(nested_data),0.9201847910881042,2.502643585205078,2.5028038024902344,0.1765143871307373
2,2,4.266389154815674,0.061,last: 5.4757094551086425,last: 0.021,4.193632110214233,0.0635,last: 5.530942780303955,last: 0.0212,(nested_data),160.2839813232422,(nested_data),1.0712175369262695,5.867976665496826,5.004499912261963,0.24328041076660156
3,3,4.062578450012207,0.0887,last: 6.166301337432861,last: 0.019,,,,,(nested_data),160.5496826171875,(nested_data),1.4596681594848633,8.421613216400146,7.558314323425293,0.31592297554016113
4,4,3.866193395233154,0.1152,last: 7.138827178955078,last: 0.0194,3.913902964782715,0.1075,last: 13.197265441894531,last: 0.0182,(nested_data),160.89674377441406,(nested_data),1.6206457614898682,11.683688402175903,10.05728793144226,0.3821992874145508
5,5,3.7014416427612304,0.1421,last: 7.714769596862793,last: 0.0186,,,,,(nested_data),161.27447509765625,(nested_data),1.784859299659729,14.159428596496582,12.533190250396729,0.4503297805786133
6,6,3.5677963623046876,0.16,last: 7.9499415618896485,last: 0.0197,3.8791508670806887,0.1283,last: 7.634170985412598,last: 0.0192,(nested_data),161.6648406982422,(nested_data),1.9159519672393799,17.430352926254272,15.044437885284424,0.5186285972595215
7,7,3.4670299041748045,0.1795,last: 8.031036932373047,last: 0.0205,,,,,(nested_data),162.0558319091797,(nested_data),1.8790665864944458,20.03493905067444,17.64920139312744,0.5876243114471436
8,8,3.370191809463501,0.1858,last: 8.277310509490967,last: 0.0227,3.508988944244385,0.1667,last: 8.66766343460083,last: 0.0251,(nested_data),162.43365478515625,(nested_data),1.7844030857086182,23.395552396774292,20.20969319343567,0.6551210880279541
9,9,3.288988009262085,0.2033,last: 8.596077445983887,last: 0.024,,,,,(nested_data),162.8181610107422,(nested_data),2.3371024131774902,26.051130533218384,22.865453004837036,0.7240390777587891
10,10,3.2174999965667723,0.2147,last: 8.863005125427247,last: 0.0252,3.477563479232788,0.1834,last: 19.48826127319336,last: 0.0246,(nested_data),163.1970672607422,(nested_data),1.9887255430221558,29.47466278076172,25.511150598526,0.7951211929321289
11,11,3.1543067604064943,0.2297,last: 9.369374464416504,last: 0.0239,,,,,(nested_data),163.5771942138672,(nested_data),3.001312017440796,31.93442130088806,27.971075773239136,0.8644142150878906
12,12,3.1108095008850096,0.2327,last: 9.485204904174804,last: 0.0252,3.3850473625183106,0.1971,last: 9.664690895080566,last: 0.0254,(nested_data),163.96717834472656,(nested_data),2.344397783279419,35.1522581577301,30.41701579093933,0.9321134090423584
13,13,3.0433803775787354,0.247,last: 10.127531108093262,last: 0.0242,,,,,(nested_data),164.3588409423828,(nested_data),2.1351308822631836,37.79621338844299,33.06114959716797,0.9995777606964111
14,14,2.9820879806518557,0.2611,last: 10.504353860473632,last: 0.0253,3.186308058166504,0.2201,last: 12.087988417053223,last: 0.0241,(nested_data),164.75497436523438,(nested_data),1.8537291288375854,41.10321521759033,35.58453321456909,1.067314624786377
15,15,2.9130246032714844,0.2734,last: 10.896088955688477,last: 0.0256,,,,,(nested_data),165.1448516845703,(nested_data),2.443969964981079,43.545928716659546,38.0274076461792,1.1355273723602295
16,16,2.8659024951934815,0.2835,last: 11.093280242919922,last: 0.0241,3.2118390571594237,0.2176,last: 8.870043817138672,last: 0.0253,(nested_data),165.5564727783203,(nested_data),2.5678906440734863,46.79376578330994,40.51602244377136,1.2012791633605957
17,17,2.812110125732422,0.293,last: 11.593865034484864,last: 0.0251,,,,,(nested_data),165.98011779785156,(nested_data),2.1694834232330322,49.243173599243164,42.96560263633728,1.2685298919677734
18,18,2.764227420806885,0.3003,last: 11.77924662475586,last: 0.0243,3.092401598739624,0.2533,last: 11.804506430053712,last: 0.0207,(nested_data),166.39404296875,(nested_data),2.383641481399536,52.48587512969971,45.423604249954224,1.3364975452423096
19,19,2.703211401748657,0.3124,last: 12.488209777832031,last: 0.0241,,,,,(nested_data),166.81556701660156,(nested_data),2.5581955909729004,54.97342038154602,47.911317348480225,1.4047138690948486
20,20,2.665682554244995,0.3221,last: 12.82626978302002,last: 0.0251,3.0475388824462892,0.2522,last: 18.520607608032225,last: 0.0222,(nested_data),167.2413330078125,(nested_data),2.9382197856903076,58.20104360580444,50.38320207595825,1.473667860031128
21,21,2.6380050247192384,0.3242,last: 13.343208740234376,last: 0.0249,,,,,(nested_data),167.6656036376953,(nested_data),2.3699676990509033,60.70869421958923,52.89102816581726,1.5414140224456787
22,22,2.576163031768799,0.3406,last: 13.405109410095214,last: 0.0253,2.9231477245330812,0.2794,last: 17.004276110839843,last: 0.0242,(nested_data),168.08802795410156,(nested_data),2.382930278778076,63.953152894973755,55.35178470611572,1.608147144317627
23,23,2.525096014404297,0.3499,last: 13.853441027832032,last: 0.0256,,,,,(nested_data),168.5269317626953,(nested_data),2.776057481765747,66.42197728157043,57.8207733631134,1.6751153469085693
