run_id,model_arc,train_dataset,val_dataset,num_classes,train_trans,val_trans,train_ndata,val_ndata,epochs,max_lr,wd,batch_size,iters/epoch,iters,processed_ndata,ndata_per_class,div,ensembles,scale_ch,num_params,criterion,optimizer,scheduler,step,epoch,lr,train_loss,train_acc,val_loss,val_acc,dur_total_core,dur_total_core_fmt,dur_train_core,dur_train_core_fmt,dur_total,dur_total_fmt,dur_train,dur_train_fmt,progress
run_2025-12-09_08-34-26_738059,resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",20000,10000,200,0.005,0.001,128,157,31400,4000000,200.0,16,256,0.0625,12183552,CrossEntropyLoss,AdamW,CosineAnnealingLR,last: 200,last: 200,last: 3.0841879584853064e-7,last: 0.005679630924761295,last: 0.9995,last: 3.5018573280334473,last: 0.541,last: 5760.929605007172,last: 1.6h,last: 5542.680801153183,last: 1.5h,last: 5807.412816524506,last: 1.6h,last: 5575.374427556992,last: 1.5h,last: 100.0%
run_2025-12-09_09-58-17_761902,resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",20000,10000,200,0.005,0.001,128,157,31400,4000000,200.0,32,1024,0.03125,13260800,CrossEntropyLoss,AdamW,CosineAnnealingLR,last: 200,last: 200,last: 3.0841879584853064e-7,last: 0.003780024164915085,last: 0.99975,last: 3.0518524925231936,last: 0.5555,last: 33027.343985795975,last: 9.2h,last: 32187.634678840637,last: 8.9h,last: 33089.26086139679,last: 9.2h,last: 32233.909776687622,last: 9.0h,last: 100.0%
run_2025-12-09_10-11-37_831582,resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",10000,10000,200,0.005,0.001,128,79,15800,2000000,100.0,1,1,1.0,11220132,CrossEntropyLoss,AdamW,CosineAnnealingLR,last: 200,last: 200,last: 3.0841879584853064e-7,last: 0.0015822068810462952,last: 0.9999,last: 6.4906755004882815,last: 0.3632,last: 164.00257277488708,last: 2.7m,last: 144.3426489830017,last: 2.4m,last: 599.7054624557495,last: 10.0m,last: 459.30854320526123,last: 7.7m,last: 100.0%
run_2025-12-09_10-22-29_361883,resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",10000,10000,200,0.005,0.001,128,79,15800,2000000,100.0,2,4,0.5,11282960,CrossEntropyLoss,AdamW,CosineAnnealingLR,last: 200,last: 200,last: 3.0841879584853064e-7,last: 0.0019430836372077466,last: 0.9999,last: 5.4107490837097165,last: 0.4169,last: 540.9654388427734,last: 9.0m,last: 486.26257729530334,last: 8.1m,last: 666.1521165370941,last: 11.1m,last: 519.6134169101715,last: 8.7m,last: 100.0%
run_2025-12-09_10-34-36_423119,resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",10000,10000,200,0.005,0.001,128,79,15800,2000000,100.0,4,16,0.25,11409216,CrossEntropyLoss,AdamW,CosineAnnealingLR,last: 200,last: 200,last: 3.0841879584853064e-7,last: 0.005476062524318695,last: 0.9993,last: 4.678488524627686,last: 0.4477,last: 1176.9894411563873,last: 19.6m,last: 1047.3181641101837,last: 17.5m,last: 1229.7675733566284,last: 20.5m,last: 1074.7641253471375,last: 17.9m,last: 100.0%
run_2025-12-09_10-56-01_608811,resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",10000,10000,200,0.005,0.001,128,79,15800,2000000,100.0,8,64,0.125,11664128,CrossEntropyLoss,AdamW,CosineAnnealingLR,last: 200,last: 200,last: 3.0841879584853064e-7,last: 0.012102193602919578,last: 0.9979,last: 4.6718201835632325,last: 0.4312,last: 2322.1292481422424,last: 38.7m,last: 2052.7237915992737,last: 34.2m,last: 2367.0214154720306,last: 39.5m,last: 2079.6039266586304,last: 34.7m,last: 100.0%
run_2025-12-09_11-36-21_646784,resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",10000,10000,200,0.005,0.001,128,79,15800,2000000,100.0,16,256,0.0625,12183552,CrossEntropyLoss,AdamW,CosineAnnealingLR,last: 200,last: 200,last: 3.0841879584853064e-7,last: 0.008206914779543877,last: 0.9996,last: 4.150593413543701,last: 0.4474,last: 7284.8989424705505,last: 2.0h,last: 6718.714490413666,last: 1.9h,last: 7327.784579992294,last: 2.0h,last: 6746.778372764587,last: 1.9h,last: 100.0%
run_2025-12-09_13-39-27_531941,resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",10000,10000,200,0.005,0.001,128,79,15800,2000000,100.0,32,1024,0.03125,13260800,CrossEntropyLoss,AdamW,CosineAnnealingLR,last: 200,last: 200,last: 3.0841879584853064e-7,last: 0.005849365374445915,last: 0.9997,last: 3.4128966205596925,last: 0.4815,last: 19978.892327785492,last: 5.5h,last: 18928.00999212265,last: 5.3h,last: 20023.560579776764,last: 5.6h,last: 18956.775646209717,last: 5.3h,last: 100.0%
run_2025-12-09_19-11-48_599963,resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",5000,10000,400,0.005,0.001,128,40,16000,2000000,50.0,1,1,1.0,11220132,CrossEntropyLoss,AdamW,CosineAnnealingLR,last: 400,last: 400,last: 7.710588802584138e-8,last: 0.004442930340766906,last: 0.9996,last: 8.275738940429688,last: 0.2434,last: 283.14995431900024,last: 4.7m,last: 253.13089156150818,last: 4.2m,last: 656.6570038795471,last: 10.9m,last: 509.506475687027,last: 8.5m,last: 100.0%
run_2025-12-09_19-13-35_937748,resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",5000,10000,400,0.005,0.001,128,40,16000,2000000,50.0,2,4,0.5,11282960,CrossEntropyLoss,AdamW,CosineAnnealingLR,last: 400,last: 400,last: 7.710588802584138e-8,last: 0.005761588990688324,last: 0.9992,last: 6.586136441802979,last: 0.3071,last: 511.34527373313904,last: 8.5m,last: 461.0369803905487,last: 7.7m,last: 694.1492602825165,last: 11.6m,last: 545.7504394054413,last: 9.1m,last: 100.0%
