step,epoch,train_loss,train_acc,val_loss,val_acc,timestamp,timestamp_fmt,duration,duration_fmt
1,1,1.9516489477157593,0.297,1.8006186359405518,0.3738,1745086350.1178367,2025/04/20 03:12:30,13.692492008209229,13.7s
2,2,1.6923799770355226,0.3834,1.718444362449646,0.4028,1745086364.7916126,2025/04/20 03:12:44,28.366267919540405,28.4s
3,3,1.6443233848571777,0.399,1.7117261081695556,0.3894,1745086379.3537574,2025/04/20 03:12:59,42.928412675857544,42.9s
4,4,1.5973803226470946,0.4152,1.5268245319366456,0.4558,1745086394.1478255,2025/04/20 03:13:14,57.72248077392578,57.7s
5,5,1.5492847694396972,0.4376,1.524144341659546,0.4402,1745086408.4779215,2025/04/20 03:13:28,72.05257678031921,1.2m
6,6,1.508811876296997,0.447,1.5253422872543334,0.4594,1745086422.976614,2025/04/20 03:13:42,86.55126929283142,1.4m
7,7,1.4746523038864137,0.4544,1.4322091114044189,0.4806,1745086436.880286,2025/04/20 03:13:56,100.4549412727356,1.7m
8,8,1.4318636060714722,0.4798,1.4393708572387696,0.4862,1745086450.3742754,2025/04/20 03:14:10,113.94893074035645,1.9m
9,9,1.4002374467849732,0.487,1.464261367034912,0.4798,1745086464.5878315,2025/04/20 03:14:24,128.16248679161072,2.1m
10,10,1.372705731010437,0.4994,1.3640426952362061,0.512,1745086478.6383157,2025/04/20 03:14:38,142.21297097206116,2.4m
11,11,1.3366606546401978,0.5104,1.3617872153282164,0.5156,1745086492.6499548,2025/04/20 03:14:52,156.22461009025574,2.6m
12,12,1.3029691385269164,0.533,1.4075721933364869,0.5024,1745086507.1859596,2025/04/20 03:15:07,170.76061487197876,2.8m
13,13,1.2952437637329102,0.5286,1.3469654048919677,0.5194,1745086521.135205,2025/04/20 03:15:21,184.70986032485962,3.1m
14,14,1.265849892425537,0.5432,1.3087101188659669,0.527,1745086535.2926996,2025/04/20 03:15:35,198.86735486984253,3.3m
15,15,1.27790302734375,0.5352,1.2882530197143556,0.545,1745086550.1573763,2025/04/20 03:15:50,213.732031583786,3.6m
16,16,1.225057600402832,0.5672,1.2611513907432557,0.5478,1745086564.1274652,2025/04/20 03:16:04,227.70212054252625,3.8m
17,17,1.2054579299926758,0.5688,1.2882240818023682,0.5466,1745086578.9076385,2025/04/20 03:16:18,242.48229384422302,4.0m
18,18,1.1826820501327515,0.574,1.2614738552093505,0.5532,1745086593.0258837,2025/04/20 03:16:33,256.6005389690399,4.3m
19,19,1.1543300449371339,0.5822,1.2484900470733642,0.557,1745086607.0462325,2025/04/20 03:16:47,270.62088775634766,4.5m
20,20,1.1250289148330688,0.6,1.2517024658203124,0.558,1745086621.8989606,2025/04/20 03:17:01,285.4736158847809,4.8m
21,21,1.1140519515991212,0.601,1.2331308378219605,0.5644,1745086635.9098678,2025/04/20 03:17:15,299.4845230579376,5.0m
22,22,1.0822762523651124,0.6136,1.2288982719421386,0.5682,1745086649.998827,2025/04/20 03:17:29,313.57348227500916,5.2m
23,23,1.081019563293457,0.6198,1.2195818641662597,0.5752,1745086663.5972178,2025/04/20 03:17:43,327.17187309265137,5.5m
24,24,1.065252883529663,0.6212,1.2266365522384644,0.5724,1745086677.3118515,2025/04/20 03:17:57,340.8865067958832,5.7m
25,25,1.0415500202178956,0.6342,1.210326477432251,0.5678,1745086690.9197338,2025/04/20 03:18:10,354.4943890571594,5.9m
26,26,1.0238068075180053,0.642,1.2195207307815552,0.5718,1745086704.5855489,2025/04/20 03:18:24,368.1602041721344,6.1m
27,27,1.0035519239425659,0.6478,1.198241661643982,0.5784,1745086718.5276937,2025/04/20 03:18:38,382.10234904289246,6.4m
28,28,1.008334324836731,0.6488,1.1995309209823608,0.5774,1745086732.7094164,2025/04/20 03:18:52,396.28407168388367,6.6m
29,29,1.0211034561157226,0.6374,1.2050060653686523,0.5756,1745086747.5150146,2025/04/20 03:19:07,411.08966994285583,6.9m
30,30,0.9962453483581543,0.6422,1.199278821182251,0.5796,1745086761.0008318,2025/04/20 03:19:21,424.5754871368408,7.1m
