step,epoch,train_loss,train_acc,val_loss,val_acc,timestamp,timestamp_fmt,duration,duration_fmt
1,1,1.8518206369400025,0.3214,3.5418466974258425,0.2478,1745087232.5393107,2025/04/20 03:27:12,3.6835556030273438,3.7s
2,2,1.5916301929473877,0.4098,2.943689851760864,0.2946,1745087235.90899,2025/04/20 03:27:15,7.053234815597534,7.1s
3,3,1.4813039545059203,0.4566,2.3894733993530273,0.3214,1745087239.2932668,2025/04/20 03:27:19,10.437511682510376,10.4s
4,4,1.4212104347229004,0.4806,1.5083829956054688,0.4608,1745087242.6107936,2025/04/20 03:27:22,13.755038499832153,13.8s
5,5,1.3774512491226196,0.502,1.5109512840270996,0.461,1745087246.0716782,2025/04/20 03:27:26,17.215923070907593,17.2s
6,6,1.32770189037323,0.5208,1.338299429321289,0.513,1745087249.489951,2025/04/20 03:27:29,20.634195804595947,20.6s
7,7,1.2980960651397706,0.5286,1.3153416066169739,0.5456,1745087252.8566635,2025/04/20 03:27:32,24.000908374786377,24.0s
8,8,1.2575799402236938,0.5602,1.2951132070541382,0.5318,1745087256.3574665,2025/04/20 03:27:36,27.50171136856079,27.5s
9,9,1.2262001361846924,0.566,1.2952888721466065,0.5464,1745087259.6871724,2025/04/20 03:27:39,30.831417322158813,30.8s
10,10,1.1865340752601623,0.566,1.2838271333694458,0.5458,1745087262.9918432,2025/04/20 03:27:42,34.136088132858276,34.1s
11,11,1.134757527923584,0.5988,1.3624323945999146,0.5308,1745087266.3452926,2025/04/20 03:27:46,37.489537477493286,37.5s
12,12,1.1295075647354127,0.5872,1.2213196369171142,0.5694,1745087269.701365,2025/04/20 03:27:49,40.84560990333557,40.8s
13,13,1.099675772857666,0.6112,1.2131144130706788,0.5778,1745087273.0335395,2025/04/20 03:27:53,44.17778444290161,44.2s
14,14,1.0791677959442139,0.6156,1.1790032935142518,0.5842,1745087276.3207824,2025/04/20 03:27:56,47.46502733230591,47.5s
15,15,1.0311229552268981,0.6274,1.2262470602035522,0.5802,1745087279.6865945,2025/04/20 03:27:59,50.83083939552307,50.8s
16,16,0.9918385913848877,0.644,1.126085662460327,0.606,1745087283.0371091,2025/04/20 03:28:03,54.18135404586792,54.2s
17,17,0.9695115619659423,0.661,1.165975625038147,0.5922,1745087286.4627357,2025/04/20 03:28:06,57.60698056221008,57.6s
18,18,0.9396287256240845,0.667,1.095031273651123,0.6146,1745087289.7734447,2025/04/20 03:28:09,60.91768956184387,1.0m
19,19,0.9200674880981445,0.6726,1.0773351188659668,0.6322,1745087293.1150043,2025/04/20 03:28:13,64.25924921035767,1.1m
20,20,0.8992826457977295,0.682,1.0589454570770265,0.6374,1745087296.4865882,2025/04/20 03:28:16,67.6308331489563,1.1m
21,21,0.8820741735458374,0.688,1.0405954399108888,0.6378,1745087299.8343656,2025/04/20 03:28:19,70.97861051559448,1.2m
22,22,0.848067003440857,0.708,1.0246363748550416,0.6472,1745087303.2584996,2025/04/20 03:28:23,74.40274453163147,1.2m
23,23,0.8247979572296142,0.7084,1.0345989317417146,0.6428,1745087306.678725,2025/04/20 03:28:26,77.82296991348267,1.3m
24,24,0.8132968602180481,0.713,1.0352842935562134,0.6424,1745087310.155179,2025/04/20 03:28:30,81.29942393302917,1.4m
25,25,0.8031345529556274,0.718,1.0098553086042403,0.65,1745087313.6084316,2025/04/20 03:28:33,84.752676486969,1.4m
26,26,0.7738895022392273,0.7318,1.0079767986297608,0.652,1745087316.9998481,2025/04/20 03:28:36,88.14409303665161,1.5m
27,27,0.7656587822914124,0.7364,0.9982685646057129,0.656,1745087320.4126122,2025/04/20 03:28:40,91.55685710906982,1.5m
28,28,0.7544616962432862,0.7438,1.0077024072647094,0.6538,1745087323.7886846,2025/04/20 03:28:43,94.93292951583862,1.6m
29,29,0.756298901462555,0.7462,1.0064202597618104,0.6512,1745087327.1184247,2025/04/20 03:28:47,98.26266956329346,1.6m
30,30,0.742861015510559,0.7422,1.006600423336029,0.6516,1745087330.4700098,2025/04/20 03:28:50,101.61425471305847,1.7m
