describe,epoch,Loss,Acc,vLoss,vAcc
count,1.0,1.0,1.0,1.0,1.0
null_count,0.0,0.0,0.0,0.0,0.0
mean,500.0,2.1464794099330904,0.48700068183898926,2.417490839958191,0.3921
std,NaN,0.0,0.0,0.0,0.0
min,500.0,2.1464794099330904,0.48700068183898926,2.417490839958191,0.3921
25%,500.0,2.1464794099330904,0.48700068183898926,2.417490839958191,0.3921
50%,500.0,2.1464794099330904,0.48700068183898926,2.417490839958191,0.3921
75%,500.0,2.1464794099330904,0.48700068183898926,2.417490839958191,0.3921
max,500.0,2.1464794099330904,0.48700068183898926,2.417490839958191,0.3921
