run_id,model_arc,epochs,ensemble_type,params,optimizer,grad,epoch,train_loss,train_acc,val_loss,val_acc,timestamp,timestamp_fmt,duration,duration_fmt,grad_mean
306,models.resnet_git_ee_def resnet18,100,EE,2855808,SGD,2855808,100,0.34841725940704343,0.8916,1.0647044573307038,0.6774,1745545100.6952631,2025/04/25 10:38:20,341.6187651157379,5.7m,0.0003300776006653905
307,models.resnet_git_ee_def resnet18,100,ME,2855808,SGD,2855808,100,0.4324126082420349,0.8466,1.0789823341369629,0.693,1745546531.1398857,2025/04/25 11:02:11,1429.9367003440857,23.8m,0.00010427023516967893
308,models.resnet_git_ee resnet18,100,EE,2855808,SGD,2855808,100,0.2695434847831726,0.9158,1.0257162288188935,0.7044,1745546875.7509775,2025/04/25 11:07:55,344.53250646591187,5.7m,0.00040287329466082156
309,models.resnet_git_ee resnet18,100,ME,2855808,SGD,2855808,100,0.4136218918800354,0.8514,1.134540681028366,0.696,1745548320.0722635,2025/04/25 11:32:00,1443.7973074913025,24.1m,0.00035502525861375034
310,models.resnet_git_ee_bn resnet18,100,EE,2855808,SGD,2855808,100,0.25934040470123293,0.9228,1.0634305710792542,0.6748,1745548665.4016337,2025/04/25 11:37:45,345.24451541900635,5.8m,0.00037610408617183566
311,models.resnet_git_ee_bn resnet18,100,ME,2855808,SGD,2855808,100,0.4107778174638748,0.8504,1.092599234008789,0.6774,1745550062.6318955,2025/04/25 12:01:02,1396.733638048172,23.3m,0.0000574760815652553
312,models.resnet_git_ee_bn_def resnet18,100,EE,2855808,SGD,2855808,100,0.3514368606567383,0.8904,1.0866003101229669,0.6582,1745550407.6047757,2025/04/25 12:06:47,344.89476895332336,5.7m,0.00033807731233537197
313,models.resnet_git_ee_bn_def resnet18,100,ME,2855808,SGD,2855808,100,0.417597475028038,0.8454,1.128412494277954,0.6824,1745551791.7432086,2025/04/25 12:29:51,1383.6492643356323,23.1m,0.00008236429130192846
314,models.resnet_git_ee_def resnet18,100,EE,2855808,SGD,2855808,100,0.3272288866043091,0.8956,1.008603777742386,0.6978,1745552135.3420968,2025/04/25 12:35:35,343.52080512046814,5.7m,0.00016658638196531683
315,models.resnet_git_ee_def resnet18,100,ME,2855808,SGD,2855808,100,0.402242453956604,0.8564,1.1565129640579224,0.687,1745553586.6659927,2025/04/25 12:59:46,1450.6238968372345,24.2m,0.0002719980839174241
316,models.resnet_git_ee resnet18,100,EE,2855808,SGD,2855808,100,0.2559591136932373,0.9236,1.025075876045227,0.7064,1745553931.9063528,2025/04/25 13:05:31,345.155642747879,5.8m,0.0003438066632952541
317,models.resnet_git_ee resnet18,100,ME,2855808,SGD,2855808,100,0.42484008808135987,0.8506,1.11708512506485,0.6942,1745555382.3783345,2025/04/25 13:29:42,1450.0382463932037,24.2m,0.0003041015297640115
318,models.resnet_git_ee_bn resnet18,100,EE,2855808,SGD,2855808,100,0.25032164878845214,0.9206,1.133675743484497,0.6594,1745555731.0152085,2025/04/25 13:35:31,348.5535264015198,5.8m,0.0004728864296339452
