step,epoch,lr,train_loss,train_acc,val_loss,val_acc,dur_total_core,dur_total_core_fmt,dur_train_core,dur_train_core_fmt,dur_total,dur_total_fmt,dur_train,dur_train_fmt,progress
1,1,0.0025,4.616308498382568,0.0,,,232.92381477355957,3.9m,232.9238567352295,3.9m,232.98249077796936,3.9m,232.9824993610382,3.9m,0.0%
2,2,0.002499999984578743,4.512247352600098,0.18,,,234.03395342826843,3.9m,234.03400349617004,3.9m,234.13016295433044,3.9m,234.13017392158508,3.9m,0.0%
3,3,0.0024999999383149727,4.4207260704040525,0.19,,,234.6431097984314,3.9m,234.64316654205322,3.9m,234.8037269115448,3.9m,234.80374193191528,3.9m,0.0%
4,4,0.0024999998612086904,4.325019454956054,0.17,,,235.24976587295532,3.9m,235.2498288154602,3.9m,235.4538538455963,3.9m,235.4538712501526,3.9m,0.0%
5,5,0.0024999997532598977,4.24579963684082,0.17,,,235.8555018901825,3.9m,235.8555703163147,3.9m,236.1024603843689,3.9m,236.10247993469238,3.9m,0.0%
6,6,0.0024999996144685977,4.157995796203613,0.26,,,236.4612786769867,3.9m,236.4613537788391,3.9m,236.76864433288574,3.9m,236.7686665058136,3.9m,0.0%
7,7,0.0024999994448347933,4.084121150970459,0.25,,,237.0679063796997,4.0m,237.06798887252808,4.0m,237.43662905693054,4.0m,237.43665504455566,4.0m,0.0%
8,8,0.002499999244358489,4.008818025588989,0.24,,,237.67411494255066,4.0m,237.67420291900635,4.0m,238.10782122612,4.0m,238.10784935951233,4.0m,0.0%
9,9,0.0024999990130396897,3.9197596645355226,0.31,,,238.28078866004944,4.0m,238.2808837890625,4.0m,238.75681042671204,4.0m,238.75684118270874,4.0m,0.0%
10,10,0.002499998750878401,3.846785717010498,0.31,,,238.88604426383972,4.0m,238.8861448764801,4.0m,239.40712189674377,4.0m,239.40715503692627,4.0m,0.1%
11,11,0.002499998457874629,3.7803398513793947,0.33,,,239.4928789138794,4.0m,239.49298930168152,4.0m,240.0683205127716,4.0m,240.0683572292328,4.0m,0.1%
12,12,0.002499998134028382,3.7005757427215578,0.33,,,240.09867405891418,4.0m,240.09878969192505,4.0m,240.71712279319763,4.0m,240.71716165542603,4.0m,0.1%
