step,trainable,epoch,train_loss,train_acc,val_loss,val_acc,timestamp,timestamp_fmt,duration,duration_fmt,dur_total_core,dur_train_core,dur_dl_train
1,2052,1,5.157700339953105,0.675,5.379851118723551,0.7333333333333333,1749104666.6812174,2025/06/05 15:24:26,0.9010829925537109,901.1ms,0.12311482429504395,0.10418963432312012,0.054041385650634766
2,2052,2,2.4467124223709105,0.85,4.305836661656698,0.7625,1749104668.6638873,2025/06/05 15:24:28,2.8837528228759766,2.9s,0.17408013343811035,0.1457657814025879,0.1076955795288086
3,2052,3,2.1315001686414083,0.83125,3.59854474067688,0.7666666666666667,1749104670.7245307,2025/06/05 15:24:30,4.944396257400513,4.9s,0.22609162330627441,0.1873185634613037,0.17502212524414062
4,2052,4,1.7179781357447306,0.8479166666666667,2.529462210337321,0.8041666666666667,1749104672.7989876,2025/06/05 15:24:32,7.018853187561035,7.0s,0.28418540954589844,0.2310194969177246,0.23026299476623535
5,2052,5,1.408589392900467,0.8489583333333334,3.4997551838556924,0.7916666666666666,1749104674.9455101,2025/06/05 15:24:34,9.165375709533691,9.2s,0.3691396713256836,0.2921333312988281,0.28222084045410156
6,2052,6,1.4097046971321106,0.8614583333333333,2.866715923945109,0.7666666666666667,1749104677.0751905,2025/06/05 15:24:37,11.295056104660034,11.3s,0.44206905364990234,0.34847092628479004,0.33393192291259766
7,2052,7,1.7462786237398784,0.8395833333333333,2.909129349390666,0.7666666666666667,1749104679.2842605,2025/06/05 15:24:39,13.504126071929932,13.5s,0.5276587009429932,0.4172821044921875,0.3935739994049072
8,2052,8,1.2722161769866944,0.8541666666666666,2.25868550936381,0.8125,1749104681.5231586,2025/06/05 15:24:41,15.743024110794067,15.7s,0.6157960891723633,0.4931783676147461,0.44291234016418457
9,2052,9,1.4465107758839926,0.8552083333333333,2.436184112230937,0.8,1749104683.7528703,2025/06/05 15:24:43,17.97273588180542,18.0s,0.7074787616729736,0.5683979988098145,0.5058920383453369
10,2052,10,1.4148170113563538,0.8583333333333333,4.184841442108154,0.7666666666666667,1749104685.9663146,2025/06/05 15:24:45,20.186180114746094,20.2s,0.800184965133667,0.6468157768249512,0.556441068649292
11,2052,11,1.3954699446757635,0.8614583333333333,3.614633289972941,0.7833333333333333,1749104688.3385003,2025/06/05 15:24:48,22.55836582183838,22.6s,0.8997149467468262,0.7278246879577637,0.6111347675323486
12,2052,12,1.5481557528177896,0.8625,2.7947019656499226,0.8208333333333333,1749104690.6096787,2025/06/05 15:24:50,24.82954430580139,24.8s,0.9939916133880615,0.8051340579986572,0.6668696403503418
13,2052,13,1.379049696524938,0.859375,3.4941242853800456,0.7666666666666667,1749104692.8455923,2025/06/05 15:24:52,27.065457820892334,27.1s,1.0826964378356934,0.8774456977844238,0.7275030612945557
14,2052,14,1.3849952737490336,0.8614583333333333,2.4403830051422117,0.7958333333333333,1749104695.0541246,2025/06/05 15:24:55,29.273990154266357,29.3s,1.1678075790405273,0.9490821361541748,0.7789299488067627
15,2052,15,1.627339885632197,0.8364583333333333,2.8832534233729046,0.7833333333333333,1749104697.4185846,2025/06/05 15:24:57,31.638450145721436,31.6s,1.2748630046844482,1.043074607849121,0.8354716300964355
16,2052,16,1.14858482281367,0.8677083333333333,2.6306429465611774,0.8,1749104699.6935031,2025/06/05 15:24:59,33.913368701934814,33.9s,1.3813292980194092,1.1313211917877197,0.8870689868927002
17,2052,17,1.3976038634777068,0.8541666666666666,2.8142558256785075,0.7875,1749104702.0394447,2025/06/05 15:25:02,36.259310245513916,36.3s,1.4800925254821777,1.2143080234527588,0.9368650913238525
18,2052,18,1.3496323883533479,0.853125,2.932878764470418,0.8166666666666667,1749104704.3696012,2025/06/05 15:25:04,38.58946681022644,38.6s,1.5753238201141357,1.2940988540649414,0.9931416511535645
19,2052,19,1.4587226609388988,0.8520833333333333,3.930713733037313,0.7166666666666667,1749104706.6213253,2025/06/05 15:25:06,40.841190814971924,40.8s,1.6625077724456787,1.3645236492156982,1.0429720878601074
20,2052,20,1.515482924381892,0.8552083333333333,2.903824726740519,0.8166666666666667,1749104708.9114032,2025/06/05 15:25:08,43.13126873970032,43.1s,1.7564160823822021,1.4403226375579834,1.094595193862915
21,11178564,21,19.818116188049316,0.45,256137.31145833334,0.25416666666666665,1749104712.1765702,2025/06/05 15:25:12,46.39643573760986,46.4s,2.0606727600097656,1.735172986984253,1.1441104412078857
22,11178564,22,3.597559197743734,0.5375,628.7393310546875,0.43333333333333335,1749104714.9552972,2025/06/05 15:25:14,49.17516279220581,49.2s,2.2112743854522705,1.8753538131713867,1.1948771476745605
23,11178564,23,2.55873064994812,0.5916666666666667,3.9075325965881347,0.6125,1749104717.9701996,2025/06/05 15:25:17,52.190065145492554,52.2s,2.4064064025878906,2.051316261291504,1.2479054927825928
24,11178564,24,1.6893128395080566,0.5916666666666667,1.383294407526652,0.5708333333333333,1749104721.3983605,2025/06/05 15:25:21,55.618226051330566,55.6s,2.6564738750457764,2.290935516357422,1.3012151718139648
25,11178564,25,1.0671737670898438,0.6010416666666667,0.8409602681795756,0.625,1749104724.324713,2025/06/05 15:25:24,58.544578552246094,58.5s,2.8596291542053223,2.484443187713623,1.357222557067871
26,11178564,26,0.9255290706952413,0.6291666666666667,0.89553884267807,0.5791666666666667,1749104727.0074944,2025/06/05 15:25:27,61.227360010147095,1.0m,3.0047481060028076,2.6120409965515137,1.4138667583465576
27,11178564,27,0.9591620802879334,0.61875,0.8672471801439922,0.6208333333333333,1749104730.2830296,2025/06/05 15:25:30,64.50289511680603,1.1m,3.2121965885162354,2.802741289138794,1.4706969261169434
28,11178564,28,0.8747264464696248,0.65,0.8172082742055257,0.6291666666666667,1749104733.428081,2025/06/05 15:25:33,67.64794659614563,1.1m,3.4346601963043213,3.015831708908081,1.5229952335357666
29,11178564,29,0.8490309516588846,0.65,0.7919821540514628,0.6375,1749104736.0666897,2025/06/05 15:25:36,70.28655529022217,1.2m,3.572491407394409,3.1403465270996094,1.5752840042114258
30,11178564,30,0.8319538036982218,0.64375,0.8134432752927144,0.6416666666666667,1749104739.2646081,2025/06/05 15:25:39,73.48447370529175,1.2m,3.796205520629883,3.3470675945281982,1.6293342113494873
31,11178564,31,1.8688634912172952,0.6760416666666667,0.8017601331075033,0.6291666666666667,1749104742.4525626,2025/06/05 15:25:42,76.67242813110352,1.3m,4.016219139099121,3.5575506687164307,1.6818556785583496
32,11178564,32,1.387496284643809,0.65,23.23467354774475,0.6083333333333333,1749104745.1407084,2025/06/05 15:25:45,79.3605740070343,1.3m,4.1690919399261475,3.701139450073242,1.7408745288848877
