step,epoch,lr,train_loss,train_acc,val_loss,val_acc,dur_total_core,dur_total_core_fmt,dur_train_core,dur_train_core_fmt,dur_total,dur_total_fmt,dur_train,dur_train_fmt,progress
1,1,0.005,4.6051859855651855,0.02,,,257.5076262950897,4.3m,257.5076513290405,4.3m,257.57930302619934,4.3m,257.5793106555939,4.3m,0.0%
2,2,0.004999999969157486,4.5985188484191895,0.19,,,259.8853051662445,4.3m,259.88534474372864,4.3m,260.0184226036072,4.3m,260.01843452453613,4.3m,0.0%
3,3,0.0049999998766299455,4.590448379516602,0.24,,,260.9873375892639,4.3m,260.9873831272125,4.3m,261.1845586299896,4.4m,261.18457293510437,4.4m,0.0%
4,4,0.004999999722417381,4.577554702758789,0.4,,,262.08609199523926,4.4m,262.0861430168152,4.4m,262.3466708660126,4.4m,262.3466875553131,4.4m,0.0%
5,5,0.0049999995065197955,4.562193393707275,0.49,,,263.1845819950104,4.4m,263.1846363544464,4.4m,263.5067067146301,4.4m,263.50672602653503,4.4m,0.0%
6,6,0.004999999228937195,4.545993328094482,0.42,,,264.2812969684601,4.4m,264.28135538101196,4.4m,264.6652743816376,4.4m,264.66529607772827,4.4m,0.0%
7,7,0.0049999988896695866,4.525643825531006,0.48,,,265.3793218135834,4.4m,265.3793885707855,4.4m,265.8252794742584,4.4m,265.8253059387207,4.4m,0.0%
8,8,0.004999998488716978,4.513734340667725,0.45,,,266.47857761383057,4.4m,266.4786503314972,4.4m,266.98711109161377,4.4m,266.98713994026184,4.4m,0.0%
9,9,0.004999998026079379,4.490740776062012,0.59,,,267.57647490501404,4.5m,267.576553106308,4.5m,268.1476128101349,4.5m,268.14764404296875,4.5m,0.0%
10,10,0.004999997501756802,4.4622392654418945,0.55,,,268.67417573928833,4.5m,268.6742579936981,4.5m,269.3089118003845,4.5m,269.308944940567,4.5m,0.1%
11,11,0.004999996915749258,4.4367570877075195,0.58,,,269.77372646331787,4.5m,269.7738173007965,4.5m,270.47150325775146,4.5m,270.47153997421265,4.5m,0.1%
12,12,0.004999996268056764,4.394489765167236,0.63,,,270.87152767181396,4.5m,270.87162256240845,4.5m,271.6320261955261,4.5m,271.6320650577545,4.5m,0.1%
13,13,0.004999995558679334,4.373743057250977,0.67,,,271.9686801433563,4.5m,271.9687798023224,4.5m,272.791335105896,4.5m,272.7913761138916,4.5m,0.1%
14,14,0.004999994787616986,4.329015254974365,0.65,,,273.073114156723,4.6m,273.0732190608978,4.6m,273.94308400154114,4.6m,273.9431276321411,4.6m,0.1%
15,15,0.004999993954869739,4.293941497802734,0.6,,,274.1775076389313,4.6m,274.1776165962219,4.6m,275.1174919605255,4.6m,275.11753821372986,4.6m,0.1%
16,16,0.004999993060437615,4.253190040588379,0.67,,,275.2826066017151,4.6m,275.2827196121216,4.6m,276.2841908931732,4.6m,276.2842392921448,4.6m,0.1%
17,17,0.004999992104320634,4.21061897277832,0.77,,,276.3870906829834,4.6m,276.38720870018005,4.6m,277.45867705345154,4.6m,277.4587275981903,4.6m,0.1%
18,18,0.00499999108651882,4.172927379608154,0.82,,,277.4907522201538,4.6m,277.49087715148926,4.6m,278.6269426345825,4.6m,278.6269965171814,4.6m,0.1%
19,19,0.0049999900070322,4.116367816925049,0.74,,,278.5956783294678,4.6m,278.5958139896393,4.6m,279.77857756614685,4.7m,279.7786355018616,4.7m,0.1%
20,20,0.0049999888658607975,4.070295333862305,0.78,,,279.69801020622253,4.7m,279.6981511116028,4.7m,280.94542264938354,4.7m,280.94548296928406,4.7m,0.1%
21,21,0.004999987663004644,4.023621082305908,0.81,,,280.80543303489685,4.7m,280.8055799007416,4.7m,282.1170575618744,4.7m,282.1171202659607,4.7m,0.1%
22,22,0.004999986398463767,3.9527294635772705,0.8,,,281.91142416000366,4.7m,281.91157484054565,4.7m,283.28480553627014,4.7m,283.28487062454224,4.7m,0.1%
23,23,0.004999985072238197,3.8964221477508545,0.79,,,283.016318321228,4.7m,283.016473531723,4.7m,284.4412558078766,4.7m,284.44132351875305,4.7m,0.1%
24,24,0.00499998368432797,3.8373379707336426,0.82,,,284.12044763565063,4.7m,284.1206076145172,4.7m,285.6074159145355,4.8m,285.6074857711792,4.8m,0.1%
25,25,0.004999982234733117,3.7822353839874268,0.84,,,285.22664523124695,4.8m,285.22680926322937,4.8m,286.7753551006317,4.8m,286.7754273414612,4.8m,0.1%
26,26,0.004999980723453675,3.710118293762207,0.86,,,286.33248925209045,4.8m,286.33265829086304,4.8m,287.94592237472534,4.8m,287.9459972381592,4.8m,0.1%
27,27,0.004999979150489681,3.6366159915924072,0.84,,,287.44004821777344,4.8m,287.4402222633362,4.8m,289.11662697792053,4.8m,289.1167039871216,4.8m,0.1%
28,28,0.0049999775158411745,3.5959649085998535,0.85,,,288.54598808288574,4.8m,288.5461721420288,4.8m,290.28443336486816,4.8m,290.2845141887665,4.8m,0.1%
29,29,0.004999975819508195,3.519343376159668,0.86,,,289.65476632118225,4.8m,289.6549563407898,4.8m,291.45414662361145,4.9m,291.45423007011414,4.9m,0.1%
30,30,0.004999974061490785,3.4491357803344727,0.92,,,290.76131939888,4.8m,290.7615132331848,4.8m,292.6263246536255,4.9m,292.62641048431396,4.9m,0.1%
31,31,0.004999972241788987,3.3833117485046387,0.91,,,291.8690299987793,4.9m,291.86922812461853,4.9m,293.79567289352417,4.9m,293.7957606315613,4.9m,0.2%
32,32,0.004999970360402847,3.3128087520599365,0.91,,,292.9767768383026,4.9m,292.97697854042053,4.9m,294.9517571926117,4.9m,294.9518475532532,4.9m,0.2%
33,33,0.004999968417332411,3.238563299179077,0.91,,,294.0829231739044,4.9m,294.0831296443939,4.9m,296.1211564540863,4.9m,296.12124967575073,4.9m,0.2%
34,34,0.004999966412577727,3.1494293212890625,0.91,,,295.1917493343353,4.9m,295.19196224212646,4.9m,297.2924208641052,5.0m,297.2925159931183,5.0m,0.2%
35,35,0.004999964346138844,3.121222496032715,0.93,,,296.3012719154358,4.9m,296.301504611969,4.9m,298.4645035266876,5.0m,298.464604139328,5.0m,0.2%
36,36,0.004999962218015814,3.0219452381134033,0.96,,,297.41012048721313,5.0m,297.4103572368622,5.0m,299.63612508773804,5.0m,299.6362280845642,5.0m,0.2%
37,37,0.004999960028208688,2.9398980140686035,0.97,,,298.5196990966797,5.0m,298.51994156837463,5.0m,300.79235005378723,5.0m,300.7924551963806,5.0m,0.2%
38,38,0.004999957776717522,2.846336603164673,0.97,,,299.6304783821106,5.0m,299.63072514533997,5.0m,302.1071050167084,5.0m,302.10721254348755,5.0m,0.2%
39,39,0.00499995546354237,2.779208183288574,0.96,,,300.7403452396393,5.0m,300.74059653282166,5.0m,303.26367592811584,5.1m,303.26378631591797,5.1m,0.2%
40,40,0.00499995308868329,2.6684865951538086,0.96,,,301.8503940105438,5.0m,301.8506500720978,5.0m,304.4219856262207,5.1m,304.4220986366272,5.1m,0.2%
41,41,0.004999950652140339,2.612298011779785,1.0,,,302.96056628227234,5.0m,302.9608268737793,5.0m,305.57965540885925,5.1m,305.57977056503296,5.1m,0.2%
42,42,0.004999948153913579,2.5539703369140625,1.0,,,304.0699155330658,5.1m,304.0701801776886,5.1m,306.7551326751709,5.1m,306.75524973869324,5.1m,0.2%
43,43,0.004999945594003071,2.4423742294311523,0.99,,,305.1788034439087,5.1m,305.1790735721588,5.1m,307.9334237575531,5.1m,307.93354320526123,5.1m,0.2%
44,44,0.004999942972408877,2.3766238689422607,0.96,,,306.2880206108093,5.1m,306.28829979896545,5.1m,309.10787081718445,5.2m,309.1079936027527,5.2m,0.2%
45,45,0.004999940289131063,2.323889970779419,0.98,,,307.3987762928009,5.1m,307.3990595340729,5.1m,310.28525733947754,5.2m,310.28538250923157,5.2m,0.2%
46,46,0.004999937544169696,2.23956561088562,0.97,,,308.50902485847473,5.1m,308.5093116760254,5.1m,311.4580147266388,5.2m,311.45814204216003,5.2m,0.2%
47,47,0.004999934737524842,2.1509461402893066,0.98,,,309.6184628009796,5.2m,309.6187536716461,5.2m,312.6357567310333,5.2m,312.6358869075775,5.2m,0.2%
48,48,0.00499993186919657,2.104599714279175,1.0,,,310.7300283908844,5.2m,310.73032450675964,5.2m,313.8028521537781,5.2m,313.80298471450806,5.2m,0.2%
49,49,0.004999928939184953,1.979972243309021,1.0,,,311.8419485092163,5.2m,311.8422484397888,5.2m,314.9823331832886,5.2m,314.98246812820435,5.2m,0.2%
50,50,0.004999925947490061,1.9553146362304688,0.97,,,312.95393657684326,5.2m,312.9542427062988,5.2m,316.1615312099457,5.3m,316.16166853904724,5.3m,0.2%
51,51,0.00499992289411197,1.842840552330017,1.0,,,314.0637798309326,5.2m,314.0640902519226,5.2m,317.33065938949585,5.3m,317.33079862594604,5.3m,0.3%
52,52,0.004999919779050753,1.7819113731384277,0.98,,,315.1722104549408,5.3m,315.1725261211395,5.3m,318.51093101501465,5.3m,318.51107263565063,5.3m,0.3%
53,53,0.004999916602306489,1.721429467201233,0.99,,,316.2816364765167,5.3m,316.2819592952728,5.3m,319.6876301765442,5.3m,319.6877739429474,5.3m,0.3%
54,54,0.004999913363879255,1.64442777633667,0.99,,,317.39214158058167,5.3m,317.3924698829651,5.3m,320.86581325531006,5.3m,320.86595916748047,5.3m,0.3%
55,55,0.004999910063769131,1.6002191305160522,1.0,,,318.50261759757996,5.3m,318.50294971466064,5.3m,322.04415106773376,5.4m,322.04429864883423,5.4m,0.3%
56,56,0.0049999067019761995,1.5285382270812988,1.0,,,319.6146273612976,5.3m,319.6149637699127,5.3m,323.2239303588867,5.4m,323.2240800857544,5.4m,0.3%
57,57,0.004999903278500542,1.435998797416687,1.0,,,320.7224929332733,5.3m,320.7228329181671,5.3m,324.387136220932,5.4m,324.38728857040405,5.4m,0.3%
58,58,0.004999899793342243,1.388805866241455,1.0,,,321.83322620391846,5.4m,321.833571434021,5.4m,325.5689432621002,5.4m,325.56909823417664,5.4m,0.3%
59,59,0.00499989624650139,1.315706729888916,1.0,,,322.9423704147339,5.4m,322.94272661209106,5.4m,326.7469596862793,5.4m,326.7471179962158,5.4m,0.3%
60,60,0.0049998926379780685,1.2537226676940918,1.0,,,324.05258560180664,5.4m,324.0529463291168,5.4m,327.92317056655884,5.5m,327.92333149909973,5.5m,0.3%
61,61,0.00499988896777237,1.1621516942977905,0.99,,,325.16527581214905,5.4m,325.16564297676086,5.4m,329.10087633132935,5.5m,329.1010398864746,5.5m,0.3%
62,62,0.004999885235884384,1.1101386547088623,1.0,,,326.27552485466003,5.4m,326.27589654922485,5.4m,330.2820394039154,5.5m,330.28220558166504,5.5m,0.3%
63,63,0.004999881442314201,1.0473464727401733,1.0,,,327.388560295105,5.5m,327.3889362812042,5.5m,331.4591414928436,5.5m,331.4593098163605,5.5m,0.3%
64,64,0.004999877587061915,0.9828006029129028,1.0,,,328.50194096565247,5.5m,328.50232219696045,5.5m,332.6403465270996,5.5m,332.6405174732208,5.5m,0.3%
65,65,0.0049998736701276246,0.8928167819976807,1.0,,,329.6134903430939,5.5m,329.6138768196106,5.5m,333.81920528411865,5.6m,333.8193781375885,5.6m,0.3%
