step,lr,epoch,train_loss,train_acc,val_loss,val_acc,timestamp,timestamp_fmt,duration,duration_fmt,grad_mean
1,0.1,1,2.3019140407562255,0.1024,2.299950357055664,0.1072,1745748143.9953065,2025/04/27 19:02:23,59.30800676345825,59.3s,0.0001225079467985779
2,0.0,2,2.2975953422546387,0.1112,2.2960632934570313,0.1198,1745748160.0446153,2025/04/27 19:02:40,75.35731554031372,1.3m,0.00011352753062965348
3,0.0,3,2.2932746768951415,0.1234,2.292829368591309,0.1368,1745748177.1937401,2025/04/27 19:02:57,92.50644040107727,1.5m,0.00012129842798458412
4,0.0,4,2.288692532348633,0.1384,2.2886596366882324,0.1533,1745748193.7785041,2025/04/27 19:03:13,109.09120440483093,1.8m,0.00012829393381252885
5,0.0,5,2.2844437057495117,0.1556,2.2849565574645996,0.1655,1745748210.0468824,2025/04/27 19:03:30,125.3595826625824,2.1m,0.0001238751719938591
6,0.0,6,2.2800338207244875,0.1718,2.2807566219329836,0.1737,1745748227.6239598,2025/04/27 19:03:47,142.93666005134583,2.4m,0.00012456075637601316
7,0.0,7,2.2755779045104982,0.1922,2.2763423725128176,0.1856,1745748244.6885939,2025/04/27 19:04:04,160.00129413604736,2.7m,0.0001188499154523015
8,0.0,8,2.2705909145355223,0.1976,2.2702447509765626,0.1956,1745748261.4910316,2025/04/27 19:04:21,176.80373191833496,2.9m,0.00012759237142745405
9,0.0,9,2.2653513439178465,0.2064,2.267116703414917,0.2023,1745748277.6036055,2025/04/27 19:04:37,192.91630578041077,3.2m,0.00012389139737933874
10,0.0,10,2.260391384506226,0.2128,2.2611603000640867,0.2076,1745748293.5681088,2025/04/27 19:04:53,208.8808090686798,3.5m,0.00012286608398426324
