run_id,model_arc,epochs,ensemble_type,params,optimizer,grad,epoch,train_loss,train_acc,val_loss,val_acc,timestamp,timestamp_fmt,duration,duration_fmt,grad_mean
0,models.resnet_git_ee_bn resnet18,100,EE,2855808,SGD,2855808,100,1.9560352863311767,0.3082,1.9539407321929931,0.3084,1745678925.703112,2025/04/26 23:48:45,285.78008580207825,4.8m,0.0001441122149117291
1,models.resnet_git_ee_bn resnet18,100,ME,2855808,SGD,2855808,100,1.6590193796157837,0.4162,1.725775541305542,0.3936,1745679870.1778822,2025/04/27 00:04:30,1229.706630706787,20.5m,0.00048628044896759093
2,models.resnet_git_ee_bn resnet18,100,EE,2855808,SGD,2855808,100,1.9377923751831054,0.3198,1.9451525709152222,0.3142,1745680151.2000196,2025/04/27 00:09:11,280.99007749557495,4.7m,0.00015847443137317896
3,models.resnet_git_ee_bn resnet18,100,ME,2855808,SGD,2855808,100,1.6468961086273193,0.4246,1.7079073587417604,0.4006,1745681105.7229772,2025/04/27 00:25:05,1235.1753356456757,20.6m,0.00015321474347729236
4,models.resnet_git_ee_bn resnet18,100,EE,2855808,SGD,2855808,100,1.9849979431152345,0.2948,1.983113327217102,0.3003,1745681386.7368782,2025/04/27 00:29:46,280.98025131225586,4.7m,0.0001270567299798131
5,models.resnet_git_ee_bn resnet18,100,ME,2855808,SGD,2855808,100,1.6829775608062745,0.4122,1.7369723110198974,0.3952,1745682350.5254297,2025/04/27 00:45:50,1244.3492052555084,20.7m,0.00019666353182401508
6,models.resnet_git_ee_bn resnet18,100,EE,2855808,SGD,2855808,100,1.9778137275695802,0.293,1.9802716815948487,0.2787,1745682630.9207244,2025/04/27 00:50:30,280.358669757843,4.7m,0.00013734903768636286
7,models.resnet_git_ee_bn resnet18,100,ME,2855808,SGD,2855808,100,1.6883172832489013,0.406,1.7521494701385498,0.3788,1745683586.6419804,2025/04/27 01:06:26,1235.6465620994568,20.6m,0.00012258824426680803
8,models.resnet_git_ee_bn resnet18,100,EE,2855808,SGD,2855808,100,1.9772523004531861,0.3016,1.9803129985809327,0.2996,1745683866.3941393,2025/04/27 01:11:06,279.7171947956085,4.7m,0.00013183474948164076
9,models.resnet_git_ee_bn resnet18,100,ME,2855808,SGD,2855808,100,1.6918204029083252,0.4082,1.7499438953399657,0.387,1745684833.6026304,2025/04/27 01:27:13,1246.5101799964905,20.8m,0.0001181013067252934
10,models.resnet_git_ee_bn resnet18,100,EE,2855808,SGD,2855808,100,1.9653970268249512,0.2994,1.9681936813354493,0.2992,1745685117.4284148,2025/04/27 01:31:57,283.7898762226105,4.7m,0.00012319294910412282
11,models.resnet_git_ee_bn resnet18,100,ME,2855808,SGD,2855808,100,1.6472126104354858,0.4316,1.7135050745010376,0.3997,1745686090.5367908,2025/04/27 01:48:10,1256.4669334888458,20.9m,0.00012653750309254974
12,models.resnet_git_ee_bn resnet18,100,EE,2855808,SGD,2855808,100,1.9623150661468507,0.2944,1.9667227638244629,0.2863,1745686371.9112632,2025/04/27 01:52:51,281.33657002449036,4.7m,0.00015506074123550206
13,models.resnet_git_ee_bn resnet18,100,ME,2855808,SGD,2855808,100,1.6734536155700683,0.4156,1.755846035194397,0.3794,1745687339.3100653,2025/04/27 02:08:59,1248.303391456604,20.8m,0.0001341035240329802
14,models.resnet_git_ee_bn resnet18,100,EE,2855808,SGD,2855808,100,1.9767163034439086,0.293,1.973188106918335,0.2979,1745687619.7707007,2025/04/27 02:13:39,280.4220509529114,4.7m,0.0001160351384896785
15,models.resnet_git_ee_bn resnet18,100,ME,2855808,SGD,2855808,100,1.6852289836883545,0.4102,1.7354464042663573,0.3858,1745688585.1690888,2025/04/27 02:29:45,1245.3991706371307,20.8m,0.0001416378072462976
16,models.resnet_git_ee_bn resnet18,100,EE,2855808,SGD,2855808,100,1.9834535810470582,0.296,1.984915873336792,0.2874,1745688869.5846581,2025/04/27 02:34:29,284.3761148452759,4.7m,0.0001267763873329386
17,models.resnet_git_ee_bn resnet18,100,ME,2855808,SGD,2855808,100,1.6787944541931152,0.4194,1.7492591930389405,0.389,1745689845.2846227,2025/04/27 02:50:45,1259.5437037944794,21.0m,0.00016079928900580853
18,models.resnet_git_ee_bn resnet18,100,EE,2855808,SGD,2855808,100,1.9740173248291015,0.2986,1.9771316593170165,0.2959,1745690127.6628072,2025/04/27 02:55:27,282.3374764919281,4.7m,0.00013740340364165604
19,models.resnet_git_ee_bn resnet18,100,ME,2855808,SGD,2855808,100,1.6593775993347168,0.4264,1.7309880855560302,0.4024,1745691101.721227,2025/04/27 03:11:41,1255.9691379070282,20.9m,0.00017712972476147115
20,models.resnet_git_ee_bn resnet18,100,EE,2855808,SGD,2855808,100,1.9733677856445313,0.2982,1.9755280380249023,0.2883,1745691383.859017,2025/04/27 03:16:23,282.0219066143036,4.7m,0.00013260159175843
21,models.resnet_git_ee_bn resnet18,100,ME,2855808,SGD,2855808,100,1.6635746429443359,0.4206,1.7367359239578246,0.3883,1745692357.3556976,2025/04/27 03:32:37,1255.1775777339935,20.9m,0.00013112639135215431
22,models.resnet_git_ee_bn resnet18,100,EE,2855808,SGD,2855808,100,1.9488109510421754,0.3096,1.9457685899734498,0.306,1745692640.3534813,2025/04/27 03:37:20,282.95574593544006,4.7m,0.00011971944331889972
23,models.resnet_git_ee_bn resnet18,100,ME,2855808,SGD,2855808,100,1.6362557962417603,0.4356,1.7033446571350097,0.3996,1745693610.1821003,2025/04/27 03:53:30,1252.35422706604,20.9m,0.00013763250899501145
24,models.resnet_git_ee_bn resnet18,100,EE,2855808,SGD,2855808,100,1.9585266151428222,0.3118,1.961567738723755,0.3107,1745693893.7912078,2025/04/27 03:58:13,283.5656623840332,4.7m,0.00013805023627355695
25,models.resnet_git_ee_bn resnet18,100,ME,2855808,SGD,2855808,100,1.6598332355499268,0.424,1.7241742630004884,0.3887,1745694883.5664814,2025/04/27 04:14:43,1272.9071049690247,21.2m,0.00029567425372079015
26,models.resnet_git_ee_bn resnet18,100,EE,2855808,SGD,2855808,100,1.971144885635376,0.2868,1.9706247150421143,0.2997,1745695165.8039427,2025/04/27 04:19:25,282.12059211730957,4.7m,0.00013386417413130403
27,models.resnet_git_ee_bn resnet18,100,ME,2855808,SGD,2855808,100,1.6698618942260741,0.4182,1.742708646583557,0.3819,1745696144.5095596,2025/04/27 04:35:44,1260.4797539710999,21.0m,0.00025193358305841684
28,models.resnet_git_ee_bn resnet18,100,EE,2855808,SGD,2855808,100,1.965636170578003,0.3044,1.9692672904968263,0.2953,1745696428.26299,2025/04/27 04:40:28,283.7079405784607,4.7m,0.00012731278548017144
29,models.resnet_git_ee_bn resnet18,100,ME,2855808,SGD,2855808,100,1.6819402320861816,0.4134,1.7615390604019165,0.3681,1745697391.0936038,2025/04/27 04:56:31,1246.1164073944092,20.8m,0.0004091032315045595
30,models.resnet_git_ee_bn resnet18,100,EE,2855808,SGD,2855808,100,1.9676306743621825,0.3046,1.966897813796997,0.2963,1745697672.510255,2025/04/27 05:01:12,281.3705425262451,4.7m,0.00012666489055845886
31,models.resnet_git_ee_bn resnet18,100,ME,2855808,SGD,2855808,100,1.6482785314559936,0.419,1.7236063863754272,0.3971,1745698647.5521524,2025/04/27 05:17:27,1255.9890608787537,20.9m,0.00010484212543815374
32,models.resnet_git_ee_bn resnet18,100,EE,2855808,SGD,2855808,100,1.9637415424346925,0.3,1.9648468267440795,0.3018,1745698930.5293725,2025/04/27 05:22:10,282.9287030696869,4.7m,0.0001356083230348304
33,models.resnet_git_ee_bn resnet18,100,ME,2855808,SGD,2855808,100,1.6756495723724365,0.412,1.7316753715515136,0.391,1745699895.5535166,2025/04/27 05:38:15,1247.520688533783,20.8m,0.0001308724604314193
34,models.resnet_git_ee_bn resnet18,100,EE,2855808,SGD,2855808,100,1.9607595113754273,0.3094,1.9633290990829468,0.3023,1745700178.397008,2025/04/27 05:42:58,282.7938106060028,4.7m,0.00014189667126629502
35,models.resnet_git_ee_bn resnet18,100,ME,2855808,SGD,2855808,100,1.6629898681640625,0.4322,1.7232141374588013,0.4006,1745701148.7757862,2025/04/27 05:59:08,1252.7521998882294,20.9m,0.0001595904177520424
36,models.resnet_git_ee_bn resnet18,100,EE,2855808,SGD,2855808,100,1.9617411468505859,0.303,1.9580182273864746,0.3022,1745701432.3858316,2025/04/27 06:03:52,283.5583348274231,4.7m,0.00012458434503059834
37,models.resnet_git_ee_bn resnet18,100,ME,2855808,SGD,2855808,100,1.6625289764404296,0.4184,1.7194489109039306,0.3968,1745702398.956834,2025/04/27 06:19:58,1249.563568353653,20.8m,0.0002360594953643158
38,models.resnet_git_ee_bn resnet18,100,EE,2855808,SGD,2855808,100,1.958484449005127,0.3144,1.9600202096939088,0.3101,1745702684.0744312,2025/04/27 06:24:44,285.0654721260071,4.8m,0.00013837106234859675
39,models.resnet_git_ee_bn resnet18,100,ME,2855808,SGD,2855808,100,1.639733188056946,0.4256,1.7149550512313843,0.4046,1745703654.5149274,2025/04/27 06:40:54,1255.077984571457,20.9m,0.0002807261189445853
